 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,1.671,3.657,5385.262,10.989,1.293,1.293,1.0,1.828,1,8331,17,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
2,0.836,2.742,5450.549,11.635,1.293,0.646,1.0,1.445,1,8432,18,153.435,0.646,2.0,0.5,1.0,1.031711325613224
3,0.418,1.828,2021.332,14.221,0.646,0.646,1.0,0.914,1,3127,22,135.0,0.646,1.0,1.0,1.0,0.729530074568073
4,2.507,6.399,5388.494,34.26,2.586,1.939,0.769,2.665,1,8336,54,165.964,1.939,1.528,0.655,0.667,1.7866201439172942
5,3.343,6.778,5336.134,40.078,1.939,2.586,0.914,3.232,1,8255,66,53.13,1.828,1.939,0.516,0.842,2.0631141020432313
6,0.836,3.121,2985.779,47.835,0.646,1.293,1.0,1.445,1,4619,74,116.565,0.646,2.0,0.5,1.0,1.031711325613224
7,0.836,3.121,2984.486,49.774,0.646,1.293,1.0,1.445,1,4617,77,116.565,0.646,2.0,0.5,1.0,1.031711325613224
8,0.836,3.121,5398.19,58.177,0.646,1.293,1.0,1.445,1,8351,90,116.565,0.646,2.0,0.5,1.0,1.031711325613224
9,1025.819,171.074,1047.835,64.641,72.398,22.624,0.44,74.18,1,1621,101,167.417,20.858,3.833,0.261,0.885,36.14018976901864
10,0.418,1.828,5345.831,66.58,0.646,0.646,1.0,0.914,1,8270,103,135.0,0.646,1.0,1.0,1.0,0.729530074568073
11,2.507,4.949,5406.593,69.166,1.939,1.293,1.0,2.331,1,8364,107,146.31,1.293,1.5,0.667,1.0,1.7866201439172942
12,3.761,7.692,5550.097,74.984,3.232,1.939,0.799,3.481,1,8586,117,158.199,1.84,2.278,0.439,0.75,2.18829932316147
13,6.268,8.985,5347.123,75.63,2.586,3.232,0.976,3.769,1,8272,122,59.036,2.586,1.358,0.736,0.857,2.825007162185611
14,0.836,2.742,5414.997,77.569,1.293,0.646,1.0,1.445,1,8377,120,153.435,0.646,2.0,0.5,1.0,1.031711325613224
15,3.343,7.156,5429.864,80.802,3.232,1.293,0.82,3.481,1,8400,125,158.199,1.293,2.392,0.418,0.889,2.0631141020432313
16,2.925,6.242,5336.781,85.326,1.293,2.586,0.943,2.891,1,8256,132,116.565,1.293,1.936,0.517,0.933,1.9298252947742058
17,8.357,13.242,5534.583,87.912,5.818,1.939,0.599,5.96,1,8562,139,12.529,1.939,2.877,0.348,0.889,3.261972237060235
18,6321.22,341.185,8177.763,91.791,94.376,113.122,0.682,125.723,1,12676,142,120.256,71.892,1.727,0.579,0.925,89.71302734258167
19,1.671,3.657,5432.45,96.315,1.293,1.293,1.0,1.828,1,8404,149,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
20,0.418,1.828,5439.56,101.487,0.646,0.646,1.0,0.914,1,8415,157,135.0,0.646,1.0,1.0,1.0,0.729530074568073
21,0.418,1.828,5725.275,103.426,0.646,0.646,1.0,0.914,1,8857,160,135.0,0.646,1.0,1.0,1.0,0.729530074568073
22,11.282,12.641,5348.416,106.658,3.878,4.525,0.887,5.212,1,8274,172,60.255,3.469,1.644,0.608,0.844,3.7900776434925585
23,7.521,9.899,5339.367,107.304,3.232,3.232,0.965,4.139,1,8260,171,38.66,2.891,1.475,0.678,0.857,3.094516863090773
24,3.343,6.399,5966.387,111.829,2.586,1.939,1.0,2.891,1,9230,176,26.565,1.939,1.308,0.764,0.8,2.0631141020432313
25,3.761,6.778,5362.637,117.001,2.586,1.939,1.0,2.891,1,8296,181,153.435,1.939,1.343,0.745,0.857,2.18829932316147
26,1.254,4.414,5336.134,120.879,0.646,1.939,0.809,2.044,1,8255,187,108.435,0.646,3.0,0.333,1.0,1.263583154801414
27,0.418,1.828,5471.235,122.172,0.646,0.646,1.0,0.914,1,8464,189,135.0,0.646,1.0,1.0,1.0,0.729530074568073
28,5.432,8.606,1029.735,124.111,3.232,2.586,0.922,3.769,1,1593,195,30.964,2.51,1.734,0.577,0.812,2.6298739907078064
29,3.761,6.778,5357.466,132.515,1.939,2.586,1.0,2.891,1,8288,209,63.435,1.939,1.34,0.746,0.857,2.18829932316147
30,0.836,2.742,5349.063,135.747,1.293,0.646,1.0,1.445,1,8275,210,153.435,0.646,2.0,0.5,1.0,1.031711325613224
31,4.596,8.606,5497.091,137.686,2.586,3.232,0.78,4.139,1,8504,218,51.34,1.828,2.498,0.4,0.815,2.4190512494783585
32,2.925,5.485,3678.733,139.625,1.939,1.939,1.0,2.742,1,5691,219,45.0,1.828,1.596,0.626,0.875,1.9298252947742058
33,3.761,6.778,5418.229,139.625,2.586,1.939,1.0,2.891,1,8382,219,26.565,1.939,1.185,0.844,0.857,2.18829932316147
34,4.596,7.156,5359.405,146.736,1.939,2.586,1.0,3.232,1,8291,227,126.87,1.939,1.372,0.729,0.957,2.4190512494783585
35,7.939,11.727,3680.026,148.675,4.525,3.232,0.725,5.561,1,5693,235,35.538,2.285,2.58,0.388,0.844,3.179347220052012
36,1.671,4.571,5592.76,156.432,1.939,1.293,1.0,2.044,1,8652,242,161.565,1.293,1.468,0.681,0.8,1.4586237620621902
37,197.643,69.58,5597.285,156.432,14.867,27.149,0.513,27.766,1,8666,284,77.905,12.796,2.196,0.455,0.746,15.863381838059997
38,0.418,1.828,6559.793,162.896,0.646,0.646,1.0,0.914,1,10148,252,135.0,0.646,1.0,1.0,1.0,0.729530074568073
39,3.761,6.399,5367.809,163.542,2.586,1.939,1.0,2.891,1,8304,256,26.565,1.939,1.34,0.746,0.857,2.18829932316147
40,185.525,61.979,1046.542,166.128,22.624,17.453,0.607,24.952,1,1620,281,36.573,9.319,2.888,0.346,0.899,15.36937755854124
41,198.06,90.735,5609.567,173.239,21.978,29.089,0.302,33.37,1,8680,269,121.535,14.906,3.28,0.305,0.578,15.8801078154478
42,1.671,3.657,6519.069,173.885,1.293,1.293,1.0,1.828,1,10085,269,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
43,3.343,6.778,6544.279,173.885,1.939,2.586,0.914,3.232,1,10124,273,53.13,1.828,1.939,0.516,0.842,2.0631141020432313
44,0.836,2.742,5367.162,180.349,1.293,0.646,1.0,1.445,1,8303,279,153.435,0.646,2.0,0.5,1.0,1.031711325613224
45,0.836,3.657,6513.251,181.642,1.293,1.293,0.785,1.828,1,10076,281,135.0,0.914,2.646,0.378,0.667,1.031711325613224
46,6.686,9.52,5356.173,182.935,3.232,3.232,0.927,3.769,1,8286,287,30.964,2.862,1.433,0.698,0.8,2.9176839438327273
47,1.254,3.657,5390.433,182.935,1.293,1.293,1.0,1.828,1,8339,283,135.0,1.293,1.464,0.683,0.857,1.263583154801414
48,126.608,45.903,85.326,187.46,16.807,11.635,0.755,17.785,1,132,302,19.093,10.221,1.752,0.571,0.906,12.696547258204866
49,7.521,9.899,5336.781,189.399,2.586,3.878,0.965,4.336,1,8256,299,63.435,2.586,1.672,0.598,0.878,3.094516863090773
50,5.432,8.071,5347.123,190.045,1.939,3.232,1.0,3.769,1,8272,299,59.036,1.939,1.735,0.576,0.929,2.6298739907078064
51,2.925,6.242,5806.723,191.338,1.293,2.586,0.943,2.891,1,8983,300,63.435,1.293,1.936,0.517,0.933,1.9298252947742058
52,0.418,1.828,846.8,195.217,0.646,0.646,1.0,0.914,1,1310,302,135.0,0.646,1.0,1.0,1.0,0.729530074568073
53,175.079,56.246,8658.048,195.863,23.271,10.343,0.695,23.414,1,13394,317,6.34,10.343,2.146,0.466,0.929,14.930422172620824
54,273.691,66.615,4191.338,199.095,19.392,22.624,0.775,23.208,1,6496,308,102.875,16.767,1.276,0.783,0.912,18.66746378697737
55,79.809,35.939,1969.619,205.559,10.989,12.282,0.776,13.743,1,3047,334,41.186,8.204,1.765,0.567,0.884,10.08047493056595
56,9.193,11.727,5351.002,206.852,3.232,4.525,0.84,4.706,1,8280,327,74.055,3.18,1.537,0.651,0.815,3.421241168750071
57,10.446,11.192,5333.549,209.438,3.232,3.878,1.0,4.661,1,8252,330,56.31,3.232,1.312,0.762,0.926,3.646952191118429
58,4.178,6.778,6566.257,220.427,1.939,2.586,1.0,3.232,1,10158,345,53.13,1.939,1.551,0.645,0.909,2.3064246829028496
59,1.671,4.571,3797.027,230.769,1.939,1.293,1.0,2.044,1,5874,357,161.565,1.293,1.468,0.681,0.8,1.4586237620621902
60,62.677,42.338,953.458,232.062,16.807,10.989,0.439,20.08,1,1475,359,146.821,5.02,4.518,0.221,0.86,8.933243248975469
61,1.671,4.949,5360.698,232.062,1.293,1.939,0.857,2.331,1,8293,362,56.31,1.293,2.031,0.492,0.8,1.4586237620621902
62,2.507,5.485,5349.063,232.708,1.939,1.939,1.0,2.331,1,8275,363,33.69,1.828,1.291,0.775,0.8,1.7866201439172942
63,4.178,7.692,5352.941,245.637,2.586,2.586,0.887,3.232,1,8281,384,36.87,2.285,1.587,0.63,0.8,2.3064246829028496
64,6.686,10.434,7832.579,255.333,3.232,3.878,0.772,5.049,1,12117,401,50.194,2.285,2.462,0.406,0.8,2.9176839438327273
65,13.371,13.556,4046.542,255.979,3.878,5.171,0.914,5.523,1,6261,396,110.556,3.878,1.472,0.679,0.853,4.126073915073973
66,5.432,8.071,5353.588,257.919,2.586,2.586,1.0,3.657,1,8282,403,45.0,2.586,1.37,0.73,0.929,2.6298739907078064
67,2.925,6.242,5354.234,268.261,1.293,2.586,0.943,2.891,1,8283,415,116.565,1.293,1.936,0.517,0.933,1.9298252947742058
68,1.671,6.778,4795.734,268.908,1.939,2.586,0.457,3.232,1,7419,420,53.13,1.156,3.873,0.258,0.571,1.4586237620621902
69,8.775,11.192,2049.774,270.2,2.586,4.525,0.88,4.706,1,3172,418,105.945,2.586,1.782,0.561,0.857,3.34255546028051
70,2.925,5.485,6559.147,274.079,1.939,1.939,1.0,2.742,1,10147,427,45.0,1.828,1.596,0.626,0.875,1.9298252947742058
71,7.939,10.278,5351.648,280.543,2.586,3.878,0.944,4.088,1,8280,434,108.435,2.586,1.396,0.717,0.905,3.179347220052012
72,0.836,3.657,7844.215,283.775,1.293,1.293,0.785,1.828,1,12135,441,45.0,0.914,2.646,0.378,0.667,1.031711325613224
73,0.418,1.828,6557.854,284.421,0.646,0.646,1.0,0.914,1,10145,440,135.0,0.646,1.0,1.0,1.0,0.729530074568073
