 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,41052.282,929.468,975.347,136.653,224.816,292.571,0.597,294.593,1,6456,837,96.715,203.904,1.353,0.739,0.95,228.6249961
2,7.49,10.472,1315.918,332.245,3.429,2.286,0.858,3.87,1,8060,2036,152.354,2.286,1.505,0.664,0.983,3.0881328
3,838.531,121.142,1385.796,335.347,26.776,43.102,0.718,43.379,1,8547,2054,96.483,26.28,1.777,0.563,0.925,32.67492661
4,75.755,63.401,2027.592,445.714,16.49,15.02,0.237,17.298,1,12420,2756,160.71,12.137,1.688,0.592,0.467,9.821113059
5,178.566,50.515,231.673,522.122,16.163,15.837,0.879,16.282,1,1419,3247,173.089,14.315,1.07,0.934,0.977,15.07837168
6,5.944,9.357,51.429,546.776,2.939,2.122,0.853,3.625,1,315,3362,35.838,2.122,1.423,0.703,0.982,2.75102451
7,438.857,84.28,1147.265,586.776,22.531,28.408,0.776,30.871,1,7056,3594,113.039,21.28,1.365,0.732,0.964,23.63831819
8,2885.518,212.933,586.612,652.735,69.224,55.673,0.8,70.299,1,3593,4203,10.031,53.962,1.285,0.778,0.967,60.61316379
9,35476.818,970.409,437.388,698.286,241.633,238.857,0.473,270.86,1,3040,4326,130.208,223.763,1.093,0.915,0.865,212.5334976
10,12.022,13.49,185.633,804.571,3.429,4.082,0.83,4.76,1,1139,4953,59.036,3.429,1.281,0.781,0.94,3.91240154
11,73.063,66.32,343.837,820.082,14.531,14.531,0.209,16.465,1,2121,5024,120.379,11.91,1.574,0.635,0.472,9.645035037
12,7.064,12.2,132.571,831.02,2.939,3.592,0.596,4.641,1,812,5112,50.711,2.593,2.061,0.485,0.813,2.9990272
13,5.971,9.453,130.449,836.735,2.286,2.776,0.84,3.596,1,799,5125,129.472,2.286,1.278,0.783,0.978,2.757265552
14,5.651,9.222,133.061,839.673,2.939,1.959,0.835,3.444,1,815,5143,148.57,1.959,1.503,0.665,0.991,2.682364007
15,126.321,43.878,312.327,912.49,12.735,12.408,0.825,15.427,1,1914,5599,140.583,11.845,1.258,0.795,0.96,12.68214858
16,40.596,23.801,280.816,928.653,7.184,7.347,0.901,8.04,1,1732,5688,113.962,6.889,1.084,0.922,0.962,7.189466778
17,44.142,24.566,260.735,930.449,7.02,7.51,0.919,8.204,1,1608,5743,58.841,7.02,1.081,0.925,0.977,7.496888687
18,541.588,88.145,2080.653,935.51,27.918,23.184,0.876,29.67,1,12751,5839,28.963,23.184,1.229,0.814,0.987,26.25968885
19,537.749,89.066,561.469,1081.306,26.776,26.939,0.852,28.915,1,3466,6770,51.189,24.821,1.196,0.836,0.963,26.16645356
20,18271.773,592.259,1136,1088.653,174.531,143.184,0.655,189.356,1,6987,6710,147.392,126.738,1.41,0.709,0.959,152.5265352
21,4.078,7.589,315.429,1176.98,1.959,2.122,0.89,2.888,1,1932,7209,132.709,1.959,1.1,0.909,0.99,2.278655495
22,10.182,12.431,564.735,1184.327,2.612,4.082,0.828,4.76,1,3459,7279,59.036,2.612,1.593,0.628,0.983,3.600572877
23,6.477,9.301,1024.653,1186.122,2.612,2.612,0.941,3.366,1,6276,7280,39.094,2.612,1.028,0.973,0.982,2.871719438
24,952.91,123.566,315.265,1210.612,31.184,37.878,0.784,40.477,1,1981,7418,112.531,30.686,1.237,0.808,0.95,34.83220772
