 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,5.811,9.038,2009.796,8.163,3.265,2.449,0.894,3.432,1,12310,53,154.654,2.449,1.37,0.73,0.936,2.720072608305894
2,2.479,5.884,1362.286,15.837,1.959,1.796,0.9,2.19,1,8344,99,153.435,1.721,1.283,0.779,0.894,1.7766149924501
3,0.187,1.385,1982.857,17.306,0.49,0.49,1.0,0.589,1,12145,106,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
4,0.48,2.365,926.367,17.469,0.653,0.816,1.0,1.045,1,5674,107,128.66,0.653,1.362,0.734,0.947,0.7817640190446719
5,8.93,11.475,1313.959,18.612,3.755,2.939,0.852,4.121,1,8049,116,146.31,2.939,1.435,0.697,0.948,3.37194738014771
6,0.08,0.924,70.857,19.755,0.327,0.327,1.0,0.462,1,434,123,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
7,7.597,10.344,1577.796,21.061,3.592,2.776,0.892,3.949,1,9664,132,150.255,2.685,1.489,0.672,0.941,3.1101126702023243
8,50.006,41.359,1489.633,25.143,10.122,10.286,0.367,10.418,1,9131,207,32.196,8.774,1.126,0.888,0.707,7.979324324404075
9,3.838,7.421,1537.959,28.571,2.776,1.796,0.876,2.893,1,9420,183,16.39,1.796,1.582,0.632,0.926,2.2105866580375344
10,3.545,6.864,2222.531,32.98,2.286,1.959,0.946,2.449,1,13614,204,143.13,1.959,1.234,0.811,0.927,2.124531521556259
11,0.426,2.174,1042.612,33.469,0.816,0.653,1.0,0.879,1,6386,206,158.199,0.653,1.209,0.827,0.889,0.7364781368494107
12,9.756,12.095,1471.673,36.735,4.245,3.429,0.838,4.492,1,9014,228,160.907,3.232,1.473,0.679,0.917,3.524446764874772
13,2.746,5.884,1497.306,38.531,1.959,1.796,0.996,2.19,1,9171,238,153.435,1.796,1.211,0.826,0.928,1.8698437875509166
14,27.429,25.49,1487.184,44.408,9.306,5.551,0.53,9.797,1,9110,278,156.425,4.137,2.891,0.346,0.828,5.909626677933284
15,0.906,3.615,431.673,46.367,1.469,0.816,0.871,1.549,1,2644,288,18.435,0.816,1.975,0.506,0.883,1.0740367905849675
16,1.706,4.634,1138.939,52.898,1.469,1.469,0.998,1.633,1,6977,325,126.87,1.469,1.004,0.996,0.914,1.4738204311645933
17,3.572,6.864,1923.592,59.755,2.286,1.959,0.953,2.581,1,11783,377,34.695,1.959,1.291,0.775,0.944,2.132606774300879
18,0.107,0.924,2016.816,60.082,0.327,0.327,1.0,0.462,1,12353,368,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
19,3.785,7.134,1454.694,61.224,2.449,2.122,0.934,2.581,1,8910,384,18.435,2.117,1.225,0.817,0.913,2.19527029698454
20,0.56,2.691,172.898,66.776,0.816,0.816,0.971,1.045,1,1059,409,141.34,0.816,1.13,0.885,0.913,0.8444016491289505
21,2.852,6.115,2016.163,71.837,2.122,1.796,0.958,2.274,1,12349,443,158.962,1.796,1.267,0.789,0.918,1.9055915568622475
22,0.666,2.731,952.163,82.286,0.816,0.98,1.0,1.095,1,5833,504,116.565,0.816,1.147,0.872,0.909,0.9208569578352647
23,4.585,7.844,1853.551,95.347,2.612,2.122,0.936,2.856,1,11354,595,30.964,2.122,1.257,0.796,0.948,2.416154654116893
24,268.315,63.121,420.898,102.041,19.755,19.265,0.846,19.892,1,2584,717,20.666,17.838,1.092,0.916,0.966,18.483215857788796
25,0.107,1.25,1006.204,106.612,0.327,0.49,0.857,0.589,1,6163,653,123.69,0.327,2.031,0.492,0.8,0.36910246719124273
26,2.346,5.749,2065.306,112.163,1.306,2.286,0.892,2.338,1,12653,687,102.095,1.306,1.734,0.577,0.917,1.7282997344062434
27,0.24,1.712,2168.0,119.184,0.653,0.49,1.0,0.73,1,13279,731,153.435,0.49,1.34,0.746,0.857,0.5527906391541367
28,0.32,2.038,1038.204,119.51,0.816,0.49,0.967,0.952,1,6359,732,149.036,0.49,1.939,0.516,0.889,0.6383076486422923
