 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.64,2.787,1999.184,6.857,0.816,0.816,1.0,1.154,1,12245,42,135.0,0.816,1.091,0.916,0.98,0.9027033336764101
2,2.319,6.537,1448.98,10.122,1.633,2.449,0.682,2.856,1,8876,62,120.964,1.241,2.675,0.374,0.87,1.7183254942649377
3,0.506,2.461,1987.429,16.163,0.816,0.653,1.0,1.045,1,12173,99,141.34,0.653,1.273,0.785,0.974,0.8026575917762147
4,0.4,2.134,1977.959,18.286,0.653,0.653,1.0,0.924,1,12115,116,45.0,0.653,1.137,0.88,0.968,0.7136496464611084
5,129.306,49.106,1691.102,21.551,12.408,17.796,0.674,18.65,1,10361,239,69.503,9.27,2.101,0.476,0.934,12.831115016689898
6,0.24,1.577,1984.163,22.041,0.49,0.49,1.0,0.693,1,12153,135,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
7,0.4,2.134,1959.51,28.082,0.653,0.653,1.0,0.924,1,12002,176,45.0,0.653,1.137,0.88,0.968,0.7136496464611084
8,0.693,2.827,1984.49,29.551,0.98,0.816,1.0,1.095,1,12155,182,153.435,0.816,1.184,0.845,0.929,0.9393375349156807
9,4.265,7.421,1855.02,34.449,2.286,2.286,0.973,2.678,1,11363,224,37.569,2.286,1.129,0.886,0.944,2.330314712285761
10,0.32,1.903,1961.306,37.878,0.653,0.49,1.0,0.816,1,12013,232,143.13,0.49,1.333,0.75,1.0,0.6383076486422923
11,0.586,2.596,1974.694,38.367,0.816,0.816,1.0,1.045,1,12096,235,128.66,0.816,1.101,0.908,0.936,0.8637814383365767
12,0.32,1.903,1821.551,40.98,0.49,0.653,1.0,0.816,1,11157,251,126.87,0.49,1.333,0.75,1.0,0.6383076486422923
13,0.24,1.577,342.694,41.959,0.49,0.49,1.0,0.693,1,2099,257,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
14,0.506,2.461,1952.49,46.204,0.653,0.816,1.0,1.045,1,11959,283,128.66,0.653,1.273,0.785,0.974,0.8026575917762147
15,0.24,1.577,351.347,47.02,0.49,0.49,1.0,0.693,1,2152,288,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
16,7106.079,528.621,860.898,47.673,103.02,126.041,0.32,136.359,1,5446,1064,64.846,88.202,1.659,0.603,0.81,95.1196130711858
17,0.613,2.691,319.184,52.735,0.816,0.816,1.0,1.045,1,1956,323,128.66,0.816,1.008,0.992,0.958,0.8834567566794963
18,5.118,8.497,1640.816,55.347,2.122,2.939,0.891,3.14,1,10052,356,62.103,2.122,1.351,0.74,0.939,2.5527318680101447
19,0.48,2.365,335.02,56.816,0.816,0.653,1.0,0.952,1,2052,348,149.036,0.653,1.248,0.801,0.947,0.7817640190446719
20,18.339,16.228,1803.265,57.469,4.898,5.224,0.875,5.714,1,11046,356,143.13,4.258,1.349,0.741,0.942,4.83217756409035
21,1.146,3.806,345.796,58.122,1.143,1.143,0.994,1.505,1,2118,356,139.399,1.143,1.108,0.903,0.945,1.207945577526776
22,0.986,3.48,333.714,58.449,1.143,0.98,1.0,1.404,1,2044,364,35.538,0.98,1.23,0.813,0.949,1.1204526724091788
23,0.666,2.883,351.02,59.429,0.816,0.816,1.0,1.154,1,2150,364,135.0,0.816,1.0,1.0,1.0,0.9208569578352647
24,0.613,2.691,1955.755,60.082,0.816,0.816,1.0,1.045,1,11979,368,128.66,0.816,1.008,0.992,0.958,0.8834567566794963
25,0.32,1.903,353.959,62.694,0.653,0.49,1.0,0.816,1,2168,384,143.13,0.49,1.333,0.75,1.0,0.6383076486422923
26,0.426,2.23,344.163,64.653,0.653,0.653,1.0,0.924,1,2108,396,135.0,0.653,1.0,1.0,1.0,0.7364781368494107
27,0.48,2.365,1234.612,65.469,0.653,0.816,1.0,1.045,1,7562,406,51.34,0.653,1.362,0.734,0.947,0.7817640190446719
28,0.853,3.153,343.02,67.265,0.98,0.98,1.0,1.177,1,2102,412,123.69,0.98,1.0,1.0,0.941,1.0421484211277652
29,0.96,3.384,348.898,68.082,0.98,1.143,1.0,1.316,1,2138,424,60.255,0.98,1.186,0.843,0.935,1.1055812783082735
30,0.986,3.575,351.347,69.878,0.98,1.143,0.969,1.404,1,2152,428,125.538,0.98,1.222,0.819,0.937,1.1204526724091788
31,0.32,1.903,345.959,71.184,0.49,0.653,1.0,0.816,1,2119,436,126.87,0.49,1.333,0.75,1.0,0.6383076486422923
32,0.4,2.134,356.408,71.673,0.653,0.653,1.0,0.924,1,2183,443,45.0,0.653,1.137,0.88,0.968,0.7136496464611084
33,0.933,3.44,340.735,72.163,0.98,0.98,0.991,1.385,1,2087,448,45.0,0.98,1.065,0.939,0.986,1.0899231602447519
34,0.506,2.461,348.898,73.469,0.816,0.653,1.0,1.045,1,2137,450,141.34,0.653,1.273,0.785,0.974,0.8026575917762147
35,0.8,3.209,338.776,74.122,0.98,0.816,0.976,1.275,1,2075,454,140.194,0.816,1.2,0.833,1.0,1.009253008808064
36,1.466,4.364,354.449,75.755,1.143,1.469,0.967,1.681,1,2172,473,60.945,1.143,1.32,0.757,0.94,1.3662244224803437
