 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,349.561,104.865,1986.122,20.082,29.388,24.653,0.399,29.534,1,12165,178,174.289,19.075,1.755,0.57,0.737,21.09679806267217
2,18.339,19.398,1862.367,99.918,4.898,6.857,0.612,7.926,1,11409,653,57.619,3.405,2.679,0.373,0.871,4.83217756409035
3,30.627,42.156,170.612,150.204,8.0,13.061,0.217,13.765,1,1049,922,112.306,7.407,2.773,0.361,0.478,6.244638303104819
4,10.156,17.679,179.102,153.469,2.122,7.673,0.408,7.881,1,1098,940,103.173,1.673,5.228,0.191,0.885,3.5959728609001367
5,1.919,5.017,177.306,161.469,1.306,1.633,0.958,1.904,1,1087,989,120.964,1.306,1.275,0.784,0.954,1.5631208162988481
6,1.413,4.228,167.184,201.959,1.143,1.306,0.993,1.633,1,1025,1245,53.13,1.143,1.148,0.871,0.972,1.341300666036808
7,0.666,2.883,1305.959,202.776,0.816,0.816,1.0,1.154,1,7999,1242,135.0,0.816,1.0,1.0,1.0,0.9208569578352647
8,0.666,2.883,2158.694,203.265,0.816,0.816,1.0,1.154,1,13222,1245,135.0,0.816,1.0,1.0,1.0,0.9208569578352647
9,36.651,22.591,169.469,278.041,6.531,7.347,0.902,7.539,1,1052,1748,72.35,6.433,1.179,0.848,0.963,6.831215305792115
10,1.066,3.671,1874.612,296.163,0.98,1.143,0.994,1.505,1,11482,1814,130.601,0.98,1.209,0.827,0.976,1.1650207529000003
11,1.093,3.767,46.857,314.612,1.143,0.98,0.968,1.505,1,287,1927,139.399,0.98,1.176,0.85,0.988,1.1796825091504632
12,1.573,4.459,164.082,318.041,1.143,1.469,0.994,1.681,1,1006,1948,119.055,1.143,1.278,0.782,0.967,1.415205216167751
13,0.8,3.209,470.204,320.816,0.816,0.98,0.976,1.275,1,2880,1965,129.806,0.816,1.2,0.833,1.0,1.009253008808064
14,0.666,2.883,333.388,321.469,0.816,0.816,1.0,1.154,1,2042,1969,135.0,0.816,1.0,1.0,1.0,0.9208569578352647
15,0.8,3.209,392.98,325.061,0.816,0.98,0.976,1.275,1,2407,1991,129.806,0.816,1.2,0.833,1.0,1.009253008808064
16,4.425,7.708,778.939,326.367,2.449,2.122,0.936,2.776,1,4771,2009,28.072,2.122,1.212,0.825,0.951,2.37362275550541
17,3.012,6.171,2.449,329.306,2.122,1.633,0.994,2.338,1,15,2025,24.775,1.633,1.304,0.767,0.954,1.9583149666849584
18,0.933,3.44,212.245,329.469,0.98,0.98,0.991,1.385,1,1300,2024,45.0,0.98,1.065,0.939,0.986,1.0899231602447519
19,0.666,2.883,668.408,336.98,0.816,0.816,1.0,1.154,1,4094,2064,135.0,0.816,1.0,1.0,1.0,0.9208569578352647
20,2.612,5.709,566.204,338.776,1.796,1.633,1.0,2.091,1,3468,2084,38.66,1.633,1.095,0.913,0.956,1.8236506493427531
21,0.933,3.536,598.694,340.408,0.816,1.143,0.938,1.404,1,3667,2085,125.538,0.816,1.4,0.714,1.0,1.0899231602447519
22,0.8,3.209,199.184,342.857,0.98,0.816,0.976,1.275,1,1220,2100,140.194,0.816,1.2,0.833,1.0,1.009253008808064
23,1.226,3.902,234.776,348.245,1.143,1.143,1.0,1.505,1,1438,2133,130.601,1.143,1.052,0.95,0.968,1.2493965270662912
24,1.066,3.671,728.163,356.735,0.98,1.143,0.994,1.505,1,4460,2192,49.399,0.98,1.209,0.827,0.976,1.1650207529000003
25,0.8,3.209,445.878,364.898,0.98,0.816,0.976,1.275,1,2731,2235,140.194,0.816,1.2,0.833,1.0,1.009253008808064
26,4.025,7.421,130.122,383.51,2.449,2.122,0.918,3.037,1,797,2349,143.746,1.963,1.528,0.655,0.947,2.2637997189590404
27,0.933,3.44,242.286,385.306,0.98,0.98,0.991,1.385,1,1484,2366,45.0,0.98,1.065,0.939,0.986,1.0899231602447519
