 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,4.878,9.301,1111.184,159.673,3.102,2.122,0.709,3.432,1,6806,982,154.654,2.122,1.635,0.612,0.899,2.492160207373941
2,14.314,25.562,1108.082,161.469,3.592,10.939,0.275,11.327,1,6791,989,105.038,2.138,7.018,0.142,0.749,4.269092508173033
3,2.586,7.055,1120.98,163.592,2.612,1.633,0.653,3.08,1,6866,1002,147.995,1.158,2.864,0.349,0.882,1.8145515872206914
4,2.052,5.152,942.857,359.51,1.633,1.469,0.972,2.091,1,5775,2202,141.34,1.469,1.27,0.787,0.945,1.616381002671262
5,0.933,3.536,1702.041,508.082,0.816,1.143,0.938,1.404,1,10425,3112,125.538,0.816,1.4,0.714,1.0,1.0899231602447519
6,2.346,5.98,1042.449,783.837,1.959,1.796,0.824,2.658,1,6385,4812,42.51,1.27,2.066,0.484,0.926,1.7282997344062434
7,16.18,25.028,1038.531,794.122,10.286,4.571,0.325,11.066,1,6361,4889,21.644,2.363,5.696,0.176,0.764,4.538834193249951
8,16.633,25.411,14.204,815.347,4.408,10.449,0.324,11.16,1,88,4994,110.556,2.568,6.129,0.163,0.73,4.60193365310496
9,2.079,5.152,17.959,815.673,1.796,1.306,0.984,1.973,1,110,4998,155.556,1.306,1.394,0.717,0.951,1.6269803359304633
10,3.865,7.748,21.388,820.082,2.122,2.612,0.809,3.17,1,131,5039,55.491,1.822,1.801,0.555,0.921,2.218348674217244
11,0.666,2.883,65.796,976.49,0.816,0.816,1.0,1.154,1,403,5981,135.0,0.816,1.0,1.0,1.0,0.9208569578352647
12,68374.151,1600.604,954.449,1095.51,340.898,354.122,0.335,366.978,1,5880,8074,27.762,329.404,1.1,0.909,0.807,295.05367798231777
13,4.318,9.206,1104.327,1127.184,1.633,3.592,0.64,3.945,1,6764,6926,65.556,1.473,2.847,0.351,0.923,2.3447491026048892
14,1.733,5.056,1683.102,1139.102,1.633,1.469,0.852,2.197,1,10309,6986,41.987,1.224,1.844,0.542,0.909,1.4854373534505039
15,2.372,5.709,1677.224,1139.592,1.633,1.796,0.915,2.309,1,10273,6990,45.0,1.616,1.387,0.721,0.947,1.737850453897517
16,48.753,39.6,1679.51,1139.592,9.796,12.408,0.391,13.955,1,10297,7056,61.336,7.669,2.168,0.461,0.661,7.878721185857093
17,13.728,16.34,1687.02,1149.714,5.388,4.408,0.646,6.759,1,10333,7069,37.147,3.125,2.293,0.436,0.861,4.180793282395617
18,0.666,2.883,1695.673,1151.184,0.816,0.816,1.0,1.154,1,10386,7051,135.0,0.816,1.0,1.0,1.0,0.9208569578352647
19,8.743,15.09,1671.347,1152.0,3.102,5.878,0.482,6.367,1,10241,7092,67.38,2.188,3.682,0.272,0.823,3.3364552056965384
20,4.292,9.11,1675.265,1157.061,3.265,1.959,0.65,3.517,1,10261,7098,21.801,1.959,2.123,0.471,0.824,2.3376792179431547
21,2.132,5.805,1044.245,1180.735,1.469,1.959,0.795,2.449,1,6396,7244,53.13,1.286,1.936,0.517,0.914,1.6475881491972948
22,1.386,4.133,1028.408,1203.429,1.306,1.143,1.0,1.54,1,6299,7372,147.995,1.143,1.139,0.878,0.963,1.3284238815238665
