 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.32,1.903,33.796,0.653,0.49,0.653,1.0,0.816,1,207,4,126.87,0.49,1.333,0.75,1.0,0.6383076486422923
2,0.586,2.787,24.816,1.306,0.98,0.653,0.949,1.177,1,152,8,146.31,0.653,1.573,0.636,0.957,0.8637814383365767
3,1.04,3.615,18.286,1.469,1.143,1.143,1.0,1.505,1,112,9,130.601,1.039,1.414,0.707,0.929,1.1507254783503185
4,0.426,2.23,9.469,2.449,0.653,0.653,1.0,0.924,1,58,15,135.0,0.653,1.0,1.0,1.0,0.7364781368494107
5,0.4,2.134,54.857,2.449,0.653,0.653,1.0,0.924,1,336,15,135.0,0.653,1.137,0.88,0.968,0.7136496464611084
6,1232.367,261.964,2194.939,2.612,59.918,50.776,0.226,65.597,1,13484,285,41.266,41.616,1.711,0.584,0.65,39.611846687911914
7,0.48,2.461,31.837,3.265,0.653,0.816,0.996,1.045,1,195,20,128.66,0.653,1.372,0.729,0.947,0.7817640190446719
8,10.849,12.996,24.49,3.592,3.592,4.245,0.807,4.548,1,157,22,111.038,3.476,1.19,0.841,0.911,3.716635013131069
9,0.586,2.691,8.98,3.918,0.98,0.653,1.0,1.177,1,55,24,146.31,0.653,1.542,0.649,0.957,0.8637814383365767
10,0.853,3.345,13.388,4.082,0.816,1.143,0.958,1.404,1,82,25,125.538,0.816,1.485,0.673,0.955,1.0421484211277652
11,0.24,1.577,19.918,4.408,0.49,0.49,1.0,0.693,1,122,27,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
12,3.705,9.381,18.122,5.224,1.633,3.592,0.529,3.683,1,112,32,102.804,1.633,2.507,0.399,0.781,2.17194671049816
13,1.706,4.73,3.265,6.694,1.306,1.633,0.958,1.758,1,22,51,68.199,1.306,1.284,0.779,0.914,1.4738204311645933
14,1.573,5.248,1.469,7.347,0.98,2.122,0.718,2.221,1,10,58,72.897,0.98,2.524,0.396,0.881,1.415205216167751
15,4.985,14.994,13.388,7.347,2.612,4.898,0.279,5.217,1,84,75,69.864,2.119,3.201,0.312,0.553,2.5193449804472565
16,0.24,1.577,1230.367,8.163,0.49,0.49,1.0,0.693,1,7536,50,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
17,0.32,1.903,1513.633,8.327,0.49,0.653,1.0,0.816,1,9271,51,126.87,0.49,1.333,0.75,1.0,0.6383076486422923
18,0.906,3.519,16.653,8.49,1.306,0.98,0.919,1.54,1,102,53,147.995,0.876,1.862,0.537,0.883,1.0740367905849675
19,8.69,20.687,3.102,8.816,5.224,4.082,0.255,5.546,1,20,54,132.614,3.878,1.599,0.625,0.597,3.3263270500280884
20,5.145,9.73,8.163,9.959,2.939,3.265,0.683,3.366,1,56,81,75.964,2.501,1.297,0.771,0.786,2.559456477001008
21,0.826,3.345,1.633,10.286,0.816,1.143,0.928,1.316,1,10,63,119.745,0.816,1.415,0.707,0.939,1.0255222396180612
22,0.24,1.577,19.755,10.286,0.49,0.49,1.0,0.693,1,121,63,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
23,2.052,5.192,18.776,11.429,1.796,1.469,0.957,1.911,1,115,76,19.983,1.469,1.259,0.794,0.911,1.616381002671262
24,1.226,3.942,14.694,12.245,1.143,1.306,0.992,1.54,1,91,75,122.005,1.143,1.248,0.801,0.92,1.2493965270662912
25,1.626,4.826,1.959,12.408,1.633,1.306,0.877,1.904,1,12,82,30.964,1.249,1.505,0.664,0.897,1.4388493665910183
26,1.04,3.806,0.327,12.898,0.98,1.306,0.902,1.505,1,2,87,49.399,0.98,1.507,0.663,0.897,1.1507254783503185
27,1.359,4.077,263.673,13.224,1.469,1.143,1.0,1.608,1,1615,83,156.038,1.143,1.324,0.755,0.919,1.3154210509548212
28,0.72,2.922,9.959,13.551,0.98,0.816,1.0,1.177,1,61,83,146.31,0.816,1.21,0.826,0.947,0.9574614729634384
29,0.506,2.461,5.224,14.204,0.816,0.653,1.0,1.045,1,32,91,38.66,0.653,1.273,0.785,0.974,0.8026575917762147
30,0.426,2.23,3.265,15.347,0.653,0.653,1.0,0.924,1,20,94,135.0,0.653,1.0,1.0,1.0,0.7364781368494107
31,1.413,4.268,895.02,15.347,1.469,1.143,0.975,1.681,1,5482,95,150.945,1.143,1.35,0.741,0.93,1.341300666036808
32,0.986,3.48,2025.796,15.347,1.143,0.98,1.0,1.404,1,12408,99,35.538,0.98,1.23,0.813,0.949,1.1204526724091788
33,2.186,5.248,1743.184,16.49,1.469,1.633,0.997,1.993,1,10678,101,124.992,1.469,1.154,0.867,0.965,1.668323003734908
34,1.866,4.961,1177.469,16.816,1.633,1.469,0.953,1.766,1,7212,105,146.31,1.469,1.117,0.895,0.909,1.5413841151626722
35,1.839,4.826,1460.898,16.816,1.306,1.633,0.993,1.825,1,8950,113,63.435,1.306,1.242,0.805,0.945,1.5301919888589028
36,0.986,3.48,0.816,17.633,1.143,0.98,1.0,1.316,1,5,109,150.255,0.98,1.157,0.864,0.949,1.1204526724091788
37,1.146,3.75,611.265,17.633,1.306,1.143,1.0,1.54,1,3744,109,147.995,1.132,1.428,0.7,0.905,1.207945577526776
38,0.24,1.577,250.612,17.796,0.49,0.49,1.0,0.693,1,1535,109,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
39,2.825,6.402,6.694,18.612,2.286,1.633,0.866,2.556,1,41,116,153.435,1.633,1.574,0.635,0.922,1.8965499502720289
40,0.96,3.48,2.122,19.102,1.143,0.98,0.996,1.404,1,13,123,35.538,0.98,1.303,0.768,0.935,1.1055812783082735
41,0.64,2.922,1773.551,19.429,0.816,0.98,0.941,1.275,1,10863,119,129.806,0.816,1.587,0.63,0.906,0.9027033336764101
42,0.24,1.577,328.98,20.245,0.49,0.49,1.0,0.693,1,2015,124,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
43,1.093,3.711,263.837,20.898,0.98,1.306,0.997,1.46,1,1617,128,116.565,0.98,1.363,0.734,0.932,1.1796825091504632
44,0.506,2.461,243.265,21.224,0.816,0.653,1.0,1.045,1,1490,134,38.66,0.653,1.273,0.785,0.974,0.8026575917762147
45,0.4,2.134,1.306,26.122,0.653,0.653,1.0,0.924,1,8,164,45.0,0.653,1.137,0.88,0.968,0.7136496464611084
46,3.359,8.441,7.347,27.429,2.776,2.449,0.592,3.14,1,45,173,152.103,2.062,1.888,0.53,0.746,2.0680453647745285
47,7.17,9.691,1025.959,62.857,3.102,2.939,0.959,3.397,1,6285,388,144.782,2.886,1.156,0.865,0.947,3.0214446107369097
48,7.277,9.786,2156.735,62.857,3.102,2.939,0.955,3.397,1,13211,388,144.782,2.939,1.129,0.886,0.948,3.043906070666074
49,7.25,9.786,1874.449,64.327,3.102,2.939,0.951,3.366,1,11481,399,157.166,2.939,1.105,0.905,0.946,3.0382538898732494
50,7.517,10.017,1308.571,64.49,3.265,2.939,0.941,3.409,1,8015,400,163.301,2.939,1.135,0.881,0.945,3.093693853272204
51,7.304,9.882,1591.837,64.653,3.102,2.939,0.94,3.397,1,9751,399,144.782,2.939,1.131,0.884,0.943,3.049547775448948
52,7.09,9.691,742.204,65.469,3.102,2.939,0.949,3.397,1,4547,404,144.782,2.886,1.158,0.863,0.945,3.0045412914740086
53,7.064,9.595,176.0,65.796,3.102,2.939,0.964,3.366,1,1078,408,157.166,2.886,1.134,0.882,0.945,2.999027199611432
54,7.01,9.73,459.592,67.429,3.265,2.939,0.93,3.366,1,2815,419,165.964,2.886,1.157,0.864,0.934,2.987542335866304
55,1.893,4.77,2148.245,119.51,1.469,1.633,1.0,1.758,1,13160,732,111.801,1.469,1.075,0.931,0.928,1.5524955581848416
56,1.546,4.364,1017.469,119.673,1.306,1.306,1.0,1.633,1,6233,733,126.87,1.306,1.069,0.936,0.959,1.4030068909882665
57,1.493,4.268,1865.959,121.143,1.306,1.306,1.0,1.54,1,11430,742,122.005,1.306,1.005,0.995,0.949,1.3787482149724068
58,1.466,4.364,1300.082,121.306,1.306,1.306,0.967,1.633,1,7964,743,126.87,1.306,1.093,0.915,0.932,1.3662244224803437
59,1.546,4.364,1583.347,121.469,1.306,1.306,1.0,1.633,1,9699,744,126.87,1.306,1.069,0.936,0.959,1.4030068909882665
60,1.466,4.268,733.714,122.286,1.306,1.306,1.0,1.54,1,4495,749,122.005,1.306,1.035,0.966,0.94,1.3662244224803437
