 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,6.531,9.268,1170.612,0.327,3.102,2.776,0.955,3.14,1,7170,9,171.027,2.776,1.081,0.925,0.939,2.8836656301772137
2,0.986,3.615,1556.735,3.755,1.306,0.98,0.948,1.395,1,9535,27,20.556,0.98,1.301,0.769,0.892,1.1204526724091788
3,0.107,0.924,18.939,4.571,0.327,0.327,1.0,0.462,1,116,28,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
4,4.825,8.249,448.327,4.735,2.449,2.776,0.891,2.921,1,2748,29,116.565,2.409,1.216,0.822,0.921,2.478584435387901
5,0.24,1.808,373.388,6.204,0.49,0.653,0.923,0.73,1,2287,38,116.565,0.49,1.343,0.745,0.857,0.5527906391541367
6,6.397,9.229,456.98,9.469,2.776,2.939,0.944,3.17,1,2800,73,34.509,2.776,1.134,0.881,0.943,2.8539294608786037
7,2.985,6.307,435.265,12.408,1.796,2.122,0.943,2.274,1,2668,76,111.038,1.796,1.202,0.832,0.926,1.9495178996445406
8,0.853,3.153,1171.102,14.857,0.98,0.98,1.0,1.177,1,7174,91,123.69,0.98,1.0,1.0,0.941,1.0421484211277652
9,5.065,8.249,444.245,16.98,2.449,2.776,0.935,2.893,1,2726,104,106.39,2.449,1.152,0.868,0.925,2.539479925906799
10,0.107,1.154,1570.776,20.735,0.49,0.327,1.0,0.516,1,9621,127,161.565,0.327,1.468,0.681,0.8,0.36910246719124273
11,8.237,10.845,428.082,24.327,3.429,3.429,0.88,3.584,1,2624,154,149.931,3.117,1.116,0.896,0.929,3.238467867678099
12,0.533,2.5,445.551,32.163,0.816,0.816,1.0,1.045,1,2729,202,38.66,0.808,1.282,0.78,0.909,0.8237940745986474
13,40.17,25.688,440.163,33.143,7.673,7.347,0.765,8.344,1,2696,211,149.421,7.017,1.131,0.884,0.917,7.15164544087663
