 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.586,2.962,1457.143,2.286,1.143,0.816,0.84,1.243,1,8925,15,156.801,0.803,1.667,0.6,0.83,0.8637814383365767
2,204.128,73.808,195.755,2.776,16.816,23.184,0.471,23.412,1,1230,17,98.017,16.071,1.385,0.722,0.776,16.12153348126968
3,0.8,3.615,133.878,6.204,1.143,1.143,0.769,1.404,1,820,45,35.538,0.98,1.421,0.704,0.845,1.009253008808064
4,2.879,6.307,1914.286,9.306,2.286,1.633,0.91,2.377,1,11725,63,15.945,1.633,1.429,0.7,0.919,1.9145904651628591
5,0.613,2.866,234.776,9.469,0.98,0.98,0.938,1.275,1,1438,58,129.806,0.784,1.806,0.554,0.836,0.8834567566794963
6,0.88,3.519,1423.51,11.102,1.306,0.98,0.892,1.54,1,8719,73,32.005,0.876,1.898,0.527,0.88,1.0585134856802454
7,47.793,30.919,839.673,12.082,10.776,8.653,0.628,12.498,1,5144,80,146.725,5.38,2.574,0.388,0.907,7.800765190769918
8,2.959,7.095,1296.49,14.041,1.959,2.449,0.739,2.809,1,7943,100,54.462,1.771,1.733,0.577,0.867,1.9410089677462459
9,0.133,1.154,1459.918,14.041,0.49,0.327,1.0,0.589,1,8942,86,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
10,0.213,1.616,1454.367,16.327,0.653,0.49,1.0,0.673,1,8908,101,165.964,0.49,1.195,0.837,0.8,0.5207686847618525
11,0.213,1.481,1448.327,16.49,0.49,0.49,1.0,0.693,1,8871,104,45.0,0.49,1.229,0.814,0.941,0.5207686847618525
12,0.027,0.462,886.041,18.449,0.163,0.163,1.0,0.231,1,5427,113,135.0,0.163,1.0,1.0,1.0,0.185411616971131
13,0.187,1.481,1504.163,18.776,0.49,0.49,1.0,0.589,1,9213,115,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
14,0.666,2.962,1294.857,18.939,1.143,0.816,0.954,1.316,1,7931,117,150.255,0.808,1.704,0.587,0.893,0.9208569578352647
15,0.426,2.5,494.694,21.878,0.98,0.653,0.857,1.177,1,3030,134,146.31,0.653,2.144,0.466,0.821,0.7364781368494107
16,0.133,1.808,496.49,21.878,0.816,0.327,0.513,0.879,1,3041,136,21.801,0.31,4.051,0.247,0.667,0.41151046092387084
17,0.666,2.827,1433.143,25.633,0.98,0.816,1.0,1.095,1,8778,158,153.435,0.816,1.23,0.813,0.909,0.9208569578352647
18,0.4,2.134,1434.939,27.592,0.653,0.653,1.0,0.924,1,8789,169,135.0,0.653,1.137,0.88,0.968,0.7136496464611084
19,0.666,2.827,1449.796,27.918,0.98,0.816,1.0,1.177,1,8880,172,146.31,0.816,1.294,0.773,0.909,0.9208569578352647
20,0.267,1.712,1456.98,27.918,0.653,0.49,1.0,0.73,1,8924,171,153.435,0.49,1.236,0.809,0.909,0.5830565653899187
21,1560.79,187.622,603.429,28.408,51.102,53.061,0.557,68.104,1,3723,181,131.793,38.922,1.71,0.585,0.885,44.578689404548385
22,0.293,1.808,1461.878,29.388,0.653,0.49,1.0,0.816,1,8954,180,143.13,0.49,1.372,0.729,0.957,0.6107857125108631
23,153.483,52.124,166.857,30.367,18.612,13.714,0.71,18.843,1,1022,238,8.973,9.301,2.015,0.496,0.971,13.979292723331428
24,0.107,1.25,1471.184,31.51,0.327,0.49,0.857,0.589,1,9011,196,56.31,0.327,2.031,0.492,0.8,0.36910246719124273
25,11831.817,454.75,663.02,32.327,110.857,160.327,0.719,164.389,1,4304,1176,75.094,98.504,1.691,0.591,0.969,122.7384914787116
26,61.228,39.201,768.816,35.755,10.122,12.735,0.501,13.67,1,4713,220,119.32,8.512,1.716,0.583,0.77,8.829377715617593
27,0.8,5.287,295.347,36.735,1.469,1.796,0.359,1.911,1,1811,225,109.983,1.012,2.505,0.399,0.508,1.009253008808064
28,0.426,2.269,1445.061,37.714,0.653,0.816,1.0,0.924,1,8851,231,135.0,0.653,1.15,0.869,0.889,0.7364781368494107
29,92.681,42.737,252.898,38.531,15.51,9.633,0.638,15.614,1,1549,275,6.605,9.293,1.89,0.529,0.891,10.86301589088406
30,0.506,2.827,1412.898,39.02,0.653,1.143,0.796,1.243,1,8655,239,113.199,0.653,2.076,0.482,0.844,0.8026575917762147
31,0.32,1.943,1420.245,41.143,0.653,0.653,1.0,0.816,1,8699,252,143.13,0.653,1.135,0.881,0.857,0.6383076486422923
32,0.187,1.481,1456.49,44.408,0.49,0.49,1.0,0.589,1,8922,272,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
33,0.053,0.693,1467.755,46.041,0.327,0.163,1.0,0.365,1,8990,282,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
34,0.16,1.385,1492.735,47.02,0.49,0.49,1.0,0.589,1,9144,288,123.69,0.462,1.291,0.775,0.8,0.45135166683820505
35,0.48,2.365,1457.959,49.306,0.816,0.653,1.0,0.952,1,8930,302,149.036,0.653,1.218,0.821,0.947,0.7817640190446719
36,0.88,3.289,1586.286,49.796,1.143,0.98,1.0,1.243,1,9716,307,156.801,0.98,1.127,0.888,0.904,1.0585134856802454
37,0.267,1.808,1470.857,49.959,0.653,0.49,1.0,0.816,1,9009,306,143.13,0.49,1.288,0.776,0.909,0.5830565653899187
38,19.832,18.609,114.612,50.122,7.184,4.082,0.72,7.301,1,702,319,10.305,4.082,1.747,0.573,0.921,5.0250260348766105
39,0.826,3.193,2152.98,50.449,1.143,0.98,1.0,1.189,1,13187,311,164.055,0.98,1.116,0.896,0.886,1.0255222396180612
40,180.458,61.172,1291.755,51.102,18.939,15.347,0.606,21.265,1,7913,404,38.454,13.407,1.807,0.553,0.878,15.158042807823772
41,0.853,3.193,1868.898,51.265,1.143,0.98,1.0,1.243,1,11447,316,156.801,0.98,1.177,0.85,0.901,1.0421484211277652
42,1.04,3.615,165.224,53.061,1.143,1.143,1.0,1.316,1,1012,326,150.255,1.143,1.096,0.913,0.907,1.1507254783503185
43,0.853,3.193,447.837,54.694,1.143,0.98,1.0,1.243,1,2743,337,156.801,0.98,1.177,0.85,0.901,1.0421484211277652
44,181.444,67.152,478.531,57.633,20.735,14.694,0.506,21.613,1,2931,364,154.016,14.229,1.582,0.632,0.802,15.199397223407475
45,614.464,129.874,1776.327,61.061,39.51,31.673,0.458,39.632,1,10880,494,175.511,28.419,1.144,0.874,0.769,27.970696516464283
46,165.131,65.925,2085.388,61.224,15.51,20.245,0.477,22.066,1,12795,384,121.691,13.85,1.923,0.52,0.786,14.500045491710091
47,0.08,0.924,1456.49,63.51,0.327,0.327,1.0,0.462,1,8921,389,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
48,0.133,1.25,1445.714,66.939,0.49,0.327,1.0,0.589,1,8855,410,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
49,4.132,7.692,415.837,70.531,2.776,2.122,0.878,2.851,1,2547,442,13.241,2.122,1.317,0.759,0.906,2.293692612109498
50,3.225,6.864,127.184,75.265,1.796,2.449,0.86,2.638,1,780,461,111.801,1.796,1.339,0.747,0.903,2.0263754666327016
51,0.107,1.25,1392.98,77.878,0.327,0.49,0.857,0.516,1,8533,477,108.435,0.327,1.468,0.681,0.8,0.36910246719124273
52,2.052,5.439,1734.857,79.02,1.796,1.306,0.872,2.091,1,10627,492,38.66,1.306,1.47,0.68,0.945,1.616381002671262
53,0.613,3.615,1737.469,80.0,0.816,1.469,0.59,1.608,1,10642,490,113.962,0.657,3.082,0.324,0.767,0.8834567566794963
54,0.08,0.924,1338.122,80.98,0.327,0.327,1.0,0.462,1,8196,496,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
55,0.24,1.712,1387.592,85.714,0.49,0.653,1.0,0.73,1,8499,525,116.565,0.49,1.34,0.746,0.857,0.5527906391541367
56,91.242,39.178,1669.224,92.735,14.857,8.49,0.747,15.008,1,10224,601,8.13,8.038,1.876,0.533,0.972,10.778354352159967
57,0.107,0.924,1449.306,93.551,0.327,0.327,1.0,0.462,1,8877,573,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
58,62.347,31.661,2092.735,96.653,11.429,7.51,0.782,11.523,1,12818,623,7.326,6.532,1.731,0.578,0.965,8.909695050651464
59,0.053,0.693,248.163,97.306,0.327,0.163,1.0,0.365,1,1520,596,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
60,0.373,2.038,1438.041,98.122,0.653,0.653,1.0,0.924,1,8808,605,45.0,0.653,1.319,0.758,0.933,0.6891432000580254
61,0.453,2.731,207.837,99.755,0.816,0.98,0.763,1.177,1,1274,611,123.69,0.653,2.072,0.483,0.791,0.7594586978664665
62,40.33,28.172,1872.0,103.02,8.98,8.98,0.639,10.326,1,11483,686,55.305,5.481,1.808,0.553,0.873,7.165874045723181
63,171.155,66.426,948.571,110.041,19.102,18.449,0.487,20.496,1,5811,706,157.521,13.821,1.485,0.673,0.794,14.76215818500624
64,0.373,2.038,1439.184,110.694,0.653,0.653,1.0,0.924,1,8815,682,45.0,0.653,1.319,0.758,0.933,0.6891432000580254
65,0.533,4.133,1365.061,110.857,1.796,0.49,0.392,1.862,1,8361,682,15.255,0.49,4.857,0.206,0.69,0.8237940745986474
66,0.64,2.922,1875.592,112.653,1.143,0.653,0.941,1.316,1,11488,690,150.255,0.653,1.801,0.555,0.941,0.9027033336764101
67,0.027,0.462,1653.061,116.082,0.163,0.163,1.0,0.231,1,10125,711,135.0,0.163,1.0,1.0,1.0,0.185411616971131
68,233.076,59.539,2023.02,120.653,17.959,17.796,0.826,19.727,1,12410,741,118.686,15.94,1.262,0.793,0.952,17.226769288775326
69,0.187,1.481,1361.306,121.143,0.49,0.49,1.0,0.589,1,8339,742,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
70,0.107,0.924,1437.551,121.959,0.327,0.327,1.0,0.462,1,8805,747,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
71,0.773,3.615,1463.184,122.449,0.816,1.469,0.743,1.549,1,8962,750,108.435,0.816,2.144,0.466,0.841,0.9920756866692585
72,0.08,0.924,1363.429,123.265,0.327,0.327,1.0,0.462,1,8351,757,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
73,0.133,1.385,1440.49,127.51,0.49,0.49,0.873,0.516,1,8824,781,108.435,0.462,1.0,1.0,0.714,0.41151046092387084
74,0.053,0.788,1356.245,127.837,0.163,0.327,1.0,0.365,1,8307,783,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
75,13.035,20.114,1397.224,128.327,5.714,5.224,0.405,6.838,1,8558,789,146.689,3.925,2.179,0.459,0.705,4.073901995093014
76,1.04,3.75,1355.429,131.265,1.143,1.306,0.929,1.404,1,8303,804,125.538,1.143,1.289,0.776,0.867,1.1507254783503185
77,757.791,135.25,2123.102,132.082,40.327,39.184,0.521,47.055,1,13024,1044,53.607,25.099,1.982,0.505,0.838,31.06202613875025
78,2.506,5.709,1065.143,135.347,1.796,1.633,0.966,2.078,1,6525,829,135.0,1.633,1.08,0.926,0.935,1.7862637820619656
79,0.16,1.385,1435.918,135.51,0.49,0.49,1.0,0.589,1,8796,830,123.69,0.462,1.291,0.775,0.8,0.45135166683820505
80,0.373,2.134,1184.653,135.673,0.816,0.49,1.0,0.952,1,7256,834,30.964,0.49,1.662,0.602,0.966,0.6891432000580254
81,887.417,239.921,1615.51,138.286,55.51,51.429,0.194,58.457,1,9895,1117,40.81,45.646,1.645,0.608,0.501,33.61390213989212
82,0.56,2.635,1355.918,140.898,0.98,0.816,1.0,1.033,1,8305,866,18.435,0.816,1.116,0.896,0.857,0.8444016491289505
83,155.562,52.227,1512.327,143.347,15.673,17.306,0.717,18.92,1,9291,879,118.334,10.373,1.898,0.527,0.93,14.073652335413554
84,51.285,28.3,612.571,146.776,8.163,8.49,0.805,9.179,1,3765,946,51.499,7.784,1.091,0.917,0.93,8.080723361911533
85,0.053,0.788,116.245,149.551,0.163,0.327,1.0,0.365,1,712,916,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
86,0.133,1.154,1354.122,153.469,0.49,0.327,1.0,0.589,1,8294,940,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
