 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.506,2.461,20.408,0.653,0.653,0.816,1.0,1.045,1,125,4,128.66,0.653,1.273,0.785,0.974,0.8026575917762147
2,9.436,11.267,1178.449,0.98,3.592,3.429,0.934,3.73,1,7219,22,23.199,3.429,1.051,0.951,0.948,3.466163346428006
3,0.426,2.269,3.918,1.306,0.653,0.816,1.0,0.952,1,25,13,59.036,0.653,1.234,0.81,0.889,0.7364781368494107
4,8.93,11.076,608.49,1.306,3.592,3.429,0.915,3.607,1,3727,19,5.194,3.405,1.024,0.976,0.932,3.37194738014771
5,0.267,1.808,1718.367,1.469,0.49,0.653,1.0,0.73,1,10526,9,116.565,0.49,1.236,0.809,0.909,0.5830565653899187
6,0.24,1.712,914.612,1.633,0.49,0.653,1.0,0.73,1,5603,14,63.435,0.49,1.34,0.746,0.857,0.5527906391541367
7,0.187,1.385,1149.878,2.286,0.49,0.49,1.0,0.589,1,7043,14,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
8,9.196,10.941,323.592,2.612,3.592,3.265,0.965,3.769,1,1982,30,17.65,3.265,1.078,0.928,0.954,3.421799359019251
9,1.386,4.172,1434.612,2.612,1.306,1.306,1.0,1.505,1,8788,16,130.601,1.306,1.022,0.979,0.92,1.3284238815238665
10,8.69,10.845,41.306,3.265,3.429,3.429,0.928,3.532,1,254,36,33.69,3.348,1.036,0.965,0.937,3.3263270500280884
11,0.107,0.924,580.245,4.735,0.327,0.327,1.0,0.462,1,3554,29,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
12,0.746,3.058,0.98,5.388,1.143,0.816,1.0,1.243,1,6,34,156.801,0.816,1.391,0.719,0.903,0.9745956599392547
13,3.625,6.864,22.367,9.796,1.796,2.449,0.967,2.535,1,141,60,104.931,1.796,1.33,0.752,0.941,2.1483699284957805
14,1013.978,177.779,341.714,10.449,35.918,60.735,0.403,61.158,1,2192,436,83.254,24.834,2.726,0.367,0.809,35.931001754633435
