 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.133,1.672,0.816,0.327,0.816,0.163,0.599,0.832,1,5,2,168.69,0.163,5.0,0.2,1.0,0.41151046092387084
2,0.293,2.461,4.245,0.327,1.143,0.327,0.609,1.154,1,26,2,171.87,0.327,3.186,0.314,0.88,0.6107857125108631
3,0.133,1.943,9.306,0.327,0.816,0.49,0.444,0.952,1,57,5,30.964,0.292,4.45,0.225,0.588,0.41151046092387084
4,0.027,0.462,572.245,0.327,0.163,0.163,1.0,0.231,1,3505,2,135.0,0.163,1.0,1.0,1.0,0.185411616971131
5,3535.434,356.127,575.184,0.327,66.122,91.592,0.35,96.557,1,3525,2,110.488,61.388,1.756,0.569,0.787,67.0928787324051
6,779.968,284.127,1698.286,0.327,77.551,18.612,0.121,77.716,1,10402,2,176.266,18.612,4.195,0.238,0.738,31.513268653505232
7,0.347,2.5,19.918,0.49,0.98,0.653,0.697,1.095,1,122,6,26.565,0.568,2.199,0.455,0.765,0.6646909973988676
8,0.16,1.577,0.327,1.143,0.327,0.653,0.809,0.73,1,2,7,116.565,0.327,2.237,0.447,0.857,0.45135166683820505
9,0.24,1.847,13.224,1.143,0.653,0.653,0.884,0.816,1,81,10,36.87,0.462,1.915,0.522,0.783,0.5527906391541367
10,0.08,1.154,314.612,1.143,0.49,0.327,0.754,0.589,1,1927,9,33.69,0.292,2.702,0.37,0.667,0.31915382432114614
11,1.546,5.231,0.816,1.469,1.796,1.469,0.71,1.862,1,5,11,164.745,1.386,1.48,0.675,0.763,1.4030068909882665
12,0.053,0.924,11.102,1.959,0.327,0.327,0.785,0.462,1,68,14,45.0,0.231,2.646,0.378,0.667,0.25977239243415307
13,6.771,9.46,18.612,2.122,2.776,3.102,0.951,3.366,1,118,13,112.834,2.776,1.157,0.864,0.948,2.936171820142988
14,0.453,2.309,658.776,3.429,0.816,0.816,1.0,0.952,1,4035,25,30.964,0.693,1.385,0.722,0.85,0.7594586978664665
15,0.027,0.462,3.755,3.755,0.163,0.163,1.0,0.231,1,23,23,135.0,0.163,1.0,1.0,1.0,0.185411616971131
16,0.08,0.924,32.0,4.082,0.327,0.327,1.0,0.462,1,196,27,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
17,2.052,5.828,11.102,4.408,2.286,1.633,0.759,2.427,1,68,35,19.654,1.339,1.981,0.505,0.851,1.616381002671262
18,1.2,4.347,1.959,4.898,1.306,1.633,0.798,1.758,1,13,40,68.199,1.154,1.488,0.672,0.818,1.2360774464742066
19,0.187,1.712,23.02,5.224,0.653,0.49,0.8,0.816,1,141,35,36.87,0.438,2.211,0.452,0.778,0.48795060699365406
20,0.027,0.462,25.306,5.224,0.163,0.163,1.0,0.231,1,155,32,135.0,0.163,1.0,1.0,1.0,0.185411616971131
21,0.053,0.693,14.204,5.551,0.327,0.163,1.0,0.365,1,87,34,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
22,0.32,2.365,312.163,5.551,0.98,0.49,0.719,1.033,1,1912,36,18.435,0.49,2.368,0.422,0.8,0.6383076486422923
