 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,22.577,19.078,475.918,7.347,6.367,5.878,0.779,6.616,1,2915,60,164.249,4.847,1.294,0.773,0.905,5.36152303002475
2,83.379,38.908,852.735,8.653,10.776,10.449,0.692,11.832,1,5224,61,152.021,10.436,1.023,0.978,0.909,10.303467377561455
3,4.398,8.345,470.204,10.286,2.612,2.612,0.794,3.366,1,2883,63,129.094,2.078,1.598,0.626,0.889,2.366370114277402
4,0.32,2.038,473.633,10.449,0.49,0.816,0.967,0.879,1,2902,69,68.199,0.49,1.579,0.633,0.889,0.6383076486422923
5,1.973,5.327,474.122,11.918,1.796,1.633,0.874,1.973,1,2904,81,24.444,1.584,1.219,0.82,0.871,1.5849610789424693
6,71.197,50.284,620.082,13.388,12.082,13.224,0.354,13.346,1,3827,163,82.266,8.484,1.698,0.589,0.733,9.521073251819324
7,342.391,117.693,1797.878,14.204,33.143,19.755,0.311,33.527,1,11012,102,171.317,19.519,1.876,0.533,0.747,20.879314188004766
8,81.833,37.011,1011.102,15.51,10.939,11.755,0.751,11.919,1,6193,135,23.405,9.402,1.245,0.803,0.924,10.207497816032712
9,3.838,9.595,460.898,16.0,3.265,2.449,0.524,3.808,1,2823,98,149.036,2.053,2.225,0.45,0.72,2.2105866580375344
10,0.506,2.787,661.878,16.163,1.143,0.49,0.819,1.243,1,4054,99,156.801,0.49,2.146,0.466,0.95,0.8026575917762147
11,1.706,5.709,632.816,17.143,2.286,1.143,0.658,2.487,1,3876,111,23.199,1.095,2.583,0.387,0.877,1.4738204311645933
12,361.396,79.319,1171.429,18.122,20.735,25.306,0.722,25.82,1,7223,112,109.581,19.524,1.426,0.701,0.931,21.450959850531373
13,4.451,9.308,843.429,28.898,3.429,2.449,0.646,3.49,1,5166,183,169.216,2.169,1.784,0.561,0.775,2.380585897130412
14,507.788,94.987,913.143,31.02,24.98,33.959,0.707,34.41,1,5653,398,80.716,22.805,1.358,0.736,0.928,25.427067505750223
15,76.395,53.295,57.633,49.306,12.735,14.367,0.338,17.207,1,354,302,123.389,8.667,2.159,0.463,0.671,9.862511597967465
16,0.373,2.691,52.571,50.939,0.49,1.143,0.647,1.189,1,322,312,105.945,0.49,2.831,0.353,0.8,0.6891432000580254
17,12.315,19.127,51.265,51.592,5.551,3.755,0.423,6.161,1,315,317,147.995,3.722,1.912,0.523,0.657,3.959791029008163
18,234.356,67.861,508.571,56.0,19.755,18.286,0.64,20.507,1,3134,353,139.844,17.005,1.213,0.824,0.886,17.274007257899186
19,88.523,41.751,529.469,58.286,9.959,12.898,0.638,13.389,1,3247,422,52.431,9.779,1.263,0.792,0.897,10.616542950442522
20,17.246,16.937,1243.755,58.776,6.041,4.082,0.755,6.459,1,7618,368,159.274,4.082,1.635,0.611,0.917,4.685967262850074
21,0.027,0.462,510.041,59.918,0.163,0.163,1.0,0.231,1,3124,367,135.0,0.163,1.0,1.0,1.0,0.185411616971131
22,136.823,56.936,1251.265,60.245,20.082,12.408,0.53,20.83,1,7664,383,158.866,9.842,2.606,0.384,0.83,13.198805030354043
23,116.965,58.233,435.755,65.959,11.265,17.469,0.433,17.64,1,2704,511,82.02,10.93,1.891,0.529,0.796,12.20346112174527
24,1995.569,270.948,177.633,78.694,62.694,71.837,0.342,74.418,1,1235,922,74.866,42.948,2.016,0.496,0.75,50.40671944341948
25,0.267,2.038,591.51,82.939,0.49,0.816,0.806,0.952,1,3623,508,120.964,0.49,2.212,0.452,0.833,0.5830565653899187
26,16102.651,531.886,1356.408,83.918,170.122,135.02,0.715,171.723,1,8314,925,10.851,133.567,1.347,0.742,0.956,143.18705258601148
27,40.996,24.477,649.959,91.102,8.163,7.184,0.86,8.189,1,3981,581,175.426,6.811,1.2,0.834,0.952,7.224799538808169
28,31.96,25.051,2212.408,92.735,8.0,7.02,0.64,8.236,1,13551,598,13.761,6.272,1.246,0.802,0.845,6.37908581614449
29,161.666,64.731,124.898,94.367,19.592,18.776,0.485,23.688,1,770,581,141.155,10.372,2.611,0.383,0.813,14.347109264209108
30,101.291,42.061,435.918,105.143,9.143,15.837,0.719,15.978,1,2697,644,97.633,8.989,1.797,0.557,0.945,11.356394970489948
31,885.045,122.511,60.898,106.122,28.735,41.469,0.741,41.49,1,456,904,88.196,28.5,1.486,0.673,0.958,33.56894834322535
32,114.699,49.568,600.98,122.612,16.163,11.429,0.587,16.324,1,3681,779,171.951,10.598,1.511,0.662,0.891,12.084672214900097
33,87.857,38.469,164.408,123.102,11.755,10.612,0.746,12.322,1,1008,801,32.005,10.419,1.182,0.846,0.916,10.576530937968139
34,19.299,16.993,1168.163,134.367,5.224,4.898,0.84,5.936,1,7155,847,31.504,4.745,1.12,0.893,0.932,4.957040445048225
35,72.317,40.643,114.776,139.102,12.735,9.469,0.55,12.819,1,703,882,6.582,8.654,1.581,0.633,0.835,9.595669031214694
36,77.008,39.297,216.653,141.061,11.918,10.776,0.627,12.685,1,1328,919,31.849,9.256,1.237,0.808,0.863,9.902001356340314
37,1199.18,156.752,2039.347,148.408,41.306,45.061,0.613,45.443,1,12545,1185,82.569,39.035,1.163,0.86,0.925,39.07484353462612
38,2.825,6.498,1906.449,149.388,1.796,2.122,0.841,2.492,1,11679,928,58.392,1.652,1.558,0.642,0.91,1.8965499502720289
39,55.817,30.896,1024.98,149.551,10.286,8.49,0.735,10.414,1,6278,959,9.019,8.165,1.262,0.792,0.907,8.430208281441365
40,100.172,111.386,1311.51,157.224,15.837,18.612,0.101,20.561,1,8036,973,136.931,13.171,2.051,0.488,0.51,11.293491562630695
41,10.796,20.146,1153.469,161.306,6.204,3.429,0.334,6.281,1,7065,1004,8.973,3.384,1.846,0.542,0.706,3.707545566134126
42,77.861,37.123,1184.816,165.224,10.776,11.429,0.71,12.91,1,7271,1081,57.918,9.329,1.304,0.767,0.887,9.956691428010839
43,31.8,24.645,822.531,173.061,7.837,6.694,0.658,9.241,1,5038,1092,32.005,6.014,1.417,0.706,0.879,6.363098107257044
44,70.424,36.176,990.367,177.796,9.633,10.449,0.676,11.796,1,6068,1152,41.634,9.195,1.342,0.745,0.898,9.469246099792164
45,0.72,3.058,950.857,182.041,0.98,0.98,0.967,1.177,1,5824,1121,33.69,0.98,1.204,0.831,0.885,0.9574614729634384
46,49.606,29.088,543.02,182.367,9.633,7.837,0.737,10.557,1,3328,1162,31.724,6.28,1.685,0.594,0.937,7.947346780915785
47,79.94,43.756,1955.755,184.327,12.082,10.449,0.525,13.912,1,11983,1140,144.071,9.605,1.549,0.645,0.815,10.088744679400351
48,53.524,33.683,695.184,187.102,8.163,10.776,0.593,11.015,1,4280,1212,78.024,7.34,1.479,0.676,0.843,8.25523309134302
49,266.236,77.146,177.143,187.918,22.367,18.939,0.562,22.868,1,1087,1231,28.578,18.05,1.264,0.791,0.864,18.41146934473484
50,83.645,45.508,1289.143,188.082,12.735,10.449,0.508,13.797,1,7898,1209,39.719,9.434,1.499,0.667,0.824,10.319889617596338
51,0.24,1.712,2148.735,188.898,0.49,0.653,1.0,0.73,1,13161,1161,63.435,0.49,1.34,0.746,0.857,0.5527906391541367
52,0.267,1.712,1864.653,189.714,0.49,0.653,1.0,0.73,1,11421,1162,116.565,0.49,1.327,0.753,0.909,0.5830565653899187
53,0.373,2.038,1580.408,190.531,0.653,0.653,1.0,0.816,1,9681,1167,126.87,0.653,1.02,0.981,0.933,0.6891432000580254
54,0.267,1.712,1013.878,192.98,0.49,0.653,1.0,0.73,1,6210,1182,116.565,0.49,1.327,0.753,0.909,0.5830565653899187
55,0.24,1.712,729.796,193.796,0.49,0.653,1.0,0.73,1,4470,1191,63.435,0.49,1.34,0.746,0.857,0.5527906391541367
56,0.267,1.712,445.714,194.612,0.49,0.653,1.0,0.73,1,2730,1192,116.565,0.49,1.327,0.753,0.909,0.5830565653899187
57,0.32,1.943,161.469,195.429,0.653,0.653,1.0,0.816,1,990,1197,126.87,0.653,1.135,0.881,0.857,0.6383076486422923
58,1.146,3.942,496.327,196.408,1.306,1.143,0.927,1.54,1,3040,1205,147.995,1.121,1.329,0.753,0.896,1.207945577526776
59,0.027,0.462,176.816,198.367,0.163,0.163,1.0,0.231,1,1083,1215,135.0,0.163,1.0,1.0,1.0,0.185411616971131
60,0.16,1.385,494.857,198.694,0.49,0.49,1.0,0.589,1,3031,1220,33.69,0.462,1.291,0.775,0.8,0.45135166683820505
61,149.831,79.27,161.959,206.204,11.755,22.204,0.3,22.924,1,1010,1396,71.307,11.155,2.41,0.415,0.698,13.81197864996953
62,8.317,21.634,1593.306,208.0,4.245,8.163,0.223,8.435,1,9772,1324,75.426,3.149,2.855,0.35,0.481,3.2541563105607496
63,0.666,5.709,1600.0,208.0,2.286,0.816,0.257,2.427,1,9800,1274,160.346,0.778,4.069,0.246,0.476,0.9208569578352647
64,0.107,0.924,720.163,209.796,0.327,0.327,1.0,0.462,1,4411,1285,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
65,0.586,3.671,1602.449,210.449,0.49,1.633,0.547,1.705,1,9815,1289,106.699,0.49,3.355,0.298,0.88,0.8637814383365767
66,7.33,22.297,1603.265,213.551,3.429,9.633,0.185,10.171,1,9821,1308,108.726,1.324,9.547,0.105,0.689,3.05497068118644
67,0.88,3.846,1595.102,216.98,1.633,0.816,0.747,1.825,1,9770,1329,153.435,0.816,2.638,0.379,0.868,1.0585134856802454
68,93.321,156.002,1600.49,223.673,11.755,39.184,0.048,39.363,1,9843,1370,95.474,10.191,5.143,0.194,0.328,10.900458135061578
69,0.347,2.596,1895.02,224.0,1.143,0.49,0.646,1.189,1,11607,1372,164.055,0.49,2.723,0.367,0.765,0.6646909973988676
70,8.13,22.822,795.918,224.49,4.245,5.388,0.196,5.476,1,4882,1375,100.305,4.194,1.487,0.673,0.499,3.217364993080032
71,0.48,2.827,1601.143,224.49,0.653,1.143,0.755,1.243,1,9807,1375,113.199,0.653,1.922,0.52,0.857,0.7817640190446719
72,9.383,14.302,1893.714,225.143,4.408,3.592,0.576,5.298,1,11599,1379,146.31,3.329,1.717,0.582,0.791,3.4564152887420847
73,573.681,99.944,1475.592,225.306,23.673,33.959,0.722,34.749,1,9063,1588,70.799,23.218,1.509,0.663,0.948,27.026530211316675
74,187.922,78.706,583.347,229.878,15.02,20.571,0.381,21.487,1,3612,1534,73.217,14.769,1.563,0.64,0.784,15.46834579797469
75,0.107,0.924,597.224,233.306,0.327,0.327,1.0,0.462,1,3658,1429,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
76,281.989,81.684,1124.571,234.122,28.735,20.082,0.531,32.761,1,6890,1441,148.449,14.437,2.347,0.426,0.853,18.948338871265836
77,1.386,6.346,1545.143,234.939,2.122,1.959,0.432,2.78,1,9464,1451,40.236,0.988,4.145,0.241,0.642,1.3284238815238665
78,4.372,10.575,1544.816,237.878,4.082,1.959,0.491,4.286,1,9462,1465,17.745,1.875,2.77,0.361,0.752,2.3593650183009265
79,744.676,136.652,203.592,242.939,38.041,32.653,0.501,43.484,1,1249,1638,30.706,26.384,1.674,0.597,0.833,30.792059548123802
80,132.825,59.747,521.959,244.898,12.735,17.796,0.468,18.428,1,3211,1599,60.255,12.735,1.688,0.592,0.771,13.004539304775388
81,0.32,1.847,1660.898,245.061,0.653,0.653,1.0,0.73,1,10174,1501,116.565,0.653,1.0,1.0,0.857,0.6383076486422923
82,15.114,15.822,1839.673,246.531,4.735,4.735,0.759,5.043,1,11275,1537,60.945,4.345,1.071,0.934,0.884,4.38676902504876
83,1197.821,140.141,1380.735,249.469,43.918,38.857,0.766,48.485,1,8460,1722,27.255,33.995,1.454,0.688,0.952,39.05269599802576
84,0.08,0.924,527.673,250.612,0.327,0.327,1.0,0.462,1,3232,1535,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
85,53.578,32.855,607.837,257.306,9.796,8.98,0.624,9.883,1,3723,1592,172.405,8.553,1.126,0.888,0.858,8.25939636582605
86,205.461,68.068,1659.592,257.633,19.918,16.653,0.557,24.849,1,10165,1679,36.719,15.106,1.614,0.62,0.868,16.17408637607798
87,296.436,76.156,1439.673,258.286,22.857,23.184,0.642,24.679,1,8865,1584,112.153,15.859,1.608,0.622,0.878,19.42766166277127
88,771.838,110.551,655.02,261.388,34.449,31.347,0.794,38.598,1,4016,1618,150.616,29.745,1.193,0.838,0.951,31.34859907123919
89,36.598,45.135,1623.02,264.653,11.265,7.673,0.226,11.383,1,9941,1641,171.754,7.315,1.594,0.627,0.627,6.826274302884222
90,11.648,13.362,1652.245,271.02,3.265,4.898,0.82,4.974,1,10125,1660,113.199,3.265,1.592,0.628,0.937,3.851064037000057
91,195.119,56.386,933.388,272.653,17.633,15.673,0.771,18.216,1,5717,1726,14.534,15.626,1.221,0.819,0.939,15.761764708597202
92,9.223,20.559,812.571,273.143,5.714,6.041,0.274,7.633,1,4977,1675,138.468,2.148,4.137,0.242,0.653,3.426818979913063
93,390.397,94.01,1629.878,274.776,17.633,33.633,0.555,34.331,1,10006,1684,104.036,16.306,2.415,0.414,0.88,22.29504201713855
94,202.875,156.521,263.02,276.408,31.02,21.388,0.104,31.734,1,1611,1775,12.177,18.246,1.545,0.647,0.494,16.07197786951395
95,1.573,7.19,283.429,285.388,2.939,1.469,0.382,3.286,1,1736,1757,26.565,0.867,5.248,0.191,0.69,1.415205216167751
96,241.1,60.034,2184.0,286.041,20.245,15.347,0.841,20.392,1,13377,1788,173.103,15.347,1.306,0.766,0.974,17.5207892012788
97,0.16,1.385,286.531,287.02,0.49,0.49,1.0,0.693,1,1755,1758,135.0,0.438,1.809,0.553,0.8,0.45135166683820505
98,0.506,2.405,285.224,287.51,0.816,0.816,1.0,1.045,1,1747,1761,128.66,0.803,1.391,0.719,0.884,0.8026575917762147
99,0.4,2.269,289.143,287.51,0.816,0.653,0.976,0.952,1,1771,1762,149.036,0.653,1.392,0.718,0.882,0.7136496464611084
100,0.72,3.193,1773.224,289.796,1.143,0.98,0.887,1.243,1,10861,1779,23.199,0.949,1.406,0.711,0.818,0.9574614729634384
101,1.439,4.961,282.449,290.122,1.143,1.959,0.735,2.019,1,1732,1777,104.036,1.069,2.061,0.485,0.85,1.3535847608753206
102,0.906,3.384,271.347,290.612,0.816,1.306,0.994,1.395,1,1663,1780,110.556,0.816,1.548,0.646,0.932,1.0740367905849675
103,31.587,24.032,618.939,296.327,6.204,7.51,0.687,8.033,1,3792,1857,52.431,5.903,1.581,0.633,0.864,6.341751926680007
104,95.214,42.371,112.816,297.633,14.857,9.959,0.666,16.229,1,691,1877,23.728,8.903,1.832,0.546,0.914,11.010460027283774
105,1.253,4.212,1361.143,299.429,1.469,1.306,0.887,1.549,1,8337,1837,161.565,1.241,1.268,0.789,0.832,1.2630792332839451
106,286.92,78.864,1960.653,305.469,27.429,16.98,0.58,27.862,1,12009,1899,169.875,16.209,1.926,0.519,0.888,19.113290930015502
107,167.53,97.952,996.245,309.061,16.653,29.224,0.219,30.744,1,6126,1894,112.479,11.856,3.0,0.333,0.619,14.60499301367453
108,0.4,2.174,1098.776,310.531,0.816,0.653,1.0,0.879,1,6730,1903,158.199,0.653,1.127,0.887,0.857,0.7136496464611084
109,229.798,69.589,1891.102,311.347,14.204,20.735,0.596,21.69,1,11600,1908,109.799,14.204,1.638,0.611,0.87,17.10520098978819
