 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,2.479,5.518,2085.061,0.98,1.633,1.796,1.0,2.046,1,12774,6,118.61,1.633,1.089,0.918,0.949,1.7766149924501
2,6.637,9.381,26.449,1.306,2.612,2.939,0.948,3.306,1,165,26,57.095,2.612,1.134,0.882,0.958,2.9069727997363985
3,2.266,5.383,1232.0,2.286,1.633,1.633,0.983,1.904,1,7546,16,149.036,1.633,1.025,0.976,0.939,1.6985761120332168
4,2.026,5.574,2024.653,2.939,1.469,1.796,0.819,2.046,1,12402,18,118.61,1.426,1.421,0.704,0.894,1.606108127628224
5,1.519,4.459,384.49,3.755,1.306,1.306,0.96,1.736,1,2355,31,48.814,1.306,1.116,0.896,0.95,1.3907015741893414
6,0.4,2.134,1945.959,3.918,0.653,0.653,1.0,0.924,1,11919,28,45.0,0.653,1.137,0.88,0.968,0.7136496464611084
7,1.2,3.806,667.265,4.735,1.143,1.143,1.0,1.404,1,4088,29,125.538,1.143,1.0,1.0,0.957,1.2360774464742066
8,1.173,3.806,951.51,5.224,1.143,1.143,1.0,1.404,1,5828,33,144.462,1.143,1.043,0.959,0.946,1.2220924621215639
9,1.04,3.575,607.02,6.367,0.98,1.143,1.0,1.404,1,3719,39,125.538,0.98,1.174,0.852,0.963,1.1507254783503185
10,0.613,2.691,1377.469,7.184,0.816,0.816,1.0,1.045,1,8438,44,128.66,0.816,1.008,0.992,0.958,0.8834567566794963
11,3.998,7.342,2032.49,9.959,2.122,2.122,0.932,2.678,1,12449,72,37.569,2.122,1.104,0.906,0.965,2.2561940740661433
12,2.879,6.076,1179.592,11.102,1.796,1.959,0.98,2.129,1,7225,71,147.529,1.796,1.059,0.944,0.939,1.9145904651628591
13,3.252,6.593,614.531,13.388,1.959,1.959,0.94,2.355,1,3766,94,56.31,1.959,1.064,0.94,0.942,2.0348402884449555
14,1.973,5.017,899.102,14.204,1.469,1.469,0.985,1.862,1,5507,87,127.875,1.469,1.035,0.967,0.967,1.5849610789424693
15,1.733,4.865,1.306,18.286,1.469,1.633,0.92,1.993,1,9,112,124.992,1.268,1.662,0.602,0.909,1.4854373534505039
16,3.838,7.151,1701.551,24.163,2.122,2.122,0.943,2.658,1,10423,160,42.51,2.122,1.179,0.848,0.95,2.2105866580375344
17,0.746,3.153,1699.102,32.327,0.98,0.98,0.943,1.385,1,10407,204,45.0,0.924,1.578,0.634,0.903,0.9745956599392547
18,1.439,4.459,1268.735,37.388,1.469,1.143,0.91,1.862,1,7771,236,37.875,1.143,1.513,0.661,0.939,1.3535847608753206
19,0.826,3.48,1266.449,40.0,1.306,0.816,0.858,1.54,1,7757,245,147.995,0.8,2.046,0.489,0.886,1.0255222396180612
20,3.332,6.633,1457.959,51.592,1.959,2.122,0.952,2.411,1,8933,316,118.301,1.959,1.168,0.856,0.936,2.0597170104306954
