 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.8,3.289,11.918,0.327,1.143,0.98,0.929,1.275,1,74,8,39.806,0.98,1.276,0.784,0.87,1.009253008808064
2,454.984,142.839,712.98,0.327,27.592,37.388,0.28,44.785,1,4379,3,124.154,20.699,2.36,0.424,0.677,24.068727033679682
3,1.999,7.788,7.347,0.49,2.612,1.469,0.414,2.703,1,45,12,25.017,1.469,2.074,0.482,0.652,1.5953701294450735
4,0.666,4.268,599.837,0.49,0.653,1.796,0.46,1.825,1,3675,3,100.305,0.653,3.054,0.327,0.694,0.9208569578352647
5,0.586,2.731,616.653,0.49,0.816,0.98,0.988,1.095,1,3778,9,63.435,0.816,1.219,0.82,0.863,0.8637814383365767
6,2.052,6.227,374.857,0.816,0.98,2.612,0.665,2.658,1,2298,21,79.38,0.98,2.84,0.352,0.901,1.616381002671262
7,0.267,1.847,36.245,0.98,0.653,0.653,0.982,0.73,1,223,6,116.565,0.577,1.241,0.806,0.8,0.5830565653899187
8,0.746,3.193,601.633,0.98,1.143,0.98,0.92,1.316,1,3685,12,29.745,0.924,1.41,0.709,0.862,0.9745956599392547
9,0.16,1.25,1032.816,0.98,0.49,0.327,1.0,0.589,1,6326,6,146.31,0.327,1.5,0.667,1.0,0.45135166683820505
10,2.772,6.211,528.327,1.306,1.959,1.959,0.903,2.129,1,3237,9,122.471,1.959,1.069,0.936,0.893,1.8786750698313615
11,0.347,2.038,0.327,1.633,0.653,0.653,1.0,0.924,1,2,10,135.0,0.653,1.45,0.69,0.897,0.6646909973988676
12,1.653,4.77,595.265,1.796,1.469,1.633,0.913,1.862,1,3648,21,52.125,1.314,1.409,0.71,0.879,1.450746348417677
13,14.421,20.631,6.857,2.449,4.898,5.388,0.426,6.137,1,53,15,118.61,4.597,1.268,0.789,0.741,4.285018958490824
14,0.4,2.269,22.857,2.449,0.816,0.653,0.976,0.952,1,140,15,149.036,0.653,1.425,0.702,0.857,0.7136496464611084
15,0.32,1.847,6.204,2.612,0.653,0.653,1.0,0.73,1,39,16,116.565,0.653,1.0,1.0,0.857,0.6383076486422923
16,0.4,2.174,12.898,2.776,0.816,0.653,1.0,0.952,1,79,18,149.036,0.653,1.435,0.697,0.882,0.7136496464611084
17,1.04,3.615,616.98,2.776,1.143,1.143,1.0,1.404,1,3779,23,35.538,1.143,1.235,0.81,0.918,1.1507254783503185
18,4.345,9.437,410.449,2.939,1.633,3.755,0.613,4.032,1,2515,41,68.629,1.633,2.575,0.388,0.876,2.3520684135191057
19,0.107,0.924,28.735,3.102,0.327,0.327,1.0,0.462,1,176,19,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
20,0.88,4.634,3.592,3.265,1.796,1.143,0.515,2.129,1,22,20,147.529,0.73,3.705,0.27,0.725,1.0585134856802454
21,0.453,2.269,355.755,3.265,0.816,0.653,1.0,0.952,1,2179,24,30.964,0.653,1.263,0.792,0.919,0.7594586978664665
22,1.066,4.212,26.939,3.429,1.306,1.469,0.755,1.766,1,166,21,123.69,0.951,2.198,0.455,0.808,1.1650207529000003
23,0.133,1.25,47.02,3.918,0.327,0.49,1.0,0.589,1,288,27,56.31,0.327,1.553,0.644,0.909,0.41151046092387084
24,6.531,10.67,17.143,4.082,2.612,3.592,0.721,4.257,1,106,47,57.529,2.612,1.612,0.62,0.901,2.8836656301772137
25,0.16,1.385,355.102,4.245,0.49,0.49,1.0,0.693,1,2175,29,45.0,0.438,1.809,0.553,0.8,0.45135166683820505
26,5.304,9.173,791.02,4.245,2.612,3.265,0.792,3.581,1,4848,26,114.228,2.094,1.86,0.538,0.873,2.5987040126330863
27,0.053,0.788,281.143,4.408,0.163,0.327,1.0,0.365,1,1722,27,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
28,9.249,16.268,397.878,4.408,5.061,5.224,0.439,7.161,1,2438,27,133.152,2.309,3.474,0.288,0.8,3.4316457493825787
29,10.902,12.151,611.592,4.571,3.755,3.755,0.928,3.952,1,3747,46,38.29,3.755,1.032,0.969,0.942,3.7257022850333525
30,0.826,3.193,248.163,4.735,0.98,1.143,1.0,1.243,1,1522,36,66.801,0.98,1.156,0.865,0.886,1.0255222396180612
31,9.303,11.172,895.51,4.898,3.429,3.592,0.937,3.73,1,5492,52,66.801,3.429,1.062,0.941,0.945,3.441648948494198
32,0.053,0.788,27.755,5.388,0.163,0.327,1.0,0.365,1,170,33,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
33,0.08,0.924,34.776,5.388,0.327,0.327,1.0,0.462,1,213,35,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
34,23.084,26.803,618.449,5.714,8.163,6.367,0.404,9.329,1,3790,68,32.856,4.618,2.415,0.414,0.787,5.421389273116855
35,0.613,3.424,1010.612,6.531,1.306,0.98,0.657,1.395,1,6190,44,20.556,0.784,2.132,0.469,0.697,0.8834567566794963
36,0.053,0.693,26.122,6.857,0.327,0.163,1.0,0.365,1,160,42,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
37,10.636,12.095,38.857,7.673,3.918,3.755,0.914,4.002,1,238,61,11.768,3.668,1.061,0.942,0.939,3.6799695376189177
38,0.613,2.827,599.837,7.673,0.98,0.816,0.964,1.275,1,3674,47,140.194,0.808,1.59,0.629,0.92,0.8834567566794963
39,2.639,6.442,3.265,8.0,2.122,1.959,0.799,2.355,1,20,58,33.69,1.637,1.436,0.697,0.857,1.8330518701215452
40,3.705,9.555,5.878,8.163,2.776,2.612,0.51,2.856,1,36,62,30.964,2.572,1.337,0.748,0.704,2.17194671049816
41,0.373,2.174,9.796,8.163,0.816,0.653,0.993,0.879,1,60,51,158.199,0.653,1.264,0.791,0.848,0.6891432000580254
42,1.12,3.846,595.102,8.163,1.306,1.143,0.951,1.404,1,3645,51,144.462,1.143,1.163,0.86,0.875,1.1941642642883694
43,0.213,1.712,17.633,8.327,0.653,0.49,0.914,0.73,1,108,52,153.435,0.49,1.308,0.764,0.8,0.5207686847618525
44,2.106,6.115,12.082,8.49,2.122,1.633,0.708,2.411,1,74,52,151.699,1.569,1.556,0.643,0.814,1.6375110629282028
45,0.906,3.424,18.122,9.143,1.306,0.98,0.972,1.46,1,111,58,153.435,0.949,1.603,0.624,0.883,1.0740367905849675
46,0.24,1.577,24.816,9.143,0.49,0.49,1.0,0.693,1,152,56,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
47,0.027,0.462,9.306,9.306,0.163,0.163,1.0,0.231,1,57,57,135.0,0.163,1.0,1.0,1.0,0.185411616971131
48,0.906,3.519,600.163,9.796,1.306,0.98,0.919,1.346,1,3676,61,165.964,0.98,1.39,0.719,0.872,1.0740367905849675
49,0.986,4.364,376.653,10.286,0.816,1.796,0.651,1.911,1,2307,74,70.017,0.816,2.473,0.404,0.871,1.1204526724091788
50,0.533,2.596,8.816,10.449,0.816,0.816,0.994,1.045,1,54,64,128.66,0.816,1.072,0.933,0.909,0.8237940745986474
51,0.773,3.289,10.449,10.449,0.816,1.306,0.898,1.395,1,65,64,110.556,0.816,1.544,0.648,0.866,0.9920756866692585
52,0.133,1.577,281.633,10.449,0.327,0.653,0.674,0.673,1,1725,64,104.036,0.327,2.188,0.457,0.769,0.41151046092387084
53,1.733,6.211,0.49,11.918,1.633,2.122,0.564,2.355,1,4,85,56.31,1.268,2.154,0.464,0.73,1.4854373534505039
54,0.053,0.693,26.612,12.245,0.327,0.163,1.0,0.365,1,163,75,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
55,0.48,2.405,11.592,12.408,0.816,0.816,1.0,0.952,1,72,76,120.964,0.803,1.22,0.819,0.857,0.7817640190446719
56,1.146,3.846,645.061,12.571,1.306,1.143,0.974,1.404,1,3952,83,35.538,1.143,1.154,0.866,0.896,1.207945577526776
57,0.133,1.25,26.122,12.735,0.327,0.49,1.0,0.589,1,160,81,56.31,0.327,1.553,0.644,0.909,0.41151046092387084
58,0.133,1.385,16.163,13.061,0.49,0.49,0.873,0.516,1,100,80,108.435,0.462,1.0,1.0,0.714,0.41151046092387084
59,0.72,3.249,735.837,13.224,0.653,1.306,0.857,1.346,1,4508,81,104.036,0.653,1.853,0.54,0.931,0.9574614729634384
60,0.133,1.154,14.367,13.388,0.49,0.327,1.0,0.589,1,88,82,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
61,3.625,7.095,23.02,13.714,1.959,2.449,0.905,2.581,1,144,99,71.565,1.959,1.334,0.75,0.922,2.1483699284957805
62,0.053,0.693,30.531,13.878,0.327,0.163,1.0,0.365,1,187,85,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
63,2.612,5.98,931.755,13.878,1.959,1.796,0.918,2.091,1,5708,94,38.66,1.729,1.193,0.838,0.895,1.8236506493427531
64,7.544,10.535,19.429,14.041,2.939,3.429,0.854,3.669,1,123,107,69.146,2.915,1.308,0.765,0.91,3.0992449282820593
65,0.4,2.269,4.898,14.694,0.816,0.653,0.976,0.879,1,30,92,158.199,0.653,1.186,0.843,0.882,0.7136496464611084
66,0.24,1.712,114.939,14.694,0.653,0.49,1.0,0.73,1,704,92,26.565,0.49,1.34,0.746,0.857,0.5527906391541367
67,0.24,1.712,1011.102,14.694,0.49,0.653,1.0,0.73,1,6194,90,116.565,0.49,1.536,0.651,0.857,0.5527906391541367
68,0.08,0.924,27.918,15.673,0.327,0.327,1.0,0.462,1,171,98,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
69,0.187,1.481,8.653,15.837,0.49,0.49,1.0,0.589,1,54,97,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
70,1.439,4.499,13.224,16.49,1.306,1.469,0.894,1.736,1,81,102,131.186,1.306,1.193,0.838,0.885,1.3535847608753206
71,1.013,3.615,942.367,17.143,1.143,1.143,0.974,1.404,1,5772,111,35.538,1.095,1.317,0.759,0.905,1.1356899483647462
72,0.32,1.847,51.592,17.306,0.653,0.653,1.0,0.73,1,317,106,116.565,0.653,1.0,1.0,0.857,0.6383076486422923
73,0.746,3.384,615.347,17.306,1.306,0.816,0.819,1.54,1,3769,106,147.995,0.736,2.295,0.436,0.848,0.9745956599392547
74,0.506,2.596,617.306,17.796,0.653,0.98,0.944,1.095,1,3782,115,63.435,0.653,1.499,0.667,0.905,0.8026575917762147
75,0.32,1.847,26.122,17.959,0.653,0.653,1.0,0.73,1,161,110,116.565,0.653,1.0,1.0,0.857,0.6383076486422923
76,0.32,2.365,736.653,18.612,0.49,0.98,0.719,1.033,1,4512,120,71.565,0.49,2.033,0.492,0.828,0.6383076486422923
77,0.48,2.405,2.122,18.939,0.816,0.816,1.0,0.952,1,14,116,120.964,0.803,1.22,0.819,0.857,0.7817640190446719
78,0.187,1.481,11.918,19.265,0.49,0.49,1.0,0.589,1,73,118,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
79,1.2,4.172,674.286,19.592,1.306,1.306,0.866,1.616,1,4131,127,45.0,1.241,1.289,0.776,0.865,1.2360774464742066
80,2.026,7.461,3.918,19.755,1.633,2.612,0.457,2.737,1,28,137,72.646,1.548,2.105,0.475,0.636,1.606108127628224
81,1.493,4.77,928.98,19.755,1.633,1.469,0.825,1.904,1,5690,128,30.964,1.168,1.735,0.576,0.855,1.3787482149724068
82,0.56,2.635,0.816,20.408,0.98,0.816,1.0,1.045,1,5,126,141.34,0.816,1.246,0.803,0.84,0.8444016491289505
83,0.426,2.269,17.143,20.735,0.816,0.653,1.0,0.924,1,105,127,135.0,0.653,1.15,0.869,0.889,0.7364781368494107
84,2.879,6.267,595.592,20.898,2.122,1.633,0.921,2.338,1,3648,136,24.775,1.633,1.367,0.732,0.931,1.9145904651628591
85,0.053,0.693,917.224,21.224,0.327,0.163,1.0,0.365,1,5618,130,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
86,0.16,1.25,13.714,21.878,0.49,0.327,1.0,0.589,1,84,134,146.31,0.327,1.5,0.667,1.0,0.45135166683820505
87,0.24,1.712,14.531,22.531,0.653,0.49,1.0,0.73,1,89,139,153.435,0.49,1.34,0.746,0.857,0.5527906391541367
88,0.027,0.462,13.551,24.163,0.163,0.163,1.0,0.231,1,83,148,135.0,0.163,1.0,1.0,1.0,0.185411616971131
89,0.133,1.25,1.796,24.327,0.49,0.327,1.0,0.589,1,11,151,33.69,0.327,1.553,0.644,0.909,0.41151046092387084
90,0.08,0.924,937.306,24.816,0.327,0.327,1.0,0.462,1,5741,154,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
91,0.373,2.269,612.735,24.98,0.816,0.653,0.911,0.879,1,3753,155,158.199,0.653,1.332,0.751,0.848,0.6891432000580254
92,7.997,12.478,287.347,25.306,3.265,3.755,0.645,4.156,1,1761,157,135.0,2.999,1.342,0.745,0.858,3.1909397736790797
93,0.107,0.924,896.98,25.469,0.327,0.327,1.0,0.462,1,5494,156,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
94,0.453,2.5,3.265,26.122,0.653,0.98,0.911,1.095,1,21,166,63.435,0.653,1.686,0.593,0.872,0.7594586978664665
95,0.053,0.788,103.51,27.429,0.163,0.327,1.0,0.365,1,634,168,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
96,1.173,4.037,2.449,28.245,0.98,1.469,0.904,1.608,1,16,173,113.962,0.98,1.589,0.629,0.907,1.2220924621215639
97,0.48,2.5,0.816,28.571,0.98,0.653,0.965,1.033,1,5,176,161.565,0.653,1.416,0.706,0.878,0.7817640190446719
98,0.053,0.788,291.265,28.898,0.163,0.327,1.0,0.365,1,1784,177,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
99,0.826,3.384,611.102,31.347,1.143,0.98,0.907,1.385,1,3744,198,45.0,0.98,1.403,0.713,0.873,1.0255222396180612
100,0.48,2.54,61.714,32.49,0.98,0.816,0.935,0.993,1,378,201,170.538,0.808,1.085,0.922,0.818,0.7817640190446719
101,0.506,2.5,289.633,32.816,0.816,0.816,1.0,1.045,1,1774,201,128.66,0.803,1.336,0.749,0.884,0.8026575917762147
102,1.733,4.961,608.653,33.469,1.469,1.633,0.885,1.862,1,3728,214,37.875,1.465,1.225,0.816,0.872,1.4854373534505039
103,0.107,0.924,20.245,34.449,0.327,0.327,1.0,0.462,1,124,211,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
104,0.48,2.5,925.878,34.612,0.653,0.98,0.965,1.033,1,5672,212,108.435,0.653,1.578,0.634,0.857,0.7817640190446719
105,0.32,1.943,3.755,34.776,0.653,0.653,1.0,0.816,1,23,213,126.87,0.653,1.281,0.78,0.857,0.6383076486422923
106,3.092,7.23,288.327,35.755,2.286,2.286,0.743,2.633,1,1766,222,150.255,1.935,1.326,0.754,0.811,1.984151373338517
107,0.053,0.693,4.735,36.408,0.327,0.163,1.0,0.365,1,29,223,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
108,0.826,4.634,3.265,38.367,1.796,1.143,0.484,2.129,1,20,235,147.529,0.774,3.392,0.295,0.681,1.0255222396180612
109,2.452,5.558,831.184,41.143,1.959,1.633,0.998,2.019,1,5091,255,165.964,1.633,1.139,0.878,0.925,1.7669135133589926
110,0.053,0.693,922.286,43.102,0.327,0.163,1.0,0.365,1,5649,264,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
111,0.053,0.788,911.673,52.245,0.163,0.327,1.0,0.365,1,5584,320,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
112,0.08,0.924,910.531,52.571,0.327,0.327,1.0,0.462,1,5577,322,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
113,0.08,0.924,25.143,53.224,0.327,0.327,1.0,0.462,1,154,326,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
114,0.08,0.924,113.306,55.347,0.327,0.327,1.0,0.462,1,694,341,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
115,13.035,14.285,924.898,55.673,4.898,3.918,0.803,5.66,1,5666,363,33.232,3.187,1.846,0.542,0.941,4.073901995093014
116,1.226,4.308,614.041,58.612,1.469,1.306,0.83,1.766,1,3761,366,33.69,1.152,1.686,0.593,0.86,1.2493965270662912
117,1.226,3.942,606.367,58.939,1.143,1.306,0.992,1.54,1,3715,369,57.995,1.143,1.245,0.803,0.92,1.2493965270662912
118,28.202,21.182,674.449,66.612,6.857,5.388,0.79,7.338,1,4131,431,20.854,5.388,1.233,0.811,0.931,5.992320221802324
119,1.173,3.846,590.204,69.224,1.306,1.143,0.996,1.505,1,3616,431,40.601,1.143,1.279,0.782,0.917,1.2220924621215639
120,6.824,9.499,743.51,72.327,3.102,2.939,0.95,3.253,1,4554,449,162.474,2.886,1.127,0.887,0.936,2.9476408623291865
121,6.691,9.499,1027.429,72.653,3.102,2.939,0.932,3.253,1,6293,451,162.474,2.84,1.147,0.872,0.93,2.9187747076167034
122,0.213,1.481,305.633,73.306,0.49,0.49,1.0,0.693,1,1872,452,45.0,0.49,1.229,0.814,0.941,0.5207686847618525
123,8.69,10.806,456.49,73.633,3.429,3.265,0.935,3.669,1,2797,455,147.724,3.201,1.141,0.876,0.944,3.3263270500280884
124,1.519,5.056,635.592,74.449,1.143,1.959,0.747,2.122,1,3894,468,67.38,1.121,2.148,0.466,0.844,1.3907015741893414
