 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,1.333,4.077,1729.796,0.98,1.469,1.143,1.0,1.608,1,10595,11,23.962,1.143,1.327,0.754,0.909,1.3027771540566606
2,3.172,6.442,1761.469,0.98,1.959,2.122,0.961,2.274,1,10793,6,111.038,1.959,1.172,0.853,0.93,2.009655651075561
3,1.439,4.308,1699.755,1.306,1.469,1.306,0.975,1.608,1,10411,14,23.962,1.306,1.179,0.848,0.9,1.3535847608753206
4,3.998,7.365,1746.776,1.469,2.286,2.449,0.926,2.678,1,10701,23,52.431,2.078,1.29,0.775,0.915,2.2561940740661433
5,0.826,3.289,1715.265,1.796,1.143,0.98,0.96,1.189,1,10506,15,15.945,0.98,1.036,0.965,0.873,1.0255222396180612
6,0.32,2.078,1741.551,1.796,0.816,0.653,0.931,0.832,1,10667,12,168.69,0.653,1.186,0.843,0.8,0.6383076486422923
7,1.679,4.77,1532.898,1.959,1.306,1.796,0.928,1.862,1,9390,22,52.125,1.306,1.473,0.679,0.894,1.462111211779165
8,1.653,4.634,1722.122,2.286,1.469,1.469,0.967,1.681,1,10549,14,119.055,1.469,1.087,0.92,0.912,1.450746348417677
9,1.279,3.981,1768.98,2.612,1.306,1.306,1.0,1.633,1,10836,16,126.87,1.154,1.462,0.684,0.906,1.2761165219980004
10,1.173,3.846,1756.082,2.939,1.469,0.98,0.996,1.608,1,10756,19,156.038,0.98,1.54,0.65,0.917,1.2220924621215639
11,3.305,6.537,1736.653,3.102,2.122,1.959,0.972,2.411,1,10637,29,28.301,1.959,1.224,0.817,0.939,2.0513548438409464
12,1.759,4.73,1709.878,4.082,1.469,1.469,0.988,1.681,1,10475,34,60.945,1.469,1.031,0.969,0.923,1.4965387930785994
13,3.625,6.904,1701.061,4.408,2.286,2.122,0.956,2.427,1,10419,30,160.346,2.122,1.113,0.898,0.925,2.1483699284957805
14,0.213,1.481,2011.918,4.735,0.49,0.49,1.0,0.693,1,12323,32,45.0,0.49,1.229,0.814,0.941,0.5207686847618525
15,2.079,5.056,1740.571,5.551,1.469,1.633,1.0,1.825,1,10663,34,116.565,1.469,1.103,0.907,0.951,1.6269803359304633
16,1.066,3.75,1686.367,5.714,1.306,1.143,0.953,1.346,1,10329,37,165.964,1.143,1.264,0.791,0.87,1.1650207529000003
17,51842.772,1191.613,1608.653,5.878,250.939,315.755,0.459,317.682,1,10456,36,96.314,245.734,1.328,0.753,0.927,256.92074151202513
18,1.439,4.212,1775.184,5.878,1.469,1.306,1.0,1.608,1,10873,39,156.038,1.306,1.217,0.822,0.908,1.3535847608753206
19,4.958,8.114,1693.714,7.184,2.939,2.122,0.946,3.098,1,10374,53,18.435,2.122,1.395,0.717,0.942,2.5125130174383052
20,4.958,8.114,1768.163,7.184,2.776,2.286,0.946,2.943,1,10830,54,19.44,2.286,1.274,0.785,0.944,2.5125130174383052
21,0.053,0.693,1675.429,7.51,0.327,0.163,1.0,0.365,1,10262,46,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
22,0.373,2.038,1725.551,7.51,0.653,0.653,1.0,0.816,1,10570,46,126.87,0.653,1.02,0.981,0.933,0.6891432000580254
23,0.64,2.731,1738.286,7.673,0.98,0.816,1.0,1.095,1,10647,48,153.435,0.816,1.222,0.818,0.906,0.9027033336764101
24,221.081,61.855,293.878,7.837,19.918,18.612,0.726,22.723,1,1831,159,50.247,13.136,1.765,0.567,0.948,16.777636060827952
25,4.985,8.249,1715.592,8.0,2.612,2.612,0.92,2.921,1,10508,53,153.435,2.482,1.174,0.852,0.921,2.5193449804472565
26,0.96,3.424,1683.429,8.327,1.306,0.98,1.0,1.346,1,10311,54,165.964,0.98,1.293,0.773,0.889,1.1055812783082735
27,0.213,1.481,1355.102,8.49,0.49,0.49,1.0,0.693,1,8300,55,45.0,0.49,1.229,0.814,0.941,0.5207686847618525
28,10.316,11.825,1753.469,8.816,3.918,3.429,0.927,4.002,1,10740,60,168.232,3.429,1.136,0.88,0.947,3.6241880667934354
29,7.25,9.826,1761.796,8.816,3.265,2.939,0.944,3.46,1,10791,68,19.29,2.939,1.132,0.883,0.946,3.0382538898732494
30,8.476,11.092,1747.265,9.306,3.918,2.776,0.866,4.082,1,10702,61,163.74,2.776,1.493,0.67,0.945,3.2851146678883585
31,6.211,8.998,1731.755,10.122,2.776,2.776,0.964,3.08,1,10612,79,57.995,2.776,1.043,0.959,0.947,2.812132787111963
32,8.956,10.901,1722.939,10.449,3.429,3.265,0.947,3.73,1,10553,78,23.199,3.207,1.118,0.894,0.952,3.376852582309171
33,0.187,1.481,1671.837,10.939,0.49,0.49,1.0,0.589,1,10241,67,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
34,3.172,6.577,1778.286,11.102,2.122,2.122,0.921,2.274,1,10892,71,158.962,1.963,1.108,0.902,0.908,2.009655651075561
