 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.08,0.924,1151.184,0.816,0.327,0.327,1.0,0.462,1,7051,5,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
2,0.32,1.847,916.735,0.98,0.653,0.653,1.0,0.73,1,5616,6,116.565,0.653,1.0,1.0,0.857,0.6383076486422923
3,0.506,2.461,297.306,2.122,0.816,0.653,1.0,1.045,1,1821,13,141.34,0.653,1.273,0.785,0.974,0.8026575917762147
4,4.025,13.035,1150.041,2.122,3.755,3.429,0.298,3.976,1,7044,24,160.821,2.891,1.49,0.671,0.535,2.2637997189590404
5,10.902,13.784,1693.388,2.122,4.245,4.082,0.721,4.871,1,10378,37,50.44,3.763,1.441,0.694,0.871,3.7257022850333525
6,0.533,2.635,146.776,3.265,0.98,0.816,0.965,0.993,1,899,22,170.538,0.816,1.027,0.974,0.833,0.8237940745986474
7,0.373,2.174,191.184,4.735,0.653,0.816,0.993,0.952,1,1172,34,59.036,0.653,1.46,0.685,0.848,0.6891432000580254
8,1.839,7.883,1149.388,5.388,2.939,1.143,0.372,3.01,1,7040,35,167.471,1.143,3.349,0.299,0.611,1.5301919888589028
9,4.318,7.613,187.102,5.551,2.449,2.122,0.936,2.856,1,1146,36,149.036,2.122,1.241,0.806,0.942,2.3447491026048892
10,0.746,2.962,52.898,6.367,0.98,0.98,1.0,1.095,1,325,39,116.565,0.98,1.018,0.982,0.903,0.9745956599392547
11,2.266,5.518,140.735,6.857,1.633,1.796,0.935,1.993,1,864,52,55.008,1.633,1.164,0.859,0.914,1.6985761120332168
12,0.986,3.519,144.327,8.98,1.306,0.98,1.0,1.395,1,884,56,159.444,0.98,1.321,0.757,0.902,1.1204526724091788
13,1.093,3.75,0.98,9.143,1.143,1.306,0.976,1.46,1,7,56,116.565,1.095,1.358,0.737,0.891,1.1796825091504632
14,86.897,38.581,2213.388,9.469,10.122,12.571,0.734,13.074,1,13577,58,105.945,9.429,1.472,0.679,0.907,10.518588152354452
15,0.506,2.405,199.673,9.796,0.816,0.816,1.0,0.952,1,1223,64,30.964,0.808,1.161,0.861,0.884,0.8026575917762147
16,0.107,0.924,18.776,10.286,0.327,0.327,1.0,0.462,1,115,63,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
17,1.733,4.961,188.571,10.286,1.143,1.959,0.885,1.986,1,1157,63,99.462,1.143,1.59,0.629,0.915,1.4854373534505039
18,0.027,0.462,237.061,10.449,0.163,0.163,1.0,0.231,1,1452,64,135.0,0.163,1.0,1.0,1.0,0.185411616971131
19,17.993,18.052,161.143,10.939,6.531,4.408,0.694,6.581,1,987,84,172.875,4.408,1.465,0.683,0.889,4.786376408977858
20,0.267,1.712,13.878,11.265,0.653,0.49,1.0,0.73,1,85,69,153.435,0.49,1.327,0.753,0.909,0.5830565653899187
21,10.076,18.108,1890.776,13.224,5.061,4.245,0.386,5.772,1,11581,85,151.26,3.551,1.726,0.58,0.661,3.581781910271967
22,0.08,0.924,17.633,14.204,0.327,0.327,1.0,0.462,1,108,89,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
23,0.4,2.405,594.286,14.367,0.98,0.653,0.869,1.095,1,3640,92,26.565,0.634,2.001,0.5,0.811,0.7136496464611084
24,0.586,2.635,714.286,14.694,0.98,0.816,1.0,1.033,1,4375,91,161.565,0.816,1.176,0.85,0.88,0.8637814383365767
25,5.278,11.976,594.612,15.347,4.735,2.286,0.462,4.912,1,3642,103,15.422,2.147,2.375,0.421,0.728,2.5923268152592542
26,0.107,0.924,723.265,15.837,0.327,0.327,1.0,0.462,1,4430,97,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
27,0.4,2.174,720.653,16.163,0.653,0.816,1.0,0.879,1,4415,99,111.801,0.653,1.127,0.887,0.857,0.7136496464611084
28,0.773,3.058,715.429,16.816,0.98,0.98,1.0,1.275,1,4382,108,39.806,0.924,1.354,0.738,0.921,0.9920756866692585
29,0.586,2.596,722.776,17.143,0.816,0.816,1.0,1.045,1,4427,105,128.66,0.816,1.101,0.908,0.936,0.8637814383365767
30,0.88,3.289,707.592,17.306,0.98,1.143,1.0,1.243,1,4336,113,66.801,0.98,1.071,0.934,0.904,1.0585134856802454
31,2.772,10.766,1655.02,17.469,2.939,2.122,0.301,3.17,1,10137,119,34.509,2.122,1.457,0.686,0.561,1.8786750698313615
32,5.438,9.476,1890.286,17.469,3.102,2.449,0.761,3.494,1,11580,108,142.595,2.449,1.156,0.865,0.887,2.631326023941126
33,5.624,15.074,718.367,18.939,2.449,5.224,0.311,5.316,1,4401,116,100.62,2.428,2.598,0.385,0.558,2.675948280440142
34,3.599,7.421,2209.796,18.939,2.612,1.796,0.821,2.776,1,13536,125,28.072,1.796,1.538,0.65,0.903,2.1406515647115136
35,0.213,1.481,5.878,19.102,0.49,0.49,1.0,0.693,1,36,120,45.0,0.49,1.229,0.814,0.941,0.5207686847618525
36,0.267,1.712,717.061,19.592,0.653,0.49,1.0,0.816,1,4392,120,143.13,0.49,1.551,0.645,0.909,0.5830565653899187
37,21.778,26.549,710.694,19.918,6.694,7.184,0.388,7.46,1,4371,122,113.199,5.979,1.303,0.768,0.715,5.265796312547835
38,6.504,11.881,5.388,20.735,3.102,3.918,0.579,4.456,1,36,151,61.557,2.588,2.234,0.448,0.773,2.8776987331820365
