 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,18.385,17.055,1402.715,3.878,5.818,5.171,0.794,6.992,1,2170,13,33.69,4.434,1.84,0.543,0.83,4.838234081765368
2,71.452,36.54,1411.118,14.221,11.635,10.343,0.673,14.236,1,2184,38,39.472,9.223,1.639,0.61,0.807,9.53810840525609
3,2.925,5.864,1759.535,21.332,1.939,1.939,1.0,2.331,1,2723,33,123.69,1.939,1.069,0.936,0.875,1.9298252947742058
4,0.418,1.828,3636.716,23.917,0.646,0.646,1.0,0.914,1,5626,37,135.0,0.646,1.0,1.0,1.0,0.729530074568073
5,0.418,1.828,1648.352,33.613,0.646,0.646,1.0,0.914,1,2550,52,135.0,0.646,1.0,1.0,1.0,0.729530074568073
6,0.836,3.121,2274.079,38.785,0.646,1.293,1.0,1.445,1,3518,60,116.565,0.646,2.0,0.5,1.0,1.031711325613224
7,29.249,22.384,297.35,50.42,5.818,8.403,0.734,8.792,1,462,78,107.103,5.771,1.736,0.576,0.814,6.1025390981098
8,47207.745,1046.768,3211.377,67.227,291.532,259.858,0.541,291.98,1,4968,319,3.173,253.343,1.203,0.831,0.854,245.16681617171125
9,1.671,4.949,2463.478,81.448,1.293,1.939,0.857,2.331,1,3811,126,123.69,1.293,2.0,0.5,0.8,1.4586237620621902
10,1909.152,241.319,107.304,83.387,49.127,82.094,0.412,85.69,1,201,256,73.342,44.562,1.994,0.501,0.765,49.303223254775396
11,0.418,1.828,2601.81,104.072,0.646,0.646,1.0,0.914,1,4025,161,135.0,0.646,1.0,1.0,1.0,0.729530074568073
12,21.31,34.711,2599.224,108.597,9.696,10.343,0.222,11.867,1,4021,184,60.642,7.58,1.887,0.53,0.397,5.208909165872094
13,0.418,1.828,2422.754,109.89,0.646,0.646,1.0,0.914,1,3748,170,135.0,0.646,1.0,1.0,1.0,0.729530074568073
14,2.507,5.485,2714.286,130.575,1.939,1.939,1.0,2.742,1,4199,205,45.0,1.735,1.809,0.553,0.8,1.7866201439172942
15,1478.35,168.921,532.644,154.493,53.006,50.42,0.651,54.88,1,824,263,164.982,40.553,1.222,0.818,0.868,43.3854086180968
16,12.953,12.641,2900.452,160.957,4.525,3.878,1.0,5.049,1,4489,249,129.806,3.878,1.251,0.799,0.886,4.061067818068859
