 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,23.817,18.348,3605.688,2.586,6.464,5.171,0.889,7.89,1,5578,11,34.992,4.571,1.713,0.584,0.912,5.506790920032953
2,48.053,26.04,4113.769,3.232,7.757,9.05,0.891,9.412,1,6368,19,74.055,7.516,1.274,0.785,0.891,7.821954988566398
3,39.278,23.833,2651.584,5.171,7.757,7.757,0.869,8.792,1,4103,17,36.027,6.856,1.273,0.785,0.879,7.0717962950093325
4,5.432,7.692,1217.195,8.403,2.586,2.586,1.0,3.232,1,1884,13,126.87,2.586,1.159,0.863,0.897,2.6298739907078064
5,11.282,11.57,4118.94,16.807,3.878,3.232,1.0,4.661,1,6372,26,146.31,3.232,1.21,0.826,0.947,3.7900776434925585
6,113.237,42.56,2728.507,19.392,14.867,12.282,0.786,16.856,1,4221,33,147.529,9.5,1.821,0.549,0.9,12.007407144224585
7,2.507,5.485,1782.805,20.039,1.939,1.939,1.0,2.331,1,2759,31,123.69,1.828,1.291,0.775,0.8,1.7866201439172942
8,2387.171,190.742,1442.146,21.332,51.713,61.409,0.825,61.44,1,2273,33,91.809,51.457,1.176,0.851,0.961,55.13112113176171
9,2.089,4.949,3477.052,22.624,1.939,1.293,1.0,2.331,1,5379,37,33.69,1.293,1.553,0.644,0.909,1.6308885335766374
10,68.109,31.055,4254.686,22.624,10.343,8.403,0.887,11.308,1,6582,35,149.036,8.403,1.29,0.775,0.937,9.312307563239479
11,33.428,24.055,2620.556,24.564,8.403,6.464,0.726,9.544,1,4054,39,151.699,6.464,1.653,0.605,0.829,6.52394447412047
12,0.418,1.828,1574.014,25.21,0.646,0.646,1.0,0.914,1,2435,39,135.0,0.646,1.0,1.0,1.0,0.729530074568073
13,5.432,10.278,936.652,25.856,2.586,3.878,0.646,4.661,1,1449,46,56.31,2.282,2.399,0.417,0.703,2.6298739907078064
14,30.085,20.712,2507.434,25.856,6.464,7.111,0.881,7.566,1,3882,51,70.017,5.818,1.363,0.734,0.873,6.189136587873738
15,5.432,8.985,1338.72,27.149,3.232,2.586,0.846,3.769,1,2071,43,149.036,2.586,1.389,0.72,0.812,2.6298739907078064
16,17.55,16.141,2052.359,29.735,5.818,4.525,0.846,6.366,1,3175,48,156.038,4.525,1.464,0.683,0.832,4.7270872649129405
17,63.513,29.762,2536.522,32.321,9.05,9.05,0.901,10.602,1,3924,62,37.569,8.962,1.121,0.892,0.913,8.99262271001983
18,84.823,35.939,2802.844,33.613,12.928,10.343,0.825,13.497,1,4336,56,163.301,9.123,1.494,0.669,0.9,10.392304744524706
19,0.836,3.121,552.683,34.906,0.646,1.293,1.0,1.445,1,855,54,116.565,0.646,2.0,0.5,1.0,1.031711325613224
20,5.432,7.692,2298.643,34.906,2.586,2.586,1.0,3.232,1,3556,58,36.87,2.586,1.159,0.863,0.897,2.6298739907078064
21,7.103,9.363,407.886,35.553,3.232,2.586,1.0,3.769,1,631,56,149.036,2.586,1.134,0.882,0.919,3.0072945459754785
22,58.081,28.626,4396.897,36.199,8.403,9.696,0.891,10.7,1,6805,56,115.017,8.367,1.275,0.784,0.906,8.599478239856358
23,5.014,7.535,1180.995,38.138,1.939,2.586,1.0,3.232,1,1827,59,126.87,1.939,1.333,0.75,1.0,2.5266624383368086
24,93.18,37.676,2608.92,38.785,14.221,8.403,0.825,14.74,1,4036,65,164.745,8.233,1.805,0.554,0.921,10.892220195094408
25,6.686,9.142,1860.375,40.078,3.232,3.232,1.0,3.481,1,2879,62,111.801,3.18,1.126,0.888,0.821,2.9176839438327273
26,256.977,76.044,2649.644,40.724,27.796,18.746,0.558,29.053,1,4100,87,20.854,11.814,2.94,0.34,0.825,18.088484692958886
27,22.982,17.055,1962.508,47.835,5.171,5.818,0.993,6.132,1,3038,74,108.435,5.171,1.081,0.925,0.894,5.409398415452823
28,17.132,14.848,2083.387,47.835,5.171,4.525,0.976,5.782,1,3223,75,153.435,4.525,1.272,0.786,0.891,4.670453926590306
29,3.343,5.864,410.472,48.481,1.939,1.939,1.0,2.742,1,635,75,135.0,1.939,1.229,0.814,0.941,2.0631141020432313
30,11.282,12.106,2541.047,48.481,3.878,3.878,0.967,4.571,1,3931,81,45.0,3.878,1.05,0.952,0.885,3.7900776434925585
31,463.395,85.786,3057.531,49.127,26.503,25.21,0.791,28.398,1,4733,79,131.309,22.615,1.251,0.8,0.917,24.290179884730183
32,40.531,23.676,2012.282,56.884,8.403,6.464,0.909,9.255,1,3113,91,155.225,6.337,1.531,0.653,0.907,7.183708790566394
33,1833.939,189.855,2866.193,58.824,54.299,56.238,0.639,65.985,1,4434,159,34.624,39.141,1.732,0.578,0.916,48.32228944733537
34,1.254,3.657,1416.29,61.409,1.293,1.293,1.0,1.828,1,2191,95,135.0,1.293,1.464,0.683,0.857,1.263583154801414
35,5.85,8.071,1368.455,63.995,2.586,2.586,1.0,3.232,1,2118,99,126.87,2.586,1.02,0.981,0.933,2.729185104880338
36,22.146,17.434,1615.385,67.227,5.171,5.818,0.916,6.132,1,2500,104,108.435,5.171,1.157,0.864,0.891,5.3101000892360695
37,274.945,90.8,2074.984,67.873,32.967,20.685,0.419,35.181,1,3210,113,159.567,13.521,3.357,0.298,0.72,18.710180293818905
38,23.4,17.97,1648.352,69.166,6.464,5.171,0.911,7.538,1,2550,108,149.036,4.625,1.715,0.583,0.889,5.458370209760676
39,1507.599,221.602,2813.187,70.459,38.785,72.398,0.386,75.633,1,4364,110,108.435,36.42,2.222,0.45,0.747,43.8124943869119
40,2.507,5.485,1890.11,71.752,1.939,1.939,1.0,2.331,1,2924,113,33.69,1.828,1.291,0.775,0.8,1.7866201439172942
41,24.653,17.97,3599.224,71.752,6.464,5.171,0.959,6.962,1,5568,118,21.801,5.171,1.369,0.731,0.894,5.602604260195072
42,249.038,63.938,4014.221,78.216,15.514,21.978,0.766,22.13,1,6217,121,96.71,15.449,1.449,0.69,0.906,17.806881527705954
