 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,172.572,51.989,1754.363,5.171,12.928,18.746,0.802,20.287,1,2717,37,67.521,12.928,1.635,0.612,0.928,14.823140514548072
2,33.01,20.712,3319.328,5.171,6.464,7.111,0.967,8.1,1,5137,8,118.61,5.942,1.348,0.742,0.908,6.483026868038395
3,920.104,132.576,182.288,5.818,42.017,34.906,0.658,47.343,1,286,12,145.008,30.748,1.675,0.597,0.89,34.22736913741695
4,65.184,29.226,4098.901,5.818,9.05,8.403,0.959,10.602,1,6341,10,142.431,8.403,1.091,0.916,0.948,9.110150738819685
5,38.442,22.762,1180.349,9.05,7.111,7.111,0.932,8.278,1,1828,25,51.34,7.111,1.154,0.867,0.911,6.996132830264812
6,45.128,25.126,2526.18,9.05,7.757,8.403,0.898,8.792,1,3910,15,126.027,7.709,1.129,0.886,0.889,7.580155286985117
7,1002.838,136.99,2983.193,17.453,49.774,29.735,0.672,53.305,1,4616,34,157.166,26.369,2.103,0.476,0.927,35.73307989193096
8,709.09,124.062,3313.51,19.392,38.138,31.028,0.579,42.017,1,5127,67,30.51,30.99,1.325,0.755,0.835,30.047319826837413
9,11.282,12.106,288.3,20.685,3.232,4.525,0.967,4.923,1,448,39,66.801,3.232,1.468,0.681,0.9,3.7900776434925585
10,144.576,48.332,139.625,24.564,14.221,14.221,0.778,17.465,1,219,60,51.009,12.536,1.403,0.713,0.883,13.567604078083605
11,615.492,100.856,2755.01,24.564,33.613,25.856,0.76,34.229,1,4262,53,169.114,22.898,1.552,0.645,0.91,27.994084265575374
12,4.178,7.692,4487.395,25.856,3.232,1.939,0.887,3.769,1,6942,40,149.036,1.939,2.198,0.455,0.833,2.3064246829028496
13,266.588,66.615,775.048,26.503,21.332,20.685,0.755,25.243,1,1200,69,39.806,14.17,1.878,0.532,0.902,18.423636550688293
14,44.292,24.969,963.154,26.503,7.111,8.403,0.893,8.98,1,1491,53,59.744,7.111,1.197,0.835,0.902,7.509615563756232
15,557.828,96.913,564.964,27.149,31.028,29.735,0.746,31.568,1,874,59,169.38,26.146,1.107,0.904,0.887,26.650490966594337
16,818.984,151.866,1548.804,27.796,41.37,42.017,0.446,49.306,1,2399,106,55.685,29.425,1.944,0.514,0.792,32.29183821502552
17,174.661,53.752,352.295,34.26,15.514,18.746,0.76,20.287,1,551,53,112.479,13.255,1.522,0.657,0.887,14.912588377709225
18,569.528,92.564,2243.051,34.906,29.089,27.149,0.835,30.388,1,3478,54,119.291,26.945,1.032,0.969,0.935,26.928527093659017
19,623.431,106.563,3459.599,35.553,35.553,25.856,0.69,36.936,1,5355,62,147.144,22.98,1.778,0.562,0.879,28.17404838878835
20,125.773,44.075,3169.36,38.138,10.989,16.16,0.814,16.968,1,4906,84,72.255,9.963,1.739,0.575,0.925,12.654610118845053
21,357.679,75.13,4463.478,38.138,20.039,25.21,0.796,26.902,1,6909,60,125.218,18.625,1.456,0.687,0.927,21.340361925734253
22,280.377,67.216,168.714,40.724,23.271,18.1,0.78,23.707,1,261,77,168.996,18.1,1.228,0.814,0.918,18.894101826607443
23,23.817,17.813,952.165,49.774,5.818,5.171,0.943,6.871,1,1473,84,41.186,5.171,1.293,0.773,0.927,5.506790920032953
24,313.387,80.771,4502.909,51.713,21.978,25.21,0.604,25.342,1,6987,119,84.144,21.327,1.025,0.976,0.827,19.975402904720557
25,6.268,8.449,718.164,55.591,2.586,2.586,1.0,3.657,1,1111,86,135.0,2.586,1.137,0.88,0.968,2.825007162185611
26,183.436,52.995,1765.352,56.238,16.807,17.453,0.821,18.007,1,2738,113,68.962,14.386,1.23,0.813,0.911,15.282603480037011
27,298.344,75.286,4255.979,56.238,25.21,19.392,0.661,26.194,1,6584,103,164.249,19.321,1.224,0.817,0.855,19.490084113068043
28,152.933,49.024,3829.347,56.884,11.635,18.746,0.8,18.923,1,5934,117,82.147,11.635,1.637,0.611,0.928,13.954223134771158
29,246.949,69.201,4527.473,57.531,23.917,18.746,0.648,27.615,1,7004,91,147.426,14.092,2.268,0.441,0.86,17.73203971157305
30,78.138,33.04,1473.82,58.824,9.696,10.989,0.899,12.145,1,2284,108,64.799,9.508,1.327,0.754,0.917,9.974386775462246
31,71.87,31.055,91.791,60.763,9.696,9.05,0.936,11.121,1,142,95,144.462,9.05,1.1,0.909,0.935,9.565967075006904
32,178.839,50.317,307.692,62.056,15.514,15.514,0.888,17.465,1,480,119,51.009,14.51,1.238,0.808,0.936,15.089893536433308
33,2.925,5.485,2296.703,65.934,1.939,1.939,1.0,2.331,1,3553,102,123.69,1.939,1.069,0.936,0.875,1.9298252947742058
34,445.845,86.008,2303.167,65.934,28.442,21.332,0.757,29.889,1,3563,131,21.571,20.868,1.407,0.711,0.92,23.82577354090416
35,10.028,10.813,1317.388,73.045,3.232,3.878,1.0,4.336,1,2039,113,116.565,3.232,1.144,0.874,0.889,3.5732402878345884
36,271.184,80.993,4363.284,74.337,25.21,22.624,0.519,27.249,1,6750,143,22.306,16.527,1.752,0.571,0.758,18.581770440392926
37,1424.447,151.173,1043.31,75.63,44.602,47.188,0.783,52.355,1,1628,188,57.095,38.24,1.363,0.734,0.938,42.58711365870395
38,256.559,74.908,2266.322,75.63,27.149,17.453,0.575,27.272,1,3506,129,5.44,17.2,1.788,0.559,0.777,18.073767298427537
39,26.324,17.813,139.625,76.277,5.171,5.818,1.0,6.655,1,218,118,119.055,5.171,1.112,0.899,0.947,5.789365921723071
40,115.326,40.954,2093.083,80.155,13.575,11.635,0.864,14.882,1,3239,128,145.62,10.923,1.335,0.749,0.918,12.117657518519302
41,58.081,27.934,189.399,85.326,9.05,7.757,0.935,9.696,1,293,133,143.13,7.757,1.125,0.889,0.949,8.599478239856358
42,30.921,20.177,2254.04,85.326,7.111,5.818,0.954,8.428,1,3487,134,147.529,5.485,1.579,0.633,0.925,6.274539023924863
43,109.059,40.575,2049.774,86.619,12.282,12.928,0.832,15.256,1,3172,135,126.384,10.696,1.443,0.693,0.914,11.783812265530715
44,88.166,36.161,2661.28,94.376,10.343,12.282,0.847,12.7,1,4121,146,104.744,10.343,1.267,0.789,0.894,10.595113859752539
45,637.22,110.912,2774.402,95.669,24.564,38.785,0.651,38.919,1,4305,208,85.236,24.317,1.721,0.581,0.879,28.483920072492488
46,6.686,8.985,4488.688,96.962,3.232,2.586,1.0,4.139,1,6944,150,141.34,2.586,1.568,0.638,0.914,2.9176839438327273
47,334.697,70.781,179.056,99.548,23.271,18.1,0.84,24.615,1,279,157,150.068,17.941,1.365,0.733,0.938,20.643387704159043
48,1489.632,192.257,266.322,100.194,38.138,65.288,0.506,70.462,1,424,155,112.094,34.57,2.087,0.479,0.842,43.55064143618243
49,304.194,68.979,9.05,100.84,19.392,24.564,0.803,24.775,1,24,194,82.504,19.005,1.223,0.817,0.905,19.680239583683125
50,1.254,3.657,1963.801,100.84,1.293,1.293,1.0,1.828,1,3038,158,45.0,1.293,1.464,0.683,0.857,1.263583154801414
51,23.817,17.656,304.46,102.78,5.171,5.171,0.96,6.871,1,472,159,131.186,5.171,1.172,0.854,0.95,5.506790920032953
52,788.899,112.113,307.046,102.78,33.613,32.321,0.789,39.304,1,477,206,36.304,29.035,1.312,0.762,0.922,31.693175978466172
53,20.892,17.055,1438.268,102.78,5.818,5.171,0.903,6.992,1,2225,160,146.31,4.571,1.44,0.694,0.901,5.157569250005958
54,1687.274,161.608,3813.187,107.951,53.006,46.542,0.812,55.85,1,5901,230,37.003,39.71,1.425,0.702,0.953,46.349800211041654
55,3880.982,253.674,1351.002,108.597,70.459,72.398,0.758,80.701,1,2105,279,49.548,68.841,1.058,0.945,0.938,70.29523280283921
56,27.996,19.641,2100.194,112.476,5.171,7.111,0.912,7.566,1,3251,174,109.983,5.171,1.317,0.759,0.912,5.970394818971825
57,2919.929,214.262,1785.391,113.122,64.641,63.995,0.799,77.445,1,2762,258,37.539,53.614,1.354,0.739,0.954,60.973511221013005
58,579.139,97.199,2662.573,113.769,30.381,27.796,0.77,35.151,1,4120,181,147.771,24.325,1.528,0.654,0.907,27.15479104501409
59,58.081,31.055,2806.076,117.647,6.464,12.282,0.757,12.434,1,4347,182,98.973,6.464,2.109,0.474,0.894,8.599478239856358
60,17.968,16.52,755.01,122.818,3.878,6.464,0.827,6.749,1,1169,190,106.699,3.878,1.743,0.574,0.878,4.783050087527979
