 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.836,2.742,2257.919,9.05,1.293,0.646,1.0,1.445,1,3493,14,153.435,0.646,2.0,0.5,1.0,1.031711325613224
2,2.089,5.485,2235.294,23.917,1.939,1.939,0.873,2.044,1,3459,37,108.435,1.828,1.0,1.0,0.714,1.6308885335766374
3,2.507,4.949,336.134,25.856,1.939,1.293,1.0,2.331,1,520,40,146.31,1.293,1.5,0.667,1.0,1.7866201439172942
4,5.014,7.692,985.133,30.381,2.586,2.586,1.0,3.232,1,1524,51,36.87,2.586,1.281,0.781,0.857,2.5266624383368086
5,12.953,13.02,448.61,31.028,4.525,3.878,0.96,5.212,1,694,49,150.255,3.878,1.323,0.756,0.886,4.061067818068859
6,0.418,1.828,969.619,39.431,0.646,0.646,1.0,0.914,1,1500,61,135.0,0.646,1.0,1.0,1.0,0.729530074568073
7,2.925,5.864,350.356,57.531,1.939,1.939,1.0,2.331,1,542,89,123.69,1.939,1.069,0.936,0.875,1.9298252947742056
8,2.089,5.485,2340.013,81.448,1.939,1.939,0.873,2.044,1,3621,126,108.435,1.828,1.0,1.0,0.714,1.6308885335766374
9,7.521,9.899,306.399,82.094,2.586,3.878,0.965,4.336,1,474,127,116.565,2.586,1.704,0.587,0.878,3.094516863090773
10,0.418,1.828,1285.714,85.973,0.646,0.646,1.0,0.914,1,1989,133,135.0,0.646,1.0,1.0,1.0,0.729530074568073
11,0.836,3.121,1100.194,91.144,0.646,1.293,1.0,1.445,1,1702,141,116.565,0.646,2.0,0.5,1.0,1.031711325613224
12,2.507,4.949,2345.184,97.608,1.293,1.939,1.0,2.331,1,3628,151,123.69,1.293,1.5,0.667,1.0,1.7866201439172942
13,10.864,11.57,327.085,107.304,3.232,3.878,1.0,4.571,1,506,167,135.0,3.232,1.147,0.872,0.929,3.719203464991235
14,14.625,13.934,4053.652,117.647,3.878,5.171,0.947,5.523,1,6272,182,110.556,3.878,1.277,0.783,0.864,4.315220543813695
15,11.7,15.227,1467.356,118.293,6.464,3.232,0.634,6.749,1,2270,184,163.301,2.862,2.772,0.361,0.789,3.859650589548412
16,7.521,9.363,1446.025,127.343,3.232,2.586,1.0,3.769,1,2237,198,149.036,2.586,1.218,0.821,0.947,3.094516863090773
17,0.418,1.828,2559.793,136.393,0.646,0.646,1.0,0.914,1,3960,211,135.0,0.646,1.0,1.0,1.0,0.729530074568073
18,5.85,14.313,1397.544,137.039,2.586,5.818,0.359,6.132,1,2163,212,108.435,2.194,3.503,0.285,0.528,2.729185104880338
19,37.189,24.055,1340.659,137.686,9.05,5.818,0.808,9.846,1,2074,214,156.801,5.451,1.991,0.502,0.881,6.88117035315621
20,1.254,3.657,1389.787,138.332,1.293,1.293,1.0,1.828,1,2150,214,135.0,1.293,1.464,0.683,0.857,1.263583154801414
21,5.014,8.985,1112.476,140.918,3.232,2.586,0.781,4.139,1,1721,218,141.34,2.285,2.038,0.491,0.828,2.5266624383368086
22,6.268,8.606,1354.88,146.089,2.586,3.232,1.0,3.481,1,2097,226,111.801,2.586,1.295,0.772,0.857,2.825007162185611
23,15.878,23.898,1391.08,146.736,7.757,6.464,0.349,9.323,1,2152,228,146.31,4.831,2.62,0.382,0.517,4.496275958090752
24,0.418,1.828,2554.622,146.736,0.646,0.646,1.0,0.914,1,3952,227,135.0,0.646,1.0,1.0,1.0,0.729530074568073
25,2.507,5.485,358.759,159.664,1.939,1.939,1.0,2.331,1,555,249,33.69,1.828,1.291,0.775,0.8,1.7866201439172942
26,2.925,6.399,3063.995,190.692,2.586,1.939,0.898,3.232,1,4740,295,143.13,1.735,2.339,0.427,0.778,1.9298252947742056
27,3.761,6.399,2906.917,205.559,2.586,1.939,1.0,2.891,1,4497,318,153.435,1.939,1.34,0.746,0.857,2.18829932316147
28,15.043,14.692,415.643,207.498,3.878,5.171,0.876,5.782,1,643,329,63.435,3.878,1.371,0.73,0.878,4.376453183966561
29,10.028,10.813,2659.341,220.427,3.878,3.232,1.0,4.336,1,4114,342,153.435,3.232,1.222,0.818,0.906,3.5732402878345884
30,7.521,9.899,432.45,221.073,2.586,3.878,0.965,4.088,1,670,348,71.565,2.586,1.416,0.706,0.878,3.094516863090773
31,21.31,17.055,192.631,228.184,5.171,5.818,0.921,6.132,1,301,353,108.435,5.11,1.205,0.83,0.872,5.208909165872094
32,99.03,43.604,1066.58,245.637,16.16,8.403,0.655,17.176,1,1650,383,160.201,8.403,2.123,0.471,0.867,11.228931922276631
33,24893.772,784.806,2335.488,246.283,190.692,229.476,0.508,241.052,1,3700,729,68.94,172.51,1.406,0.711,0.868,178.0329602293377
34,3.343,5.864,1206.206,285.714,1.939,1.939,1.0,2.742,1,1866,442,135.0,1.939,1.229,0.814,0.941,2.0631141020432318
35,61.006,32.348,4050.42,293.471,12.282,7.111,0.733,13.879,1,6266,454,152.241,6.071,2.408,0.415,0.93,8.813356435893951
36,17.132,14.47,4299.289,323.206,5.171,4.525,1.0,5.561,1,6651,506,35.538,4.525,1.165,0.859,0.891,4.670453926590306
37,57.245,28.09,4502.262,372.98,9.696,7.757,0.912,10.035,1,6965,581,165.069,7.757,1.304,0.767,0.916,8.537364800590659
