 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,146.665,80.458,3181.642,12.282,28.442,17.453,0.285,30.648,1,4924,22,152.354,11.523,2.299,0.435,0.563,13.665272694995249
2,50.142,25.883,4472.527,25.856,7.757,8.403,0.941,9.255,1,6923,53,65.225,7.757,1.164,0.859,0.93,7.990167535922544
3,10.864,11.192,4440.207,31.028,3.878,3.232,1.0,4.336,1,6869,49,153.435,3.232,1.184,0.845,0.929,3.719203464991235
4,4.178,7.156,5425.986,36.199,1.939,2.586,1.0,3.232,1,8394,60,53.13,1.939,1.559,0.641,0.909,2.3064246829028496
5,0.418,1.828,2806.723,38.138,0.646,0.646,1.0,0.914,1,4342,59,135.0,0.646,1.0,1.0,1.0,0.729530074568073
6,1.671,3.657,2760.827,39.431,1.293,1.293,1.0,1.828,1,4271,61,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
7,0.836,2.742,4402.715,40.724,1.293,0.646,1.0,1.445,1,6811,63,153.435,0.646,2.0,0.5,1.0,1.031711325613224
8,2.089,5.485,2777.634,42.663,1.939,1.939,0.873,2.044,1,4298,66,108.435,1.828,1.0,1.0,0.714,1.6308885335766374
9,0.418,1.828,2795.734,59.47,0.646,0.646,1.0,0.914,1,4325,92,135.0,0.646,1.0,1.0,1.0,0.729530074568073
10,468.827,101.743,774.402,68.52,17.453,39.431,0.569,39.957,1,1206,106,99.31,15.263,2.944,0.34,0.888,24.432132040400244
11,51.813,30.454,4446.025,80.802,9.696,9.696,0.702,10.443,1,6883,125,111.801,8.341,1.14,0.877,0.8,8.122214016594427
12,14.625,15.07,2836.458,94.376,2.586,6.464,0.809,6.592,1,4389,146,101.31,2.586,2.403,0.416,0.933,4.315220543813695
13,0.836,2.742,6561.086,115.061,1.293,0.646,1.0,1.445,1,10150,178,153.435,0.646,2.0,0.5,1.0,1.031711325613224
14,11.7,21.313,996.768,116.354,7.757,5.171,0.324,8.98,1,1542,181,149.744,3.88,3.134,0.319,0.5,3.859650589548412
15,20.057,16.52,1848.739,121.526,5.171,5.171,0.924,5.96,1,2861,189,130.601,5.171,1.063,0.941,0.881,5.053450855480159
16,1.671,3.657,2657.401,124.111,1.293,1.293,1.0,1.828,1,4111,192,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
17,5.85,10.278,1670.33,138.332,2.586,3.878,0.696,4.336,1,2585,220,63.435,2.453,2.111,0.474,0.737,2.729185104880338
18,1.671,3.657,4794.441,138.332,1.293,1.293,1.0,1.828,1,7417,214,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
19,11.282,11.727,4413.058,153.846,4.525,3.232,1.0,4.923,1,6827,239,156.801,3.232,1.438,0.695,0.9,3.7900776434925594
20,2052.474,195.248,3992.889,156.432,55.591,56.884,0.677,62.928,1,6204,327,56.31,47.285,1.351,0.74,0.901,51.12035857993133
21,4.596,7.156,2367.162,160.31,1.939,2.586,1.0,3.232,1,3662,248,126.87,1.939,1.372,0.729,0.957,2.4190512494783585
22,2.089,4.949,3297.35,170.006,1.293,1.939,1.0,2.331,1,5101,263,123.69,1.293,1.553,0.644,0.909,1.6308885335766374
23,2.507,5.485,3307.046,179.056,1.939,1.939,1.0,2.331,1,5117,277,123.69,1.828,1.291,0.775,0.8,1.7866201439172942
24,0.418,1.828,3310.924,182.288,0.646,0.646,1.0,0.914,1,5122,282,135.0,0.646,1.0,1.0,1.0,0.729530074568073
25,2.089,4.949,3343.245,216.548,1.293,1.939,1.0,2.331,1,5172,338,56.31,1.293,1.553,0.644,0.909,1.6308885335766374
26,12.953,15.606,5778.281,230.123,6.464,3.232,0.668,6.592,1,8939,357,168.69,3.017,2.402,0.416,0.795,4.061067818068859
27,26.324,20.555,2129.929,232.062,6.464,6.464,0.783,7.227,1,3295,365,26.565,5.942,1.098,0.911,0.829,5.789365921723071
28,7.939,9.899,387.847,235.294,3.232,3.232,1.0,3.769,1,600,365,149.036,3.232,1.009,0.991,0.864,3.179347220052012
29,6.686,9.363,2126.05,237.233,3.232,2.586,0.958,3.769,1,3289,370,30.964,2.586,1.233,0.811,0.914,2.9176839438327278
30,1.671,3.657,538.462,250.808,1.293,1.293,1.0,1.828,1,833,388,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
31,30.085,20.555,6663.219,254.686,6.464,6.464,0.895,7.89,1,10309,404,55.008,5.942,1.357,0.737,0.906,6.189136587873738
32,153.351,70.937,6420.168,256.626,17.453,18.1,0.383,20.625,1,9939,425,57.804,16.199,1.25,0.8,0.711,13.973280124032508
33,2.925,8.071,537.169,281.836,1.939,3.232,0.564,3.296,1,832,436,101.31,1.635,2.429,0.412,0.636,1.9298252947742056
34,7.103,16.363,537.169,290.886,2.586,7.111,0.333,7.566,1,831,450,109.983,2.103,4.695,0.213,0.618,3.0072945459754785
35,2.089,6.242,541.694,290.886,1.293,2.586,0.674,2.891,1,838,450,116.565,1.293,2.749,0.364,0.769,1.6308885335766374
36,25.489,20.398,6037.492,297.35,5.818,6.464,0.77,8.278,1,9341,460,128.66,4.906,1.57,0.637,0.859,5.696806364600658
37,2.925,7.313,539.754,299.935,2.586,2.586,0.687,3.657,1,835,464,135.0,1.793,2.59,0.386,0.667,1.9298252947742056
38,35.099,25.662,3080.155,303.814,9.05,7.757,0.67,11.121,1,4765,471,144.462,5.028,2.494,0.401,0.866,6.6850156903824445
39,660.201,117.912,2669.683,312.864,35.553,31.028,0.597,36.026,1,4130,503,170.707,25.401,1.34,0.746,0.855,28.992999511497587
40,220.206,65.988,1661.926,314.803,15.514,21.332,0.635,23.707,1,2579,487,115.866,15.363,1.494,0.669,0.847,16.74440166706327
41,66.856,35.626,6776.341,321.913,10.343,11.635,0.662,12.265,1,10485,516,71.565,9.994,1.082,0.924,0.804,9.22625075547018
42,34.681,27.49,3780.22,328.378,9.696,8.403,0.577,11.653,1,5848,519,33.69,5.171,2.737,0.365,0.761,6.645089965603188
43,3.761,6.399,6725.275,341.952,2.586,1.939,1.0,2.891,1,10404,529,153.435,1.939,1.34,0.746,0.857,2.18829932316147
44,10.446,11.192,4363.284,395.604,3.232,3.878,1.0,4.571,1,6750,613,135.0,3.232,1.123,0.891,0.909,3.646952191118429
45,117.833,118.956,1446.025,398.836,29.735,34.906,0.105,42.21,1,2240,669,49.97,16.922,3.381,0.296,0.24,12.248658509191054
46,0.418,1.828,3757.595,402.069,0.646,0.646,1.0,0.914,1,5813,622,135.0,0.646,1.0,1.0,1.0,0.729530074568073
47,0.418,1.828,1478.992,411.765,0.646,0.646,1.0,0.914,1,2288,637,135.0,0.646,1.0,1.0,1.0,0.729530074568073
48,0.836,3.657,1469.295,422.107,1.293,1.293,0.785,1.828,1,2273,655,45.0,0.914,2.646,0.378,0.667,1.031711325613224
49,6.686,10.813,1462.831,425.339,3.232,3.878,0.719,5.049,1,2263,664,50.194,2.313,2.402,0.416,0.78,2.9176839438327278
50,16.714,16.141,6269.554,429.864,3.878,6.464,0.806,6.749,1,9700,675,73.301,3.676,2.006,0.498,0.842,4.61312537773509
51,17.55,30.741,4868.132,487.395,9.05,7.757,0.233,10.97,1,7531,754,135.0,6.399,1.856,0.539,0.406,4.7270872649129405
