 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,27.16,19.106,1879.767,4.525,5.818,5.818,0.935,7.37,1,2910,16,52.125,5.818,1.22,0.819,0.922,5.880577015481306
2,19.639,15.763,1469.942,7.757,5.171,5.171,0.993,5.96,1,2275,12,130.601,5.028,1.181,0.847,0.887,5.000515115371002
3,158.783,54.731,1893.988,9.05,18.746,13.575,0.666,19.543,1,2933,34,34.216,12.602,1.788,0.559,0.828,14.218607337980869
4,22.564,17.434,2416.936,12.282,5.818,5.171,0.933,6.655,1,3739,21,150.945,5.171,1.214,0.824,0.893,5.359979205874237
5,8.775,10.434,1865.546,12.928,3.878,3.232,1.0,4.336,1,2886,24,26.565,3.2,1.355,0.738,0.857,3.34255546028051
6,14.207,13.399,4495.152,12.928,3.878,4.525,0.994,5.049,1,6954,26,39.806,3.878,1.092,0.916,0.907,4.253106419083874
7,50.56,26.262,588.882,15.514,7.757,8.403,0.921,9.255,1,915,37,65.225,7.757,1.111,0.9,0.931,8.023402730874839
8,86.077,42.625,2803.491,15.514,10.989,14.221,0.595,14.526,1,4337,43,57.724,9.978,1.597,0.626,0.769,10.468841401615014
9,1665.128,162.939,817.065,19.392,51.713,42.663,0.788,53.559,1,1264,76,23.471,42.629,1.207,0.828,0.932,46.044617672924296
10,0.418,1.828,1279.25,25.856,0.646,0.646,1.0,0.914,1,1979,40,135.0,0.646,1.0,1.0,1.0,0.729530074568073
11,20.892,16.677,3027.796,33.613,5.171,5.818,0.944,6.366,1,4686,61,66.038,4.841,1.378,0.726,0.877,5.157569250005958
12,70.616,31.433,12.928,34.26,8.403,10.343,0.898,11.308,1,22,69,59.036,8.338,1.306,0.766,0.931,9.482145521506103
13,29.667,20.934,2234.001,36.199,6.464,6.464,0.851,7.784,1,3457,57,131.634,6.337,1.188,0.842,0.861,6.145990365568276
14,35.517,22.762,328.378,37.492,6.464,7.757,0.861,8.403,1,510,58,112.62,6.464,1.223,0.818,0.876,6.724704373454552
15,0.418,1.828,4112.476,37.492,0.646,0.646,1.0,0.914,1,6362,58,135.0,0.646,1.0,1.0,1.0,0.729530074568073
16,9.611,13.242,2839.69,39.431,1.939,5.818,0.689,6.132,1,4393,70,71.565,1.939,3.103,0.322,0.92,3.498157409901625
17,25.489,19.262,1338.074,40.078,5.171,7.111,0.863,7.37,1,2072,62,105.255,5.171,1.47,0.68,0.871,5.696806364600658
18,30.503,20.02,115.061,42.663,5.818,6.464,0.956,7.538,1,179,66,120.964,5.818,1.253,0.798,0.93,6.2319841008347145
19,27.578,19.419,3228.83,48.481,5.818,7.111,0.919,7.227,1,4999,86,79.695,5.782,1.185,0.844,0.868,5.925656095716855
20,41.785,23.833,1215.902,50.42,7.757,7.757,0.924,9.696,1,1883,78,126.87,5.942,1.655,0.604,0.917,7.293991662783744
21,33.846,21.469,1935.359,53.652,6.464,7.111,0.923,7.89,1,2994,92,34.992,6.36,1.221,0.819,0.905,6.5646070431600325
22,9.611,10.656,281.836,56.884,3.232,3.232,1.0,4.571,1,436,88,135.0,3.232,1.202,0.832,0.958,3.498157409901625
23,42.203,23.676,4304.46,58.177,7.111,7.757,0.946,8.792,1,6659,99,36.027,6.856,1.25,0.8,0.927,7.330383926265942
24,34.264,21.469,685.844,60.116,6.464,7.111,0.934,8.278,1,1061,102,38.66,5.942,1.364,0.733,0.916,6.605019285422687
25,12.535,12.485,2360.698,60.763,3.878,3.878,1.0,5.049,1,3652,95,140.194,3.878,1.14,0.877,0.923,3.9950040917695273
26,23.4,18.727,1927.602,62.056,4.525,7.111,0.838,8.1,1,2982,107,61.39,4.525,1.903,0.525,0.911,5.458370209760676
27,755.053,158.265,1950.226,62.056,36.199,49.774,0.379,51.923,1,3041,96,108.886,31.565,1.95,0.513,0.666,31.005859736038907
28,13.371,13.399,4204.913,63.348,3.878,4.525,0.936,5.96,1,6505,105,49.399,3.657,1.697,0.589,0.914,4.126073915073973
29,10.864,11.727,4378.151,76.277,3.878,3.878,0.993,5.049,1,6773,124,39.806,3.2,1.585,0.631,0.897,3.719203464991235
30,36.353,23.676,2148.675,76.923,5.818,9.05,0.815,9.142,1,3329,119,98.13,5.818,1.581,0.633,0.874,6.803387183584172
31,117.833,44.232,2332.902,80.802,14.221,13.575,0.757,15.132,1,3609,136,19.983,12.668,1.204,0.831,0.873,12.248658509191054
32,6.268,8.985,1915.32,84.68,2.586,3.232,0.976,3.481,1,2965,131,111.801,2.586,1.186,0.843,0.882,2.825007162185611
33,0.836,2.742,619.263,85.326,1.293,0.646,1.0,1.445,1,958,132,153.435,0.646,2.0,0.5,1.0,1.031711325613224
34,248.62,67.281,3100.194,97.608,18.746,21.332,0.69,23.352,1,4798,178,48.366,17.338,1.312,0.762,0.867,17.79193119400073
35,15.043,13.934,990.95,100.84,5.171,3.878,0.974,5.523,1,1533,161,20.556,3.878,1.406,0.711,0.889,4.376453183966561
36,569.946,105.806,948.287,103.426,25.856,36.199,0.64,36.891,1,1479,216,78.887,25.15,1.505,0.664,0.871,26.93840725736448
37,41.785,23.676,402.715,107.304,7.111,7.757,0.937,8.278,1,624,177,38.66,7.111,1.076,0.93,0.905,7.293991662783744
