 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
2111,43.456,25.505,2772.463,1.939,7.111,9.05,0.839,9.255,2,4293,3,102.095,6.79,1.466,0.682,0.867,7.43840692998247
2112,4.178,8.071,4113.769,7.111,1.939,3.232,0.806,3.296,2,6365,11,101.31,1.939,1.577,0.634,0.8,2.3064246829028496
2113,7.939,11.192,725.275,12.282,3.232,3.878,0.796,4.661,2,1122,25,56.31,3.232,1.622,0.617,0.809,3.179347220052012
2114,7.521,10.278,2884.939,13.575,2.586,3.878,0.895,4.336,2,4464,27,63.435,2.586,1.789,0.559,0.878,3.094516863090773
2115,16.296,14.848,1469.295,14.867,5.171,4.525,0.929,5.523,2,2273,26,159.444,4.525,1.065,0.939,0.886,4.555075369409843
2116,3.761,7.156,4446.025,15.514,1.939,2.586,0.923,3.232,2,6878,28,53.13,1.939,1.758,0.569,0.857,2.18829932316147
2117,134.547,47.51,1798.319,16.807,16.807,13.575,0.749,18.249,2,2782,43,22.932,11.884,1.501,0.666,0.871,13.088566041606008
2118,1068.022,139.89,2329.67,18.1,34.26,47.835,0.686,53.195,2,3610,28,115.942,31.937,1.755,0.57,0.912,36.8761148312446
2119,1.254,3.657,1015.514,21.978,1.293,1.293,1.0,1.828,2,1571,36,45.0,1.293,1.464,0.683,0.857,1.263583154801414
2120,0.418,1.828,731.739,30.381,0.646,0.646,1.0,0.914,2,1132,47,135.0,0.646,1.0,1.0,1.0,0.729530074568073
2121,33.428,21.313,718.811,34.26,5.818,7.111,0.925,7.89,2,1113,54,124.992,5.818,1.2,0.833,0.909,6.52394447412047
2122,13.789,13.02,1449.257,35.553,3.878,4.525,1.0,5.212,2,2244,55,119.745,3.878,1.239,0.807,0.917,4.19007160826079
2123,2.089,4.949,2006.464,41.37,1.293,1.939,1.0,2.331,2,3104,67,56.31,1.293,1.553,0.644,0.909,1.6308885335766374
2124,172.989,51.61,1759.535,42.017,14.867,16.807,0.816,18.488,2,2726,66,126.469,13.447,1.476,0.677,0.905,14.841038899086245
2125,27.578,19.798,1862.961,43.956,5.818,7.111,0.884,7.811,2,2884,68,114.444,5.801,1.352,0.74,0.868,5.925656095716855
2126,46.799,27.712,2677.44,45.895,8.403,9.05,0.766,11.121,2,4143,85,54.462,6.36,1.9,0.526,0.875,7.719218707489825
2127,151.679,54.574,2042.017,48.481,14.221,17.453,0.64,18.397,2,3168,102,71.565,13.565,1.193,0.838,0.833,13.896895369322054
