 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,4.178,6.778,2742.081,1.939,1.939,2.586,1.0,2.891,1,4243,3,116.565,1.939,1.327,0.753,0.909,2.3064246829028496
2,3.761,6.778,2128.636,6.464,1.939,2.586,1.0,2.891,1,3293,14,63.435,1.939,1.34,0.746,0.857,2.18829932316147
3,0.418,1.828,3620.556,7.111,0.646,0.646,1.0,0.914,1,5601,11,135.0,0.646,1.0,1.0,1.0,0.729530074568073
4,9.193,10.434,4360.698,7.111,3.232,3.878,1.0,4.336,1,6747,17,63.435,3.2,1.361,0.735,0.88,3.421241168750071
5,0.418,1.828,2712.346,7.757,0.646,0.646,1.0,0.914,1,4196,12,135.0,0.646,1.0,1.0,1.0,0.729530074568073
6,0.836,3.121,2929.541,10.343,0.646,1.293,1.0,1.445,1,4532,16,116.565,0.646,2.0,0.5,1.0,1.031711325613224
7,0.418,1.828,3609.567,11.635,0.646,0.646,1.0,0.914,1,5584,18,135.0,0.646,1.0,1.0,1.0,0.729530074568073
8,2.925,6.778,2438.268,12.282,1.939,2.586,0.8,2.891,1,3772,19,116.565,1.828,1.668,0.6,0.778,1.9298252947742056
9,0.836,3.121,2992.243,13.575,0.646,1.293,1.0,1.445,1,4629,21,116.565,0.646,2.0,0.5,1.0,1.031711325613224
10,6.686,9.142,2365.223,14.867,3.232,3.232,1.0,3.769,1,3659,27,30.964,2.742,1.452,0.689,0.821,2.9176839438327278
11,0.836,2.742,4297.996,15.514,1.293,0.646,1.0,1.445,1,6649,24,153.435,0.646,2.0,0.5,1.0,1.031711325613224
12,2.507,5.485,3605.688,17.453,1.939,1.939,1.0,2.331,1,5578,30,33.69,1.828,1.291,0.775,0.8,1.7866201439172942
13,0.836,2.742,6212.023,17.453,1.293,0.646,1.0,1.445,1,9610,27,153.435,0.646,2.0,0.5,1.0,1.031711325613224
14,4.178,6.778,2226.891,18.746,1.939,2.586,1.0,2.891,1,3445,29,116.565,1.939,1.327,0.753,0.909,2.3064246829028496
15,4.596,7.156,1530.705,19.392,1.939,2.586,1.0,3.232,1,2368,30,126.87,1.939,1.372,0.729,0.957,2.4190512494783585
16,132.458,43.696,8996.768,20.685,13.575,13.575,0.872,15.781,1,13919,34,145.008,12.153,1.262,0.793,0.926,12.986560884873647
17,0.418,1.828,3150.614,21.978,0.646,0.646,1.0,0.914,1,4874,34,135.0,0.646,1.0,1.0,1.0,0.729530074568073
18,0.836,3.121,3618.617,21.978,0.646,1.293,1.0,1.445,1,5598,34,116.565,0.646,2.0,0.5,1.0,1.031711325613224
19,0.418,1.828,4124.758,21.978,0.646,0.646,1.0,0.914,1,6381,34,135.0,0.646,1.0,1.0,1.0,0.729530074568073
20,0.418,1.828,3127.343,22.624,0.646,0.646,1.0,0.914,1,4838,35,135.0,0.646,1.0,1.0,1.0,0.729530074568073
21,7.103,10.278,2198.449,23.917,3.878,2.586,0.845,4.661,1,3401,41,33.69,2.586,1.763,0.567,0.85,3.0072945459754785
22,1.254,3.657,4398.836,25.21,1.293,1.293,1.0,1.828,1,6805,39,135.0,1.293,1.464,0.683,0.857,1.263583154801414
23,0.418,1.828,2195.217,27.796,0.646,0.646,1.0,0.914,1,3396,43,135.0,0.646,1.0,1.0,1.0,0.729530074568073
24,3.343,6.242,2382.676,27.796,1.293,2.586,1.0,2.891,1,3686,43,116.565,1.293,2.0,0.5,1.0,2.0631141020432318
25,1.254,3.657,4351.648,27.796,1.293,1.293,1.0,1.828,1,6732,45,45.0,1.293,1.464,0.683,0.857,1.263583154801414
26,1.671,3.657,3597.931,29.089,1.293,1.293,1.0,1.828,1,5566,45,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
27,3.343,5.864,4102.78,31.028,1.939,1.939,1.0,2.742,1,6347,51,45.0,1.939,1.229,0.814,0.941,2.0631141020432318
28,0.418,1.828,4291.532,31.674,0.646,0.646,1.0,0.914,1,6639,49,135.0,0.646,1.0,1.0,1.0,0.729530074568073
29,2.507,5.485,2243.697,32.321,1.939,1.939,1.0,2.331,1,3471,52,33.69,1.828,1.291,0.775,0.8,1.7866201439172942
30,4.178,6.778,4396.251,35.553,2.586,1.939,1.0,2.891,1,6801,55,153.435,1.939,1.236,0.809,0.909,2.3064246829028496
31,1.254,3.657,8439.56,35.553,1.293,1.293,1.0,1.828,1,13056,55,135.0,1.293,1.464,0.683,0.857,1.263583154801414
32,1.254,3.657,3590.175,36.846,1.293,1.293,1.0,1.828,1,5554,59,45.0,1.293,1.464,0.683,0.857,1.263583154801414
33,2.925,5.485,4312.864,36.846,1.939,1.939,1.0,2.331,1,6672,57,123.69,1.939,1.069,0.936,0.875,1.9298252947742056
34,71.452,37.989,2212.67,37.492,10.989,10.989,0.622,13.834,1,3423,73,37.405,8.606,1.755,0.57,0.816,9.53810840525609
35,0.836,3.121,3610.213,37.492,0.646,1.293,1.0,1.445,1,5585,58,116.565,0.646,2.0,0.5,1.0,1.031711325613224
