 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1148,2.507,7.535,1789.27,1.939,3.232,1.293,0.555,3.481,2,2768,3,158.199,1.293,3.55,0.282,0.75,1.7866201439172942
1149,0.418,1.828,666.451,3.878,0.646,0.646,1.0,0.914,2,1031,6,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1150,6.686,8.828,2266.968,4.525,2.586,2.586,1.0,3.657,2,3507,7,135.0,2.586,1.0,1.0,1.0,2.9176839438327278
1151,2.089,5.485,1184.228,5.171,1.939,1.939,0.873,2.742,2,1832,8,135.0,1.371,2.308,0.433,0.769,1.6308885335766374
1152,2.925,5.485,6365.223,6.464,1.939,1.939,1.0,2.331,2,9847,10,123.69,1.939,1.069,0.936,0.875,1.9298252947742056
1153,13.371,19.641,1202.327,7.757,8.403,3.878,0.436,8.792,2,1860,17,17.103,3.232,3.413,0.293,0.621,4.126073915073973
1154,2.507,4.949,2238.526,11.635,1.939,1.293,1.0,2.331,2,3463,18,146.31,1.293,1.5,0.667,1.0,1.7866201439172942
1155,6.268,11.035,700.711,12.928,1.939,4.525,0.647,4.923,2,1084,20,113.199,1.939,3.173,0.315,0.833,2.825007162185611
1156,5.014,8.071,706.529,12.928,1.939,3.232,0.967,3.481,2,1093,20,111.801,1.939,1.579,0.633,0.889,2.5266624383368086
1157,0.418,1.828,1663.866,15.514,0.646,0.646,1.0,0.914,2,2574,24,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1158,10.864,11.192,8928.248,16.16,3.878,3.232,1.0,4.336,2,13812,26,153.435,3.232,1.184,0.845,0.929,3.719203464991235
1159,29.249,26.262,693.601,17.453,8.403,5.818,0.533,8.792,2,1075,27,143.973,5.818,1.4,0.714,0.683,6.1025390981098
1160,4.596,7.313,4911.441,20.685,2.586,2.586,1.0,2.891,2,7599,32,116.565,2.586,1.139,0.878,0.815,2.4190512494783585
1161,139.144,47.953,8632.838,21.978,18.1,10.989,0.76,19.219,2,13355,49,19.654,9.808,2.002,0.499,0.921,13.310283363348413
1162,5.014,8.071,1227.537,22.624,3.232,1.939,0.967,3.769,2,1899,35,149.036,1.939,1.939,0.516,0.889,2.5266624383368086
1163,1.254,3.657,1511.959,25.21,1.293,1.293,1.0,1.828,2,2339,41,45.0,1.293,1.464,0.683,0.857,1.263583154801414
1164,2.089,5.485,1840.336,25.856,1.939,1.939,0.873,2.044,2,2848,40,108.435,1.828,1.0,1.0,0.714,1.6308885335766374
1165,1.671,4.571,3020.685,25.856,1.939,1.293,1.0,2.331,2,4673,40,146.31,1.293,2.031,0.492,0.8,1.4586237620621902
1166,0.418,1.828,4914.674,29.735,0.646,0.646,1.0,0.914,2,7603,46,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1167,1.254,3.657,5453.782,29.735,1.293,1.293,1.0,1.828,2,8437,48,45.0,1.293,1.464,0.683,0.857,1.263583154801414
1168,2.507,5.485,1214.609,34.26,1.939,1.939,1.0,2.742,2,1879,53,135.0,1.735,1.809,0.553,0.8,1.7866201439172942
1169,0.418,1.828,7432.45,34.26,0.646,0.646,1.0,0.914,2,11498,53,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1170,4.178,7.692,3095.023,34.906,2.586,2.586,0.887,3.232,2,4788,58,36.87,2.586,1.363,0.734,0.769,2.3064246829028496
1171,2.089,4.571,6524.24,38.138,1.939,1.293,1.0,2.331,2,10093,59,146.31,1.293,1.553,0.644,0.909,1.6308885335766374
1172,5.432,7.692,1201.681,39.431,2.586,2.586,1.0,3.232,2,1859,65,36.87,2.586,1.159,0.863,0.897,2.6298739907078064
1173,4.178,7.156,1848.093,40.078,1.939,2.586,1.0,2.891,2,2859,62,116.565,1.939,1.236,0.809,0.909,2.3064246829028496
1174,2.925,6.399,1235.941,41.37,2.586,1.939,0.898,2.891,2,1912,64,153.435,1.828,1.668,0.6,0.778,1.9298252947742056
1175,0.418,1.828,4966.387,44.602,0.646,0.646,1.0,0.914,2,7683,69,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1176,1.671,3.657,994.829,47.188,1.293,1.293,1.0,1.828,2,1539,73,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
1177,0.836,2.742,2480.284,51.067,1.293,0.646,1.0,1.445,2,3837,79,153.435,0.646,2.0,0.5,1.0,1.031711325613224
1178,0.418,1.828,6653.523,51.713,0.646,0.646,1.0,0.914,2,10293,80,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1179,17.132,14.848,6802.198,51.713,5.171,4.525,0.976,6.098,2,10523,87,32.005,4.114,1.441,0.694,0.911,4.670453926590306
1180,0.836,2.742,702.65,52.359,1.293,0.646,1.0,1.445,2,1087,81,153.435,0.646,2.0,0.5,1.0,1.031711325613224
1181,0.418,1.828,6791.209,54.299,0.646,0.646,1.0,0.914,2,10506,84,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1182,18.803,21.691,1798.966,54.945,9.696,3.232,0.502,9.782,2,2783,90,7.595,3.152,3.206,0.312,0.818,4.892925828137523
