 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
2698,1.671,3.657,4640.595,3.232,1.293,1.293,1.0,1.828,2,7179,5,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
2699,2.089,4.949,6888.817,4.525,1.293,1.939,1.0,2.331,2,10657,10,56.31,1.293,1.553,0.644,0.909,1.6308885335766374
2700,6.268,10.813,7880.414,6.464,3.232,3.878,0.674,4.661,2,12192,16,56.31,2.742,1.89,0.529,0.698,2.825007162185611
2701,15.043,14.313,2921.138,12.282,3.878,5.171,0.923,5.523,2,4521,19,110.556,3.878,1.437,0.696,0.878,4.376453183966561
2702,1.671,3.657,9083.387,14.867,1.293,1.293,1.0,1.828,2,14052,23,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
2703,1.254,3.657,8212.67,16.16,1.293,1.293,1.0,1.828,2,12705,25,135.0,1.293,1.464,0.683,0.857,1.263583154801414
2704,5.85,8.071,8016.807,17.453,2.586,2.586,1.0,3.232,2,12402,27,126.87,2.586,1.02,0.981,0.933,2.729185104880338
2705,1.671,3.657,6906.27,18.1,1.293,1.293,1.0,1.828,2,10684,28,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
2706,19.221,16.677,9018.1,18.746,4.525,6.464,0.868,6.749,2,13952,39,73.301,4.525,1.488,0.672,0.86,4.947012966362082
2707,9.611,11.192,7921.784,20.685,3.232,3.878,0.964,4.336,2,12255,38,63.435,3.232,1.174,0.852,0.885,3.498157409901625
2708,6.686,9.142,2739.496,21.332,3.232,3.232,1.0,3.769,2,4239,33,120.964,2.742,1.452,0.689,0.821,2.9176839438327278
2709,8.357,10.278,8811.248,25.856,3.232,3.232,0.994,4.139,2,13631,44,38.66,3.232,1.187,0.842,0.909,3.261972237060235
2710,0.836,2.742,8145.443,33.613,1.293,0.646,1.0,1.445,2,12601,52,153.435,0.646,2.0,0.5,1.0,1.031711325613224
2711,344.308,73.079,6283.775,34.26,20.039,25.21,0.81,26.058,2,9726,54,113.385,18.233,1.46,0.685,0.923,20.93768280323003
2712,2039.521,182.266,8435.682,34.26,58.177,47.835,0.771,60.453,2,13050,69,155.353,44.929,1.273,0.786,0.939,50.95879501634437
2713,0.418,1.828,6906.27,36.846,0.646,0.646,1.0,0.914,2,10684,57,135.0,0.646,1.0,1.0,1.0,0.729530074568073
2714,1.671,3.657,8018.746,41.37,1.293,1.293,1.0,1.828,2,12405,64,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
2715,6.268,13.621,4914.027,42.663,6.464,1.293,0.425,6.496,2,7602,66,174.289,1.293,4.844,0.206,0.857,2.825007162185611
2716,1.254,3.657,6922.431,45.895,1.293,1.293,1.0,1.828,2,10709,71,135.0,1.293,1.464,0.683,0.857,1.263583154801414
2717,97.777,41.332,2851.972,50.42,9.696,15.514,0.719,15.991,2,4416,78,104.036,8.968,1.855,0.539,0.872,11.157667451827466
2718,132.458,67.973,6225.598,60.763,14.221,22.624,0.36,24.876,2,9635,129,65.433,11.55,2.628,0.381,0.617,12.986560884873647
2719,165.468,52.524,7890.756,62.056,14.221,18.1,0.754,18.657,2,12213,96,104.036,13.924,1.437,0.696,0.855,14.51483382571905
2720,0.418,1.828,6879.121,65.934,0.646,0.646,1.0,0.914,2,10642,102,135.0,0.646,1.0,1.0,1.0,0.729530074568073
2721,1.671,3.657,6886.231,76.277,1.293,1.293,1.0,1.828,2,10653,118,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
2722,160.036,59.524,2712.993,78.862,21.978,12.282,0.568,22.927,2,4198,126,158.499,12.27,2.252,0.444,0.807,14.274598550615584
2723,5.85,8.071,3653.523,80.155,2.586,2.586,1.0,3.232,2,5653,124,126.87,2.586,1.125,0.889,0.933,2.729185104880338
2724,1480.021,163.907,4355.527,80.802,54.299,46.542,0.692,55.97,2,6738,168,14.036,37.161,1.703,0.587,0.883,43.40992126505737
2725,0.418,1.828,6853.264,85.326,0.646,0.646,1.0,0.914,2,10602,132,135.0,0.646,1.0,1.0,1.0,0.729530074568073
2726,3.343,5.864,8042.017,89.205,1.939,1.939,1.0,2.742,2,12441,141,45.0,1.939,1.229,0.814,0.941,2.0631141020432318
2727,462.559,79.544,8087.266,89.205,25.21,23.271,0.919,26.534,2,12513,167,34.077,23.046,1.148,0.871,0.966,24.268259323098395
2728,1082.647,141.588,6582.418,90.498,36.846,49.774,0.679,53.305,2,10189,140,112.834,30.431,1.774,0.564,0.901,37.12773859783127
2729,26.324,21.091,2075.63,91.144,5.818,7.757,0.744,8.98,2,3212,141,120.256,4.846,1.965,0.509,0.846,5.789365921723071
2730,2.089,6.399,6902.392,95.023,2.586,1.939,0.641,3.232,2,10678,147,143.13,1.371,3.145,0.318,0.667,1.6308885335766374
2731,2.925,6.399,8393.665,95.669,2.586,1.939,0.898,2.665,2,12985,149,165.964,1.939,1.387,0.721,0.737,1.9298252947742056
2732,0.836,3.657,7713.639,97.608,1.293,1.293,0.785,1.828,2,11933,151,135.0,0.914,2.646,0.378,0.667,1.031711325613224
2733,5.014,8.071,6887.524,105.365,3.232,1.939,0.967,3.481,2,10655,165,21.801,1.939,1.579,0.633,0.889,2.5266624383368086
