 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1277,0.418,1.828,8299.289,2.586,0.646,0.646,1.0,0.914,2,12839,4,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1278,2212.51,216.274,5331.61,8.403,70.459,54.299,0.594,75.306,2,8258,27,145.491,46.87,1.659,0.603,0.857,53.07593828772126
1279,1.671,4.571,2312.864,13.575,1.939,1.293,1.0,2.044,2,3578,21,161.565,1.293,1.468,0.681,0.8,1.4586237620621902
1280,11.7,13.777,4385.262,29.735,3.232,5.171,0.775,5.782,2,6784,54,63.435,3.232,1.767,0.566,0.836,3.859650589548412
1281,4.178,7.313,49.127,34.26,2.586,2.586,0.982,2.891,2,76,54,153.435,2.586,1.028,0.973,0.769,2.3064246829028496
1282,110.73,38.368,257.919,35.553,12.928,10.989,0.945,13.326,2,399,60,165.964,10.989,1.144,0.874,0.94,11.87374476685955
1283,7.103,8.985,8285.714,36.199,2.586,3.232,1.0,3.769,2,12818,61,59.036,2.586,1.263,0.792,0.919,3.0072945459754785
1284,150.843,49.181,4369.101,36.846,14.221,15.514,0.784,16.856,2,6759,62,147.529,13.829,1.317,0.759,0.882,13.858545112907276
1285,312.551,69.044,1244.99,45.895,19.392,23.271,0.824,23.768,2,1931,72,112.38,19.066,1.306,0.766,0.925,19.94874163817156
1286,5.014,8.071,261.797,52.359,2.586,2.586,0.967,3.232,2,405,81,126.87,2.586,1.218,0.821,0.889,2.5266624383368086
1287,5.432,7.692,8738.203,52.359,2.586,2.586,1.0,3.232,2,13518,84,36.87,2.586,1.159,0.863,0.897,2.6298739907078064
1288,1.671,4.571,8555.268,53.006,1.939,1.293,1.0,2.044,2,13235,83,161.565,1.293,1.468,0.681,0.8,1.4586237620621902
1289,380.66,79.1,5194.57,56.884,23.917,25.21,0.765,28.705,2,8045,126,54.162,17.841,1.548,0.646,0.921,22.01525301010386
1290,236.92,60.595,6557.207,58.824,19.392,18.1,0.811,22.063,2,10144,112,31.827,14.503,1.56,0.641,0.919,17.368244382742166
1291,5.85,9.52,3405.947,60.116,3.232,3.232,0.811,4.571,2,5269,93,135.0,2.285,2.307,0.434,0.8,2.729185104880338
1292,124.519,50.252,6213.316,69.813,16.16,16.16,0.62,21.105,2,9612,130,40.03,9.142,2.539,0.394,0.87,12.591366680026349
1293,333.444,82.286,3016.16,71.105,20.685,27.796,0.619,30.388,2,4669,152,60.709,18.74,1.845,0.542,0.833,20.604710305041216
1294,15.878,14.313,7374.273,82.741,5.171,3.878,0.974,6.098,2,11408,128,147.995,3.878,1.524,0.656,0.927,4.496275958090752
1295,747.532,125.355,5718.164,84.034,41.37,27.796,0.598,44.306,2,8847,137,156.801,25.795,1.783,0.561,0.86,30.85105027960905
1296,12.118,12.106,5807.369,87.266,4.525,3.232,1.0,4.923,2,8984,139,23.199,3.232,1.373,0.728,0.921,3.927991446413893
1297,1.254,3.657,8687.783,101.487,1.293,1.293,1.0,1.828,2,13440,157,135.0,1.293,1.464,0.683,0.857,1.263583154801414
1298,1633.79,176.9,4035.553,116.354,49.127,49.774,0.656,53.819,2,6243,233,24.102,43.96,1.205,0.83,0.905,45.60927576483605
1299,15.878,14.47,8809.955,116.354,5.171,4.525,0.953,5.561,2,13629,186,35.538,4.336,1.306,0.766,0.854,4.496275958090752
1300,3.343,6.778,6473.174,118.94,2.586,1.939,0.914,3.232,2,10014,184,143.13,1.828,1.939,0.516,0.842,2.0631141020432318
1301,65.184,29.919,8508.08,118.94,9.696,9.05,0.915,10.758,2,13162,187,147.265,8.962,1.152,0.868,0.912,9.110150738819684
1302,0.418,1.828,2389.787,119.586,0.646,0.646,1.0,0.914,2,3697,185,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1303,297.091,66.302,4627.02,119.586,21.332,18.746,0.849,22.111,2,7158,195,164.745,18.746,1.167,0.857,0.937,19.4491133367286
1304,1.254,3.657,1553.329,120.879,1.293,1.293,1.0,1.828,2,2403,187,135.0,1.293,1.464,0.683,0.857,1.263583154801414
1305,486.376,93.321,2677.44,127.99,31.674,21.978,0.702,32.77,2,4142,209,165.141,21.431,1.606,0.623,0.884,24.88519955335117
1306,2.925,5.864,7660.633,138.979,1.939,1.939,1.0,2.331,2,11852,215,123.69,1.939,1.069,0.936,0.875,1.9298252947742056
1307,251800.407,2911.883,6424.047,142.857,722.043,634.131,0.373,778.638,2,10231,1201,52.217,489.577,1.642,0.609,0.848,566.2174808082216
1308,23.817,17.591,1925.663,144.15,6.464,5.171,0.967,6.749,2,2979,228,16.699,5.171,1.281,0.781,0.891,5.506790920032953
1309,636.384,107.477,2842.275,163.542,24.564,37.492,0.692,38.286,2,4408,311,78.311,22.574,1.769,0.565,0.9,28.46522921806079
1310,2.925,5.485,7559.147,175.178,1.939,1.939,1.0,2.331,2,11694,271,123.69,1.939,1.069,0.936,0.875,1.9298252947742056
1311,38429.155,826.846,2494.505,176.471,262.443,243.697,0.706,269.827,2,3861,388,165.431,186.683,1.508,0.663,0.947,221.20018041755077
1312,256.977,71.029,6062.056,181.642,20.685,23.917,0.64,26.597,2,9390,318,64.058,15.255,2.004,0.499,0.867,18.08848469295889
1313,132.458,44.453,1227.537,182.935,11.635,15.514,0.842,16.212,2,1903,307,66.501,11.365,1.446,0.692,0.912,12.986560884873647
1314,11.282,12.641,9016.807,186.167,3.878,4.525,0.887,5.212,2,13950,295,60.255,3.469,1.69,0.592,0.831,3.7900776434925594
1315,3.343,5.864,1442.146,190.692,1.939,1.939,1.0,2.742,2,2231,298,45.0,1.939,1.229,0.814,0.941,2.0631141020432318
1316,618.417,102.593,5001.939,194.57,29.735,29.735,0.738,34.648,2,7738,342,36.656,28.664,1.089,0.919,0.932,28.06052350788355
1317,226.474,58.988,7555.915,247.576,15.514,20.039,0.818,20.866,2,11697,383,106.189,15.331,1.299,0.77,0.945,16.981038032298002
1318,48.888,26.798,8294.764,250.162,10.343,6.464,0.856,10.661,2,12832,394,14.036,6.428,1.714,0.583,0.903,7.889621972123419
1319,432.892,88.15,3655.462,254.04,20.039,31.028,0.7,31.522,2,5662,394,105.461,19.494,1.795,0.557,0.882,23.47712105432636
1320,0.418,1.828,8064.641,255.979,0.646,0.646,1.0,0.914,2,12476,396,135.0,0.646,1.0,1.0,1.0,0.729530074568073
1321,30.085,21.091,4784.098,256.626,7.111,6.464,0.85,7.89,2,7402,406,34.992,5.765,1.353,0.739,0.862,6.189136587873738
1322,15.878,14.313,6022.624,258.565,3.878,5.171,0.974,5.782,2,9318,408,63.435,3.878,1.5,0.667,0.905,4.496275958090752
1323,3.343,5.864,6101.487,260.504,1.939,1.939,1.0,2.742,2,9439,403,135.0,1.939,1.229,0.814,0.941,2.0631141020432318
1324,12.953,13.02,6120.233,262.443,4.525,3.878,0.96,5.212,2,9468,407,150.255,3.878,1.308,0.765,0.873,4.061067818068859
1325,12.953,13.399,4443.439,275.372,5.171,3.232,0.907,5.782,2,6874,426,153.435,3.232,1.712,0.584,0.899,4.061067818068859
1326,112639.556,1442.088,8371.041,276.018,344.538,504.848,0.681,512.145,2,13255,428,100.104,337.082,1.508,0.663,0.93,378.7045510693143
1327,7.103,8.985,7595.992,288.3,3.232,2.586,1.0,3.769,2,11751,447,149.036,2.586,1.263,0.792,0.919,3.0072945459754785
1328,1098.943,165.551,1936.005,299.289,40.724,48.481,0.504,50.709,2,3020,463,107.049,38.218,1.522,0.657,0.787,37.40611828310837
1329,3.343,5.864,6164.189,308.339,1.939,1.939,1.0,2.742,2,9536,477,135.0,1.939,1.229,0.814,0.941,2.0631141020432318
1330,3023.555,216.377,1567.55,311.571,67.227,59.47,0.812,72.286,2,2428,547,25.419,59.033,1.218,0.821,0.955,62.046029620610895
1331,1799.676,224.918,5946.994,312.864,58.824,58.824,0.447,69.501,2,9207,570,46.507,42.362,1.829,0.547,0.769,47.86876487764018
