 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
3349,0.418,1.828,1569.489,9.696,0.646,0.646,1.0,0.914,2,2428,15,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3350,3.761,6.242,6354.88,9.696,1.939,1.939,1.0,2.742,2,9831,15,135.0,1.939,1.0,1.0,1.0,2.18829932316147
3351,0.836,2.742,1566.257,11.635,1.293,0.646,1.0,1.445,2,2423,18,153.435,0.646,2.0,0.5,1.0,1.031711325613224
3352,0.836,3.657,1587.589,13.575,1.293,1.293,0.785,1.828,2,2456,23,45.0,0.914,2.646,0.378,0.667,1.031711325613224
3353,4.596,10.813,5309.632,35.553,4.525,2.586,0.494,5.212,2,8214,55,150.255,1.801,3.608,0.277,0.647,2.4190512494783585
3354,135.383,67.816,3820.944,37.492,20.039,12.282,0.37,20.695,2,5911,60,165.53,12.27,2.07,0.483,0.665,13.129165597435373
3355,0.418,1.828,5204.266,38.138,0.646,0.646,1.0,0.914,2,8051,59,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3356,0.418,1.828,5305.753,38.138,0.646,0.646,1.0,0.914,2,8208,59,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3357,0.418,1.828,5263.736,46.542,0.646,0.646,1.0,0.914,2,8143,72,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3358,1.671,6.242,6347.77,50.42,1.293,2.586,0.539,2.891,2,9820,82,63.435,1.156,3.493,0.286,0.667,1.4586237620621902
3359,9.611,17.434,6341.306,54.945,6.464,4.525,0.397,7.89,2,9810,92,34.992,2.363,4.688,0.213,0.605,3.498157409901625
3360,110.73,41.332,1305.107,78.862,10.989,14.221,0.815,16.315,2,2021,123,123.69,10.493,1.601,0.624,0.92,11.87374476685955
3361,2.089,4.949,6371.687,80.802,1.939,1.293,1.0,2.331,2,9857,125,146.31,1.293,1.553,0.644,0.909,1.6308885335766374
3362,0.418,1.828,3246.93,81.448,0.646,0.646,1.0,0.914,2,5023,126,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3363,38.442,23.298,2414.997,85.973,7.111,7.757,0.89,8.98,2,3739,145,59.744,6.399,1.436,0.696,0.902,6.996132830264812
3364,10.446,11.727,6332.902,87.912,3.878,3.878,0.954,4.336,2,9799,136,116.565,3.758,1.138,0.879,0.862,3.646952191118429
3365,5.014,8.606,6372.334,94.376,2.586,3.232,0.851,3.296,2,9859,146,101.31,2.586,1.186,0.843,0.8,2.5266624383368086
3366,0.418,1.828,6377.505,94.376,0.646,0.646,1.0,0.914,2,9866,146,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3367,9.611,14.156,6380.737,98.255,5.818,2.586,0.603,6.366,2,9871,152,156.038,2.535,2.885,0.347,0.836,3.498157409901625
3368,7.103,11.192,6365.869,98.901,2.586,4.525,0.713,4.706,2,9848,160,74.055,2.586,1.992,0.502,0.791,3.0072945459754785
3369,13.371,16.899,6383.969,106.658,3.878,6.464,0.588,7.227,2,9877,165,116.565,3.271,2.659,0.376,0.744,4.126073915073973
3370,29.667,21.469,2475.113,115.708,5.171,8.403,0.809,9.255,2,3830,192,65.225,4.906,2.095,0.477,0.899,6.145990365568276
3371,1.671,4.949,6356.82,115.708,1.293,1.939,0.857,2.044,2,9834,179,108.435,1.293,1.468,0.681,0.8,1.4586237620621902
3372,25.489,21.626,6367.809,115.708,7.111,7.111,0.685,7.89,2,9854,190,55.008,5.028,1.747,0.573,0.748,5.696806364600658
3373,2.507,7.156,6378.151,118.94,3.232,1.293,0.615,3.481,2,9867,184,158.199,1.293,3.254,0.307,0.75,1.7866201439172942
3374,6.268,8.985,1806.076,122.818,2.586,3.232,0.976,3.769,2,2795,190,120.964,2.586,1.439,0.695,0.857,2.825007162185611
3375,19.639,25.505,6356.173,122.818,9.696,5.171,0.379,10.7,2,9833,190,154.983,4.39,3.087,0.324,0.577,5.000515115371002
3376,2.507,5.864,6346.477,146.736,1.939,1.939,0.916,2.331,2,9819,227,123.69,1.939,1.124,0.89,0.8,1.7866201439172942
3377,0.836,2.742,6340.013,148.675,1.293,0.646,1.0,1.445,2,9808,230,153.435,0.646,2.0,0.5,1.0,1.031711325613224
3378,5.014,12.641,6342.599,152.553,3.878,4.525,0.394,5.96,2,9812,243,49.399,1.918,4.773,0.21,0.6,2.5266624383368086
3379,4.178,7.156,727.214,155.139,1.939,2.586,1.0,2.891,2,1125,240,116.565,1.939,1.236,0.809,0.909,2.3064246829028496
3380,42.621,29.919,4129.929,157.725,7.111,10.989,0.598,11.454,2,6394,244,106.39,6.465,2.052,0.487,0.756,7.366596407850601
3381,6.686,9.363,6415.643,161.603,1.939,3.878,0.958,4.088,2,9926,250,108.435,1.939,1.931,0.518,0.941,2.9176839438327278
3382,40.114,25.505,6385.262,171.946,9.696,6.464,0.775,10.221,2,9878,269,161.565,6.114,1.747,0.572,0.838,7.1466587366059615
3383,36.771,29.005,6407.886,183.581,6.464,10.989,0.549,11.653,2,9914,301,70.56,5.412,2.831,0.353,0.721,6.842389297566799
3384,6.686,8.606,5099.548,185.52,2.586,3.232,1.0,3.481,2,7890,287,111.801,2.586,1.209,0.827,0.889,2.9176839438327278
3385,129.533,42.182,1648.998,189.399,12.928,14.221,0.915,14.769,2,2557,315,66.801,12.215,1.169,0.855,0.928,12.842372753824732
3386,134075.21,2275.584,599.871,201.034,534.583,541.694,0.325,678.704,2,1036,317,130.868,330.139,2.496,0.401,0.738,413.170496696789
3387,3.761,6.778,455.074,215.902,1.939,2.586,1.0,2.891,2,705,334,116.565,1.939,1.34,0.746,0.857,2.18829932316147
3388,0.418,1.828,5068.52,242.405,0.646,0.646,1.0,0.914,2,7841,375,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3389,2.089,5.485,6373.626,242.405,1.939,1.939,0.873,2.742,2,9860,375,135.0,1.371,2.308,0.433,0.769,1.6308885335766374
3390,0.418,1.828,5063.348,244.344,0.646,0.646,1.0,0.914,2,7833,378,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3391,5.85,8.606,572.721,245.637,2.586,3.232,0.993,3.769,2,886,385,59.036,2.586,1.513,0.661,0.824,2.729185104880338
3392,61.842,32.191,2763.413,247.576,12.282,6.464,0.75,12.7,2,4275,389,14.744,6.464,2.019,0.495,0.925,8.873538185273782
3393,10.028,15.606,3010.343,263.09,3.232,6.464,0.517,6.962,2,4658,417,68.199,2.665,3.338,0.3,0.686,3.5732402878345884
3394,24.235,20.555,3002.586,273.432,4.525,8.403,0.721,8.502,2,4646,436,81.254,4.438,1.912,0.523,0.847,5.554904172589898
3395,5.85,8.071,1568.197,283.129,2.586,2.586,1.0,3.232,2,2427,438,126.87,2.586,1.02,0.981,0.933,2.729185104880338
3396,4.596,9.363,1904.977,285.068,3.878,1.939,0.659,4.336,2,2947,444,26.565,1.775,3.004,0.333,0.759,2.4190512494783585
3397,9.611,16.742,5081.448,308.339,6.464,3.232,0.431,6.749,2,7861,480,16.699,3.155,2.622,0.381,0.639,3.498157409901625
3398,1.671,4.949,5079.509,314.803,1.293,1.939,0.857,2.331,2,7858,487,123.69,1.293,2.031,0.492,0.8,1.4586237620621902
3399,0.418,1.828,5780.22,319.974,0.646,0.646,1.0,0.914,2,8942,495,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3400,0.418,1.828,5614.092,329.024,0.646,0.646,1.0,0.914,2,8685,509,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3401,20.475,19.798,5599.224,337.427,5.818,7.111,0.656,7.811,2,8665,533,65.556,4.396,1.887,0.53,0.742,5.105837803774466
3402,1.671,4.949,1611.506,340.659,1.293,1.939,0.857,2.044,2,2494,527,108.435,1.293,1.468,0.681,0.8,1.4586237620621902
3403,3.761,6.242,509.373,355.527,1.939,1.939,1.0,2.742,2,788,550,135.0,1.939,1.0,1.0,1.0,2.18829932316147
3404,273.691,68.417,2060.763,364.577,14.867,24.564,0.735,26.652,2,3194,602,67.166,14.867,1.788,0.559,0.944,18.66746378697737
3405,16.714,24.812,2863.607,382.03,5.818,7.757,0.341,8.673,2,4431,603,63.435,5.402,1.733,0.577,0.513,4.61312537773509
3406,121.176,53.152,2017.453,385.908,16.807,18.1,0.539,23.018,2,3124,597,128.157,7.77,3.332,0.3,0.849,12.421194591214972
3407,129.951,44.232,1904.977,395.604,11.635,16.16,0.835,16.366,2,2955,612,99.09,11.635,1.342,0.745,0.913,12.86307708434802
3408,5.85,10.278,1655.462,406.593,3.232,3.232,0.696,4.139,2,2561,634,38.66,2.891,1.592,0.628,0.718,2.729185104880338
3409,11.7,14.47,2122.818,406.593,5.171,4.525,0.702,6.464,2,3284,629,143.13,3.331,2.473,0.404,0.747,3.859650589548412
3410,4.596,12.485,6391.726,413.704,5.171,2.586,0.371,5.523,2,9888,644,20.556,2.019,4.216,0.237,0.524,2.4190512494783585
3411,13.789,13.556,6164.189,425.339,4.525,4.525,0.943,5.049,2,9537,659,129.806,4.303,1.211,0.826,0.825,4.19007160826079
3412,5.432,8.071,5852.618,458.953,2.586,2.586,1.0,3.232,2,9054,710,126.87,2.586,1.148,0.871,0.897,2.6298739907078064
3413,0.418,1.828,6415.643,486.102,0.646,0.646,1.0,0.914,2,9925,752,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3414,1.254,3.657,6420.168,487.395,1.293,1.293,1.0,1.828,2,9932,754,135.0,1.293,1.464,0.683,0.857,1.263583154801414
3415,2.507,5.864,6425.339,502.909,2.586,1.293,0.916,2.665,2,9940,778,165.964,1.293,1.809,0.553,0.857,1.7866201439172942
3416,19.221,15.227,6605.688,504.202,4.525,5.171,1.0,6.098,2,10220,780,122.005,4.525,1.281,0.781,0.92,4.947012966362082
3417,19.221,17.434,6058.824,509.373,6.464,4.525,0.795,7.227,2,9373,793,26.565,4.076,1.909,0.524,0.852,4.947012966362082
3418,4.596,7.156,791.855,523.594,1.939,2.586,1.0,3.232,2,1225,814,53.13,1.939,1.372,0.729,0.957,2.4190512494783585
3419,3.343,5.864,735.617,524.887,1.939,1.939,1.0,2.742,2,1138,815,45.0,1.939,1.229,0.814,0.941,2.0631141020432318
3420,766.753,136.038,2111.829,534.583,34.906,47.188,0.521,57.936,2,3269,827,125.463,23.916,2.527,0.396,0.851,31.2451634760377
3421,0.836,3.121,853.264,555.268,0.646,1.293,1.0,1.445,2,1320,859,116.565,0.646,2.0,0.5,1.0,1.031711325613224
3422,2.925,5.864,535.876,571.429,1.939,1.939,1.0,2.331,2,829,884,123.69,1.939,1.069,0.936,0.875,1.9298252947742056
3423,4.178,7.156,819.005,576.6,1.939,2.586,1.0,3.232,2,1267,896,53.13,1.939,1.559,0.641,0.909,2.3064246829028496
3424,0.418,1.828,6425.986,592.76,0.646,0.646,1.0,0.914,2,9941,917,135.0,0.646,1.0,1.0,1.0,0.729530074568073
3425,5.85,8.985,6605.042,597.285,2.586,3.232,0.911,3.657,2,10218,929,45.0,2.586,1.125,0.889,0.824,2.729185104880338
3426,10.864,11.727,125.404,599.224,3.878,3.878,0.993,4.661,2,196,927,123.69,3.657,1.28,0.781,0.881,3.719203464991235
