 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,1.254,3.657,1405.301,2.586,1.293,1.293,1.0,1.828,1,2174,4,135.0,1.293,1.464,0.683,0.857,1.263583154801414
2,10.446,11.57,1162.896,5.171,3.878,3.232,0.981,4.571,1,1799,13,45.0,3.232,1.185,0.844,0.926,3.646952191118429
3,62.677,28.783,3459.599,6.464,9.05,9.696,0.951,10.221,1,5357,10,108.435,8.227,1.22,0.819,0.92,8.933243248975469
4,0.418,1.828,1018.746,11.635,0.646,0.646,1.0,0.914,1,1576,18,135.0,0.646,1.0,1.0,1.0,0.729530074568073
5,0.418,1.828,569.489,12.928,0.646,0.646,1.0,0.914,1,881,20,135.0,0.646,1.0,1.0,1.0,0.729530074568073
6,25.489,18.348,1534.583,12.928,5.818,5.818,0.951,6.464,1,2374,27,36.87,5.818,1.069,0.936,0.897,5.696806364600658
7,8.775,10.278,1902.392,12.928,3.232,3.232,1.0,4.139,1,2944,25,51.34,3.232,1.062,0.942,0.913,3.34255546028051
8,15.46,14.692,2875.242,16.16,3.232,5.818,0.9,6.132,1,4450,34,71.565,3.232,1.764,0.567,0.925,4.436697348434488
9,88.166,35.247,2405.947,16.807,12.282,9.696,0.892,12.7,1,3722,32,165.256,9.696,1.325,0.755,0.923,10.59511385975254
10,0.418,1.828,710.407,17.453,0.646,0.646,1.0,0.914,1,1099,27,135.0,0.646,1.0,1.0,1.0,0.729530074568073
11,42.203,24.212,4149.968,18.1,8.403,7.111,0.905,9.003,1,6420,37,21.038,6.972,1.307,0.765,0.898,7.330383926265942
12,17.132,15.227,2816.419,18.746,4.525,5.171,0.928,5.485,1,4358,30,135.0,4.525,1.112,0.899,0.872,4.670453926590306
13,30.503,19.641,3272.14,20.039,6.464,5.818,0.994,7.227,1,5062,33,153.435,5.818,1.184,0.845,0.924,6.2319841008347145
14,50.56,25.883,2528.765,21.332,8.403,7.757,0.948,8.98,1,3912,42,30.256,7.757,1.128,0.886,0.927,8.023402730874839
15,49.306,25.505,3471.881,23.271,7.757,8.403,0.953,9.323,1,5372,48,56.31,7.313,1.25,0.8,0.929,7.923278929377151
16,6.686,9.363,4413.058,24.564,2.586,3.232,0.958,4.139,1,6827,43,51.34,2.586,1.662,0.602,0.889,2.9176839438327278
17,134.965,43.161,718.164,25.856,13.575,12.928,0.91,15.256,1,1112,58,36.384,12.527,1.188,0.841,0.942,13.108881537155687
18,17.132,14.848,3776.341,27.796,4.525,5.171,0.976,5.561,1,5844,43,125.538,4.525,1.173,0.852,0.891,4.670453926590306
19,1.671,3.657,1364.577,28.442,1.293,1.293,1.0,1.828,1,2111,44,135.0,1.293,1.0,1.0,1.0,1.4586237620621902
20,21.728,16.52,4625.727,28.442,4.525,5.818,1.0,6.132,1,7158,44,108.435,4.525,1.246,0.803,0.92,5.259747981415613
21,146.247,44.989,2634.777,29.089,14.867,12.928,0.908,15.965,1,4076,50,158.629,12.562,1.265,0.791,0.942,13.645785565473442
22,1159.113,147.543,2525.533,33.613,46.542,43.31,0.669,50.931,1,3907,63,156.038,34.224,1.706,0.586,0.878,38.416513485955605
23,89.42,36.004,639.302,35.553,9.05,12.928,0.867,13.497,1,993,75,73.301,9.05,1.422,0.703,0.928,10.67019587871836
24,49.724,25.126,369.748,41.37,8.403,7.757,0.99,9.255,1,572,67,155.225,7.757,1.142,0.875,0.93,7.956793520156925
25,0.418,1.828,521.008,44.602,0.646,0.646,1.0,0.914,1,806,69,135.0,0.646,1.0,1.0,1.0,0.729530074568073
26,3.343,6.242,3765.999,45.249,1.293,2.586,1.0,2.891,1,5826,70,116.565,1.293,2.0,0.5,1.0,2.0631141020432318
27,4.596,7.156,17.453,45.895,1.939,2.586,1.0,3.232,1,27,71,126.87,1.939,1.372,0.729,0.957,2.4190512494783585
28,17.968,17.055,939.884,45.895,4.525,6.464,0.776,6.655,1,1455,81,60.945,4.39,1.712,0.584,0.811,4.783050087527979
29,5.432,8.606,817.712,46.542,2.586,3.232,0.922,4.139,1,1265,77,51.34,2.285,2.125,0.471,0.839,2.6298739907078064
30,36.771,23.676,621.202,47.188,5.818,9.05,0.824,9.255,1,964,87,77.905,5.818,1.529,0.654,0.889,6.842389297566799
31,198.06,57.252,159.017,49.774,19.392,15.514,0.759,20.655,1,246,81,159.864,15.514,1.36,0.735,0.881,15.8801078154478
32,31.757,20.934,3379.444,49.774,5.818,7.111,0.911,8.278,1,5228,87,51.34,5.818,1.39,0.719,0.921,6.3587945573162346
33,5.432,8.449,717.518,51.067,1.939,3.232,0.956,3.481,1,1110,79,111.801,1.939,1.551,0.645,0.929,2.6298739907078064
34,125.355,42.56,99.548,53.652,12.282,14.867,0.87,15.541,1,159,83,106.928,11.474,1.38,0.725,0.917,12.633564149925244
35,2.925,5.864,2276.018,54.945,1.939,1.939,1.0,2.742,1,3521,85,135.0,1.939,1.38,0.725,0.875,1.9298252947742056
36,140.815,44.61,2787.33,54.945,12.282,15.514,0.889,16.353,1,4319,109,71.565,12.282,1.309,0.764,0.94,13.389967382032038
37,2.507,4.949,505.495,55.591,1.939,1.293,1.0,2.331,1,782,86,146.31,1.293,1.5,0.667,1.0,1.7866201439172942
