 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Skew,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3.343,6.778,2107.951,9.696,1.939,2.586,0.914,3.232,NaN,3261,19,53.130,1.828,1.939,0.516,0.842
2,4.178,8.071,2143.504,11.635,1.939,3.232,0.806,3.296,NaN,3317,18,101.310,1.939,1.577,0.634,0.800
3,113.237,50.095,132.515,12.928,18.746,12.282,0.567,20.287,NaN,205,38,22.479,8.341,2.749,0.364,0.847
4,0.836,3.121,770.524,20.039,0.646,1.293,1.000,1.445,NaN,1192,31,116.565,0.646,2.000,0.500,1.000
5,0.418,1.828,769.231,21.978,0.646,0.646,1.000,0.914,NaN,1190,34,135.000,0.646,1.000,1.000,1.000
6,9.611,11.192,1634.777,23.271,3.232,3.878,0.964,4.336,NaN,2531,36,116.565,3.232,1.333,0.750,0.902
7,10.028,12.485,1677.440,25.210,2.586,5.171,0.809,5.523,NaN,2596,47,69.444,2.586,2.137,0.468,0.873
8,1.671,4.949,1655.462,25.856,1.293,1.939,0.857,2.331,NaN,2561,40,123.690,1.293,2.000,0.500,0.800
9,2.089,4.949,3372.334,25.856,1.293,1.939,1.000,2.331,NaN,5217,43,56.310,1.293,1.553,0.644,0.909
10,10.446,14.156,763.413,26.503,2.586,5.818,0.655,6.366,NaN,1181,50,66.038,2.586,2.712,0.369,0.862
11,41.367,24.434,3646.412,26.503,9.050,5.818,0.871,10.118,NaN,5641,42,153.435,5.818,1.658,0.603,0.947
12,0.418,1.828,1618.617,31.674,0.646,0.646,1.000,0.914,NaN,2504,49,135.000,0.646,1.000,1.000,1.000
13,14.625,14.692,2034.260,36.846,5.171,3.878,0.851,6.098,NaN,3147,62,32.005,3.841,1.756,0.569,0.864
14,3.343,7.692,3380.090,40.078,2.586,2.586,0.710,3.657,NaN,5229,66,45.000,1.828,2.429,0.412,0.762
15,0.418,1.828,3669.037,47.835,0.646,0.646,1.000,0.914,NaN,5676,74,135.000,0.646,1.000,1.000,1.000
16,2.089,4.949,3971.558,49.774,1.293,1.939,1.000,2.331,NaN,6144,80,56.310,1.293,1.553,0.644,0.909
17,0.836,3.121,3680.026,53.006,0.646,1.293,1.000,1.445,NaN,5693,82,116.565,0.646,2.000,0.500,1.000
18,143.740,59.681,3855.850,53.652,15.514,20.685,0.507,23.423,NaN,5968,115,62.021,11.173,2.514,0.398,0.760
19,1.254,3.657,1627.666,58.824,1.293,1.293,1.000,1.828,NaN,2518,91,135.000,1.293,1.464,0.683,0.857
20,1.254,3.657,3325.792,58.824,1.293,1.293,1.000,1.828,NaN,5145,93,45.000,1.293,1.464,0.683,0.857
21,2.925,5.485,3237.233,60.763,1.939,1.939,1.000,2.742,NaN,5008,97,45.000,1.828,1.596,0.626,0.875
22,4.178,7.156,1654.169,63.995,1.939,2.586,1.000,2.891,NaN,2559,99,116.565,1.939,1.236,0.809,0.909
23,2.507,4.949,3974.790,69.166,1.939,1.293,1.000,2.331,NaN,6149,107,146.310,1.293,1.500,0.667,1.000
24,2.507,4.949,1661.280,70.459,1.293,1.939,1.000,2.331,NaN,2570,109,123.690,1.293,1.500,0.667,1.000
25,295.837,65.766,3284.421,73.045,21.332,18.746,0.860,22.615,NaN,5083,120,149.036,18.746,1.122,0.891,0.936
26,63.095,32.504,349.063,76.923,9.696,10.343,0.750,12.831,NaN,540,119,139.086,7.757,1.751,0.571,0.870
27,0.836,2.742,2237.880,78.862,1.293,0.646,1.000,1.445,NaN,3462,122,153.435,0.646,2.000,0.500,1.000
28,1.671,4.949,1713.639,81.448,1.293,1.939,0.857,2.044,NaN,2652,126,108.435,1.293,1.468,0.681,0.800
29,5.432,8.071,1663.866,84.034,2.586,2.586,1.000,3.232,NaN,2574,130,126.870,2.586,1.148,0.871,0.897
30,3.343,6.778,3983.193,104.072,1.939,2.586,0.914,2.665,NaN,6163,161,104.036,1.939,1.195,0.837,0.800
31,3.761,6.778,1708.468,106.012,1.939,2.586,1.000,2.891,NaN,2644,164,116.565,1.939,1.536,0.651,0.857
32,0.418,1.828,4330.963,108.597,0.646,0.646,1.000,0.914,NaN,6700,168,135.000,0.646,1.000,1.000,1.000
33,0.418,1.828,3048.481,109.890,0.646,0.646,1.000,0.914,NaN,4716,170,135.000,0.646,1.000,1.000,1.000
34,0.836,2.742,3332.256,109.890,1.293,0.646,1.000,1.445,NaN,5155,170,153.435,0.646,2.000,0.500,1.000
35,5.432,7.692,1661.926,111.183,2.586,2.586,1.000,3.232,NaN,2571,172,126.870,2.586,1.159,0.863,0.897
36,0.836,3.121,723.982,116.354,0.646,1.293,1.000,1.445,NaN,1120,180,116.565,0.646,2.000,0.500,1.000
37,16.296,19.041,2523.594,116.354,7.111,5.818,0.565,8.792,NaN,3904,180,143.973,3.227,3.429,0.292,0.743
38,5.432,7.692,1725.275,117.647,2.586,2.586,1.000,3.232,NaN,2669,186,36.870,2.586,1.159,0.863,0.897
39,3.761,7.156,3361.345,117.647,1.939,2.586,0.923,2.891,NaN,5200,182,116.565,1.939,1.343,0.745,0.857
40,4.596,7.692,1712.346,118.293,2.586,2.586,0.976,2.891,NaN,2651,183,116.565,2.586,1.035,0.966,0.846
41,3.761,6.778,1805.430,119.586,1.939,2.586,1.000,3.232,NaN,2793,189,53.130,1.939,1.817,0.550,0.857
42,4.178,7.313,4311.571,122.172,2.586,2.586,0.982,2.891,NaN,6671,189,116.565,2.285,1.241,0.806,0.800
43,1.254,3.657,1524.887,122.818,1.293,1.293,1.000,1.828,NaN,2359,192,45.000,1.293,1.464,0.683,0.857
44,1.671,4.949,1756.303,130.575,1.293,1.939,0.857,2.331,NaN,2717,205,56.310,1.293,2.000,0.500,0.800
45,0.418,1.828,3089.851,131.868,0.646,0.646,1.000,0.914,NaN,4780,204,135.000,0.646,1.000,1.000,1.000
46,4.178,8.071,1723.335,132.515,1.939,3.232,0.806,3.481,NaN,2666,210,68.199,1.939,1.690,0.592,0.833
47,0.418,1.828,3932.773,135.747,0.646,0.646,1.000,0.914,NaN,6084,210,135.000,0.646,1.000,1.000,1.000
48,7.939,11.192,1744.667,136.393,2.586,4.525,0.796,4.706,NaN,2700,218,74.055,2.586,1.944,0.514,0.826
49,3.761,6.242,4010.343,138.332,1.939,1.939,1.000,2.742,NaN,6204,214,135.000,1.939,1.000,1.000,1.000
50,0.836,3.121,1797.027,150.614,0.646,1.293,1.000,1.445,NaN,2780,233,116.565,0.646,2.000,0.500,1.000
51,2.925,5.864,4216.548,151.907,1.939,1.939,1.000,2.331,NaN,6523,235,123.690,1.939,1.069,0.936,0.875
52,0.418,1.828,1794.441,153.846,0.646,0.646,1.000,0.914,NaN,2776,238,135.000,0.646,1.000,1.000,1.000
53,4.178,7.156,4197.156,157.078,2.586,1.939,1.000,2.891,NaN,6493,244,153.435,1.939,1.236,0.809,0.909
54,7.939,10.278,4250.162,157.078,2.586,3.878,0.944,4.336,NaN,6575,243,116.565,2.586,1.628,0.614,0.905
55,4.178,7.313,4175.178,159.017,2.586,2.586,0.982,2.891,NaN,6459,249,26.565,2.285,1.241,0.806,0.800
56,2.089,4.949,1771.816,160.957,1.293,1.939,1.000,2.331,NaN,2741,249,123.690,1.293,1.553,0.644,0.909
57,0.836,2.742,3081.448,160.957,1.293,0.646,1.000,1.445,NaN,4767,249,153.435,0.646,2.000,0.500,1.000
58,2.507,6.778,1682.612,161.603,1.939,2.586,0.686,2.665,NaN,2604,250,104.036,1.735,1.675,0.597,0.667
59,1.254,3.657,3144.796,162.896,1.293,1.293,1.000,1.828,NaN,4865,254,45.000,1.293,1.464,0.683,0.857
60,30.085,22.762,3158.371,165.482,7.757,6.464,0.730,8.428,NaN,4886,266,32.471,6.114,1.394,0.717,0.818
61,38.860,25.191,355.527,166.128,5.171,9.696,0.770,10.221,NaN,552,272,71.565,5.171,2.023,0.494,0.894
62,7.521,9.899,4059.470,168.714,2.586,3.878,0.965,4.336,NaN,6281,267,63.435,2.586,1.564,0.639,0.878
63,7.939,9.899,1762.120,171.946,3.232,3.232,1.000,4.139,NaN,2726,270,38.660,3.180,1.336,0.749,0.884
64,4.596,7.313,4105.365,175.824,2.586,2.586,1.000,2.891,NaN,6352,272,116.565,2.586,1.139,0.878,0.815
65,2.507,6.242,1757.595,176.471,1.293,2.586,0.809,2.891,NaN,2719,277,63.435,1.293,2.237,0.447,0.857
66,0.418,1.828,1822.883,177.117,0.646,0.646,1.000,0.914,NaN,2820,274,135.000,0.646,1.000,1.000,1.000
67,5.432,7.692,2379.444,180.349,2.586,2.586,1.000,3.232,NaN,3681,283,36.870,2.586,1.159,0.863,0.897
68,2.507,5.485,4131.222,180.349,1.939,1.939,1.000,2.331,NaN,6392,279,123.690,1.828,1.291,0.775,0.800
69,2.089,4.949,4130.575,188.106,1.293,1.939,1.000,2.331,NaN,6390,291,123.690,1.293,1.553,0.644,0.909
70,5.014,7.692,1817.712,188.752,2.586,2.586,1.000,3.232,NaN,2812,295,36.870,2.586,1.281,0.781,0.857
71,7.103,9.899,1729.800,189.399,2.586,3.878,0.911,4.088,NaN,2677,299,71.565,2.586,1.526,0.655,0.850
72,0.836,3.121,4049.774,190.045,0.646,1.293,1.000,1.445,NaN,6265,294,116.565,0.646,2.000,0.500,1.000
73,1.254,3.657,2427.279,194.570,1.293,1.293,1.000,1.828,NaN,3755,303,45.000,1.293,1.464,0.683,0.857
