 ,Area,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,1.253,3.942,569.633,2.612,1.143,1.306,1.000,1.147,0.872,0.931
2,0.213,1.481,1257.306,2.939,0.490,0.490,1.000,1.229,0.814,0.941
3,1021.468,143.238,899.755,8.980,46.857,34.122,0.626,1.486,0.673,0.897
4,14.554,16.921,1134.041,40.490,4.735,4.898,0.639,1.561,0.641,0.844
5,1039.114,167.429,886.694,48.327,28.408,57.796,0.466,2.459,0.407,0.860
6,1.013,3.750,176.327,57.306,1.306,1.143,0.905,1.122,0.891,0.854
7,1.146,3.981,743.510,58.449,1.306,1.306,0.909,1.107,0.903,0.860
8,0.853,3.424,459.592,58.939,1.143,1.143,0.914,1.119,0.893,0.821
9,1.093,4.212,1029.224,60.082,1.469,1.306,0.774,1.206,0.829,0.774
10,1.093,3.846,1598.857,61.224,1.306,1.143,0.928,1.144,0.874,0.863
11,1.066,3.711,2167.673,61.224,1.143,1.143,0.973,1.041,0.961,0.899
12,1.013,3.655,1314.939,61.714,1.306,1.143,0.953,1.166,0.857,0.854
13,1.120,3.942,1881.959,62.857,1.306,1.143,0.906,1.102,0.908,0.875
14,362.116,91.272,2154.939,81.306,17.796,28.245,0.546,1.640,0.610,0.885
15,0.320,2.038,340.245,94.531,0.816,0.490,0.967,1.579,0.633,0.889
16,0.373,2.405,893.388,106.286,0.816,0.816,0.811,1.922,0.520,0.800
17,105.369,52.236,725.878,106.776,16.816,11.102,0.485,2.026,0.494,0.848
18,0.267,2.038,205.224,118.367,0.490,0.816,0.806,1.690,0.592,0.833
19,1.653,4.961,188.408,196.571,1.306,1.796,0.844,1.261,0.793,0.855
20,1.626,4.730,755.592,197.878,1.469,1.469,0.913,1.145,0.873,0.884
21,1.733,4.865,471.673,198.367,1.469,1.633,0.920,1.099,0.910,0.884
22,1.786,4.770,1041.469,199.510,1.469,1.633,0.987,1.116,0.896,0.899
23,1.839,4.921,1610.939,200.653,1.469,1.469,0.954,1.043,0.959,0.932
24,1.679,4.865,2179.755,200.653,1.469,1.633,0.892,1.217,0.822,0.875
25,1.733,4.770,1327.020,200.980,1.469,1.633,0.957,1.095,0.913,0.878
26,1.679,4.730,1894.041,202.286,1.469,1.469,0.943,1.076,0.929,0.900
27,214.417,73.211,1452.571,209.633,19.102,20.571,0.503,1.532,0.653,0.815
28,0.080,0.924,555.429,214.857,0.327,0.327,1.000,1.464,0.683,0.857
29,888.963,128.907,529.469,228.735,37.061,36.735,0.672,1.064,0.940,0.919
30,1132.248,161.389,1843.429,230.041,26.939,64.816,0.546,2.747,0.364,0.917
31,0.960,3.806,1424.490,240.163,0.816,1.469,0.832,1.751,0.571,0.923
32,0.133,1.250,598.041,250.286,0.327,0.490,1.000,1.553,0.644,0.909
33,34.172,26.008,2199.184,250.939,5.714,8.163,0.635,1.413,0.708,0.901
34,0.027,0.462,406.857,251.265,0.163,0.163,1.000,1.000,1.000,1.000
35,100.438,44.218,121.306,255.837,13.061,12.571,0.646,1.625,0.615,0.873
36,3999.560,348.381,1548.735,284.571,56.653,114.122,0.414,2.285,0.438,0.833
37,880.806,143.219,643.918,285.551,38.531,39.347,0.540,1.249,0.800,0.849
38,0.027,0.462,1347.265,289.796,0.163,0.163,1.000,1.000,1.000,1.000
39,0.027,0.462,684.082,296.163,0.163,0.163,1.000,1.000,1.000,1.000
40,0.080,1.154,253.878,301.388,0.490,0.327,0.754,2.702,0.370,0.667
41,0.080,1.115,821.388,302.531,0.163,0.490,0.809,3.000,0.333,1.000
42,202.929,79.286,948.898,304.327,19.592,20.571,0.406,1.227,0.815,0.778
43,0.107,1.346,1106.939,304.327,0.653,0.163,0.740,4.000,0.250,1.000
44,0.027,0.462,1676.735,305.306,0.163,0.163,1.000,1.000,1.000,1.000
45,0.080,0.924,688.327,305.633,0.327,0.327,1.000,1.464,0.683,0.857
46,0.027,0.462,1676.408,305.633,0.163,0.163,1.000,1.000,1.000,1.000
47,0.080,1.019,1392.490,306.122,0.490,0.163,0.967,3.000,0.333,1.000
48,0.027,0.462,1959.837,306.939,0.163,0.163,1.000,1.000,1.000,1.000
49,0.027,0.462,1959.673,307.265,0.163,0.163,1.000,1.000,1.000,1.000
50,0.027,0.462,1696.980,313.469,0.163,0.163,1.000,1.000,1.000,1.000
51,508.615,118.497,1434.286,317.878,29.388,29.224,0.455,1.550,0.645,0.818
52,0.320,2.038,668.898,325.878,0.653,0.653,0.967,1.481,0.675,0.857
53,0.347,1.943,673.796,328.000,0.653,0.653,1.000,1.159,0.863,0.897
54,0.027,0.462,1332.898,329.796,0.163,0.163,1.000,1.000,1.000,1.000
55,1.226,4.037,2168.816,343.837,1.143,1.306,0.945,1.057,0.946,0.911
56,1.093,3.846,1883.102,345.469,1.143,1.306,0.928,1.206,0.829,0.882
57,1.706,5.000,1600.327,346.939,1.633,1.633,0.857,1.049,0.953,0.853
58,1.093,3.750,1316.571,347.592,1.143,1.306,0.976,1.026,0.975,0.882
59,0.906,3.424,1032.980,349.224,1.143,1.143,0.972,1.113,0.898,0.872
60,1.146,4.037,749.061,349.714,1.306,1.143,0.884,1.096,0.912,0.878
61,1.093,3.846,464.327,351.347,1.306,1.143,0.928,1.252,0.799,0.863
62,1.040,3.655,181.061,352.980,1.306,1.143,0.978,1.149,0.870,0.857
