 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,579.572,136.79,1130.612,2.122,42.286,29.061,0.389,44.608,1,6925,91,161.432,25.216,1.851,0.54,0.72,27.164940445751906
2,0.027,0.462,1137.306,5.388,0.163,0.163,1.0,0.231,1,6966,33,135.0,0.163,1.0,1.0,1.0,0.185411616971131
3,110.914,61.132,298.776,18.286,15.673,16.49,0.373,19.266,1,1853,213,53.616,9.796,2.279,0.439,0.733,11.883605970611606
4,0.16,1.385,1713.143,20.082,0.49,0.49,1.0,0.589,1,10493,126,33.69,0.462,1.291,0.775,0.8,0.45135166683820505
5,0.533,3.249,1745.143,22.041,1.306,0.653,0.635,1.395,1,10689,135,159.444,0.617,2.491,0.401,0.784,0.8237940745986474
6,0.64,3.289,1753.633,24.653,1.143,0.98,0.743,1.275,1,10741,152,140.194,0.98,1.233,0.811,0.75,0.9027033336764101
7,0.72,3.058,1703.347,24.98,1.143,0.816,0.967,1.316,1,10433,153,150.255,0.816,1.556,0.643,0.885,0.9574614729634384
8,42658.412,1099.598,1625.143,25.306,228.735,293.714,0.443,296.264,1,10487,155,97.759,220.937,1.338,0.747,0.895,233.0544508779118
9,305.233,77.624,1128.653,25.959,28.082,17.633,0.637,28.433,1,6914,222,10.923,16.212,1.742,0.574,0.883,19.71382068393004
10,0.027,0.462,1701.388,26.449,0.163,0.163,1.0,0.231,1,10421,162,135.0,0.163,1.0,1.0,1.0,0.185411616971131
11,0.133,1.712,1698.776,26.939,0.653,0.49,0.572,0.73,1,10405,165,153.435,0.465,1.665,0.601,0.588,0.41151046092387084
12,3.652,8.592,1743.673,28.245,2.939,2.122,0.622,3.01,1,10680,178,167.471,2.122,1.548,0.646,0.799,2.156355911572302
13,2.106,5.789,1730.449,28.408,2.122,1.633,0.79,2.221,1,10599,181,17.103,1.533,1.544,0.648,0.836,1.6375110629282028
14,0.027,0.462,1722.776,30.041,0.163,0.163,1.0,0.231,1,10552,184,135.0,0.163,1.0,1.0,1.0,0.185411616971131
15,0.56,2.691,1735.347,30.041,0.816,0.816,0.971,1.045,1,10629,185,141.34,0.816,1.032,0.969,0.913,0.8444016491289505
16,0.426,2.54,1693.061,31.02,0.98,0.816,0.831,1.045,1,10371,195,38.66,0.723,1.48,0.676,0.727,0.7364781368494107
17,0.586,2.922,1725.388,31.02,1.143,0.653,0.863,1.189,1,10568,191,164.055,0.653,1.682,0.595,0.898,0.8637814383365767
18,4.611,8.807,1778.122,42.449,2.449,3.102,0.747,3.444,1,10893,278,58.57,2.057,1.72,0.582,0.869,2.4229955717610867
19,0.48,2.635,1686.204,44.082,0.816,0.98,0.868,1.033,1,10330,276,71.565,0.816,1.109,0.902,0.783,0.7817640190446719
20,1.919,6.076,2.449,47.837,1.959,1.796,0.653,2.449,1,15,293,143.13,1.404,1.978,0.506,0.778,1.5631208162988481
21,0.693,3.018,1683.592,51.265,0.816,0.98,0.956,1.177,1,10313,314,123.69,0.816,1.088,0.919,0.929,0.9393375349156807
22,0.053,0.924,1783.51,52.082,0.327,0.327,0.785,0.462,1,10924,321,45.0,0.231,2.646,0.378,0.667,0.25977239243415307
23,2.266,5.383,1777.796,55.51,1.469,1.796,0.983,1.993,1,10890,341,124.992,1.469,1.217,0.822,0.939,1.6985761120332168
