 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.08,1.019,676.571,368.653,0.49,0.163,0.967,0.516,1,4144,2258,161.565,0.163,3.0,0.333,1.0,0.31915382432114614
2,4.292,8.401,686.041,440.98,2.449,2.612,0.764,3.08,1,4204,2701,122.005,2.324,1.317,0.76,0.861,2.3376792179431547
3,100.278,58.919,711.347,443.265,14.694,14.694,0.363,19.975,1,4357,2720,135.993,8.748,2.254,0.444,0.791,11.299465255796518
4,2586.256,258.615,715.755,527.673,83.102,59.592,0.486,84.885,1,4384,3463,11.764,47.896,1.582,0.632,0.869,57.383999616692655
5,0.293,2.365,765.714,528.0,0.98,0.49,0.659,1.095,1,4690,3237,26.565,0.48,2.498,0.4,0.759,0.6107857125108631
6,0.4,2.269,789.714,556.245,0.816,0.653,0.976,0.952,1,4837,3408,149.036,0.653,1.287,0.777,0.857,0.7136496464611084
7,0.08,1.019,1438.531,847.02,0.49,0.163,0.967,0.516,1,8811,5188,161.565,0.163,3.0,0.333,1.0,0.31915382432114614
8,69.145,49.02,384.327,908.082,16.163,11.102,0.362,16.523,1,2354,5595,11.976,9.49,1.882,0.531,0.661,9.38286461165847
9,0.027,0.462,383.02,911.347,0.163,0.163,1.0,0.231,1,2346,5582,135.0,0.163,1.0,1.0,1.0,0.185411616971131
10,0.053,0.788,383.51,911.51,0.163,0.327,1.0,0.365,1,2349,5583,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
11,0.027,0.462,384.163,912.163,0.163,0.163,1.0,0.231,1,2353,5587,135.0,0.163,1.0,1.0,1.0,0.185411616971131
12,1330.592,176.219,1935.673,981.551,47.347,46.204,0.538,55.396,1,11879,6039,140.021,37.312,1.612,0.62,0.846,41.160203501783734
13,1120.626,162.039,1293.551,1531.755,51.102,40.49,0.536,52.925,1,7932,9624,47.5,37.764,1.519,0.658,0.849,37.77334163214034
14,72.077,52.635,1721.306,1943.184,15.673,10.612,0.327,16.005,1,10545,11955,18.435,10.414,2.057,0.486,0.61,9.579733120806463
15,0.027,0.462,2017.143,1972.082,0.163,0.163,1.0,0.231,1,12355,12079,135.0,0.163,1.0,1.0,1.0,0.185411616971131
16,0.027,0.462,586.449,2001.306,0.163,0.163,1.0,0.231,1,3592,12258,135.0,0.163,1.0,1.0,1.0,0.185411616971131
17,0.027,0.462,567.51,553.633,0.163,0.163,1.0,0.231,2,3476,3391,135.0,0.163,1.0,1.0,1.0,0.185411616971131
18,22.684,21.914,1669.551,623.51,5.551,6.857,0.594,7.281,2,10238,3819,109.654,5.068,1.457,0.686,0.837,5.374213043113609
19,32.36,24.375,1710.367,638.204,7.02,7.347,0.684,8.604,2,10477,3909,123.389,6.272,1.314,0.761,0.906,6.418880873456827
20,16.473,18.299,1762.122,720.327,4.408,6.204,0.618,6.258,2,10805,4450,82.504,4.252,1.425,0.702,0.837,4.579746174235241
21,39.69,38.733,1879.673,777.633,14.041,5.388,0.332,14.577,2,11513,4771,164.407,5.056,3.667,0.273,0.665,7.108788752701729
22,0.773,4.73,29.878,1579.429,1.469,1.469,0.434,1.966,2,184,9683,48.366,0.882,2.515,0.398,0.637,0.9920756866692585
23,0.426,2.731,45.061,1581.061,0.98,0.816,0.719,1.045,2,276,9685,141.34,0.803,1.455,0.687,0.727,0.7364781368494107
24,0.027,0.462,22.367,1591.347,0.163,0.163,1.0,0.231,2,137,9747,135.0,0.163,1.0,1.0,1.0,0.185411616971131
25,0.027,0.462,67.755,1603.755,0.163,0.163,1.0,0.231,2,415,9823,135.0,0.163,1.0,1.0,1.0,0.185411616971131
26,0.027,0.462,68.082,1603.918,0.163,0.163,1.0,0.231,2,417,9824,135.0,0.163,1.0,1.0,1.0,0.185411616971131
27,0.453,2.866,73.469,1612.408,1.143,0.816,0.693,1.189,2,450,9878,164.055,0.657,1.859,0.538,0.708,0.7594586978664665
28,0.053,0.924,71.347,1612.735,0.327,0.327,0.785,0.462,2,437,9880,45.0,0.231,2.646,0.378,0.667,0.25977239243415307
29,2.479,9.364,78.857,1623.347,3.265,2.612,0.355,3.853,2,484,9943,143.616,1.479,3.707,0.27,0.583,1.7766149924501
30,0.613,3.424,82.939,1672.816,1.143,1.143,0.657,1.404,2,508,10252,35.538,0.882,1.877,0.533,0.687,0.8834567566794963
31,0.08,1.115,80.653,1678.367,0.163,0.49,0.809,0.516,2,494,10280,108.435,0.163,3.0,0.333,1.0,0.31915382432114614
32,0.053,0.788,80.49,1679.02,0.163,0.327,1.0,0.365,2,493,10284,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
33,0.027,0.462,80.0,1679.347,0.163,0.163,1.0,0.231,2,490,10286,135.0,0.163,1.0,1.0,1.0,0.185411616971131
34,0.053,0.788,70.857,1683.755,0.163,0.327,1.0,0.365,2,434,10313,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
35,1.386,5.231,20.898,1695.347,1.959,1.469,0.636,2.065,2,128,10391,18.435,1.148,2.131,0.469,0.759,1.3284238815238665
36,0.027,0.462,19.265,1697.306,0.163,0.163,1.0,0.231,2,118,10396,135.0,0.163,1.0,1.0,1.0,0.185411616971131
37,1.466,4.865,19.429,1697.633,1.469,1.633,0.778,1.993,2,119,10398,124.992,1.222,1.715,0.583,0.827,1.3662244224803437
38,0.027,0.462,15.673,1699.102,0.163,0.163,1.0,0.231,2,96,10407,135.0,0.163,1.0,1.0,1.0,0.185411616971131
39,0.027,0.462,16.163,1699.592,0.163,0.163,1.0,0.231,2,99,10410,135.0,0.163,1.0,1.0,1.0,0.185411616971131
40,102.011,40.692,1773.224,1913.469,11.918,11.755,0.774,13.4,2,10872,11783,46.975,10.636,1.162,0.861,0.936,11.396685447882586
41,0.027,0.462,1173.388,2017.633,0.163,0.163,1.0,0.231,2,7187,12358,135.0,0.163,1.0,1.0,1.0,0.185411616971131
42,4504.123,320.022,1475.429,2079.347,60.245,117.224,0.553,117.556,2,9197,13454,84.741,59.812,2.059,0.486,0.887,75.72864397274769
43,32.52,22.917,151.51,2211.265,6.857,7.184,0.778,7.644,2,941,13588,70.017,6.057,1.298,0.77,0.908,6.434729986160064
44,140.395,51.751,168.0,2227.918,18.449,11.592,0.659,18.736,2,1029,13671,169.963,11.398,1.67,0.599,0.919,13.36998376525167
45,7.57,11.459,199.51,2240.98,4.245,2.776,0.725,4.356,2,1222,13732,167.005,2.581,1.656,0.604,0.881,3.1045810270703487
