 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.187,1.481,174.531,2.776,0.49,0.49,1.0,0.589,1,1069,17,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
2,0.693,3.058,240.0,2.776,1.143,0.816,0.932,1.243,1,1470,20,23.199,0.816,1.414,0.707,0.881,0.9393375349156807
3,5.091,9.325,646.531,4.735,2.612,3.102,0.736,3.584,1,3963,29,120.069,2.409,1.42,0.704,0.853,2.5459894976701523
4,0.053,0.788,206.041,5.224,0.163,0.327,1.0,0.365,1,1262,32,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
5,0.027,0.462,1362.939,5.551,0.163,0.163,1.0,0.231,1,8348,34,135.0,0.163,1.0,1.0,1.0,0.185411616971131
6,3.785,14.437,1361.959,5.551,4.408,3.918,0.228,4.701,1,8342,50,20.323,2.717,2.013,0.497,0.401,2.19527029698454
7,5.038,9.364,200.816,6.694,2.939,2.939,0.722,3.932,1,1230,58,41.634,1.963,2.026,0.494,0.885,2.532702277484614
8,9.223,12.613,1559.837,6.694,3.918,3.918,0.729,4.213,1,9558,62,54.462,3.525,1.084,0.923,0.842,3.426818979913063
9,1.2,4.459,92.571,7.02,0.816,1.796,0.758,1.973,1,567,54,65.556,0.816,2.323,0.431,0.938,1.2360774464742066
10,1.12,3.846,1048.163,7.184,1.306,1.143,0.951,1.46,1,6420,46,153.435,1.143,1.187,0.842,0.884,1.1941642642883694
11,0.293,2.691,1752.0,8.49,0.49,1.143,0.509,1.243,1,10731,59,66.801,0.436,3.602,0.278,0.733,0.6107857125108631
12,1.866,5.248,626.939,9.633,1.143,1.959,0.851,2.19,1,3840,59,116.565,1.143,1.852,0.54,0.933,1.5413841151626722
13,1.653,5.924,411.102,12.408,2.286,1.633,0.592,2.556,1,2518,78,153.435,0.996,3.062,0.327,0.785,1.450746348417677
14,2.612,7.939,1835.918,12.735,2.612,2.122,0.521,2.693,1,11245,82,165.964,1.971,1.413,0.708,0.69,1.8236506493427531
15,0.88,3.384,233.469,14.367,0.816,1.306,0.965,1.346,1,1432,88,104.036,0.816,1.491,0.67,0.917,1.0585134856802454
16,296.65,117.676,810.286,14.367,32.163,31.51,0.269,42.805,1,4963,261,41.289,15.666,3.767,0.265,0.642,19.434672905549142
17,5.971,10.591,924.735,16.0,3.429,2.612,0.669,3.723,1,5667,113,37.875,2.612,1.356,0.737,0.821,2.7572655515226776
18,4.372,8.249,1326.531,18.122,2.939,2.286,0.807,3.444,1,8125,123,31.43,1.898,1.827,0.547,0.914,2.3593650183009265
19,46.221,33.333,1711.673,18.286,9.633,8.98,0.523,11.008,1,10485,124,144.66,7.065,1.865,0.536,0.772,7.6714017622077355
20,0.347,1.943,176.327,19.265,0.653,0.653,1.0,0.816,1,1080,121,36.87,0.653,1.159,0.863,0.897,0.6646909973988676
21,4.798,8.919,1214.857,19.592,2.286,2.939,0.758,3.14,1,7441,121,117.897,2.286,1.389,0.72,0.859,2.4716398070186747
22,8.85,25.523,2085.388,19.918,6.531,5.061,0.171,6.818,1,12773,137,163.301,4.642,1.438,0.695,0.404,3.3568094927931478
23,0.267,1.808,192.327,20.082,0.653,0.49,1.0,0.73,1,1178,124,153.435,0.49,1.236,0.809,0.909,0.5830565653899187
24,6.371,11.379,1702.857,22.041,3.265,3.429,0.618,4.213,1,10434,156,54.462,2.923,1.592,0.628,0.801,2.848123792869215
25,0.187,1.903,1160.816,22.367,0.327,0.816,0.647,0.879,1,7110,137,111.801,0.327,2.731,0.366,0.824,0.48795060699365406
26,2.772,6.132,196.571,25.306,1.796,1.796,0.927,2.427,1,1204,155,137.726,1.796,1.241,0.805,0.954,1.8786750698313615
27,0.107,1.25,62.367,26.122,0.327,0.49,0.857,0.516,1,383,160,108.435,0.327,1.468,0.681,0.8,0.36910246719124273
28,1.253,3.942,150.204,26.612,1.143,1.306,1.0,1.54,1,922,171,57.995,1.143,1.193,0.838,0.94,1.2630792332839451
29,0.293,1.943,153.633,28.735,0.816,0.49,0.976,0.832,1,941,177,168.69,0.49,1.469,0.681,0.846,0.6107857125108631
30,70.984,35.253,2223.184,29.224,8.816,11.755,0.718,12.158,1,13635,179,104.783,8.372,1.589,0.629,0.905,9.50682049075719
31,0.027,0.462,10.612,29.388,0.163,0.163,1.0,0.231,1,65,180,135.0,0.163,1.0,1.0,1.0,0.185411616971131
