 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,1.04,4.364,2113.306,211.918,1.796,0.816,0.686,1.862,1,12944,1300,164.745,0.796,2.536,0.394,0.848,1.1507254783503185
2,0.533,2.596,44.082,230.204,0.98,0.653,0.994,1.095,1,270,1413,26.565,0.653,1.494,0.669,0.93,0.8237940745986474
3,0.027,0.462,575.51,301.224,0.163,0.163,1.0,0.231,1,3525,1845,135.0,0.163,1.0,1.0,1.0,0.185411616971131
4,0.027,0.462,2000.0,316.245,0.163,0.163,1.0,0.231,1,12250,1937,135.0,0.163,1.0,1.0,1.0,0.185411616971131
5,1.12,5.383,2217.633,375.02,1.959,1.306,0.486,2.065,1,13583,2301,161.565,1.197,1.712,0.584,0.641,1.1941642642883694
6,0.08,0.924,35.592,430.857,0.327,0.327,1.0,0.462,1,218,2639,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
7,0.133,1.25,36.245,431.347,0.327,0.49,1.0,0.589,1,222,2642,123.69,0.327,1.553,0.644,0.909,0.41151046092387084
8,0.506,2.827,2206.857,438.694,1.143,0.653,0.796,1.316,1,13517,2687,150.255,0.653,2.365,0.423,0.864,0.8026575917762147
9,0.107,0.924,2203.429,440.163,0.327,0.327,1.0,0.462,1,13496,2696,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
10,0.693,5.462,2208.98,440.98,1.469,2.122,0.292,2.581,1,13530,2701,124.695,0.519,6.878,0.145,0.634,0.9393375349156807
11,1.386,7.589,2201.143,441.796,0.653,3.429,0.302,3.49,1,13482,2727,79.216,0.653,7.316,0.137,0.776,1.3284238815238665
12,0.027,0.462,2211.755,444.898,0.163,0.163,1.0,0.231,1,13547,2725,135.0,0.163,1.0,1.0,1.0,0.185411616971131
13,0.053,0.788,2211.918,445.224,0.163,0.327,1.0,0.365,1,13548,2727,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
14,0.027,0.462,480.327,483.429,0.163,0.163,1.0,0.231,1,2942,2961,135.0,0.163,1.0,1.0,1.0,0.185411616971131
15,0.027,0.462,480.49,483.755,0.163,0.163,1.0,0.231,1,2943,2963,135.0,0.163,1.0,1.0,1.0,0.185411616971131
16,0.187,1.385,1931.265,524.735,0.49,0.49,1.0,0.589,1,11829,3214,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
