 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.64,3.153,1904.163,1.796,1.143,0.816,0.809,1.404,1,11663,16,35.538,0.816,1.683,0.594,0.906,0.9027033336764101
2,491.182,93.446,1655.673,7.51,30.531,23.673,0.707,32.226,1,10148,166,24.228,21.944,1.506,0.664,0.938,25.007845690145057
3,0.027,0.462,1427.592,8.653,0.163,0.163,1.0,0.231,1,8744,53,135.0,0.163,1.0,1.0,1.0,0.185411616971131
4,87.27,45.422,1502.857,8.816,13.224,11.102,0.532,13.404,1,9217,58,145.923,9.818,1.336,0.749,0.824,10.54113917321262
5,0.373,2.962,77.551,9.796,1.143,0.816,0.535,1.243,1,475,63,23.199,0.637,2.228,0.449,0.622,0.6891432000580254
6,11016.21,714.68,4.082,14.041,125.714,177.796,0.271,209.563,1,26,104,123.69,101.149,2.057,0.486,0.722,118.43257239926416
7,0.133,1.154,1469.224,14.204,0.49,0.327,1.0,0.589,1,8999,87,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
8,177.419,73.26,208.163,15.02,15.837,22.531,0.415,22.708,1,1300,92,99.936,15.119,1.433,0.698,0.734,15.029866492666123
9,1.493,6.307,1503.184,19.592,1.796,2.122,0.472,2.355,1,9210,120,123.69,1.351,1.901,0.526,0.633,1.3787482149724068
10,0.213,2.174,246.531,21.224,0.653,0.816,0.567,1.045,1,1510,130,128.66,0.424,3.238,0.309,0.667,0.5207686847618525
11,1.973,5.287,1926.204,21.224,1.959,1.306,0.887,2.065,1,11798,135,18.435,1.306,1.56,0.641,0.914,1.5849610789424693
12,0.213,1.712,1435.755,23.02,0.653,0.49,0.914,0.816,1,8794,144,36.87,0.438,2.179,0.459,0.8,0.5207686847618525
13,36.731,28.244,851.918,24.327,9.959,7.51,0.579,11.683,1,5218,153,146.976,4.58,2.759,0.362,0.895,6.838666662271766
14,1.813,6.307,1308.408,25.796,1.796,2.122,0.573,2.55,1,8014,170,50.194,1.486,2.026,0.494,0.756,1.5193364652389707
15,0.08,0.924,1471.673,25.796,0.327,0.327,1.0,0.462,1,9014,158,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
16,0.107,0.924,1516.082,30.531,0.327,0.327,1.0,0.462,1,9286,187,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
17,0.053,0.693,506.612,33.959,0.327,0.163,1.0,0.365,1,3103,208,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
18,0.986,4.133,920.163,35.918,1.143,1.306,0.726,1.736,1,5636,228,48.814,1.008,1.923,0.52,0.804,1.1204526724091788
19,0.187,1.385,1445.224,37.551,0.49,0.49,1.0,0.693,1,8852,230,135.0,0.462,1.596,0.626,0.875,0.48795060699365406
20,0.107,1.154,1446.857,39.51,0.49,0.327,1.0,0.516,1,8862,242,161.565,0.327,1.468,0.681,0.8,0.36910246719124273
21,0.107,1.346,915.755,39.673,0.653,0.163,0.74,0.673,1,5609,243,165.964,0.163,4.0,0.25,1.0,0.36910246719124273
22,0.107,0.924,1468.898,39.673,0.327,0.327,1.0,0.462,1,8997,243,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
23,0.24,1.808,1461.714,40.0,0.816,0.327,0.923,0.879,1,8953,247,21.801,0.327,2.386,0.419,0.947,0.5527906391541367
24,1387.928,185.649,616.327,40.49,49.469,51.755,0.506,67.413,1,3798,254,131.76,38.439,1.78,0.562,0.849,42.03765948343443
25,0.213,1.616,1473.633,41.143,0.653,0.49,1.0,0.673,1,9026,253,165.964,0.49,1.195,0.837,0.8,0.5207686847618525
26,138.209,50.356,178.776,42.449,18.122,13.224,0.685,18.31,1,1095,309,8.202,8.634,2.1,0.476,0.967,13.265487712040674
27,0.453,2.827,923.102,42.776,1.143,0.653,0.713,1.189,1,5654,264,15.945,0.617,2.034,0.492,0.773,0.7594586978664665
28,10692.958,444.053,679.184,46.367,104.0,154.449,0.681,158.155,1,4385,1228,76.265,93.95,1.725,0.58,0.959,116.68203364611115
29,49.259,36.932,781.061,47.673,9.306,12.408,0.454,13.292,1,4787,292,117.824,7.833,1.778,0.562,0.731,7.919501672081987
30,0.72,4.921,307.265,48.49,1.306,1.633,0.373,1.904,1,1883,297,120.964,0.917,2.945,0.34,0.514,0.9574614729634384
31,0.027,0.462,1456.98,49.633,0.163,0.163,1.0,0.231,1,8924,304,135.0,0.163,1.0,1.0,1.0,0.185411616971131
32,82.126,39.735,264.816,50.612,14.367,9.143,0.654,14.548,1,1622,347,9.039,8.832,1.824,0.548,0.885,10.22575527043944
33,0.187,1.481,1432.0,52.898,0.49,0.49,1.0,0.589,1,8772,324,123.69,0.49,1.069,0.936,0.875,0.48795060699365406
34,0.08,1.019,1504.49,58.939,0.49,0.163,0.967,0.516,1,9215,361,161.565,0.163,3.0,0.333,1.0,0.31915382432114614
35,0.16,1.25,1469.878,61.224,0.49,0.327,1.0,0.589,1,9003,375,146.31,0.327,1.5,0.667,1.0,0.45135166683820505
36,0.027,0.462,1482.939,61.878,0.163,0.163,1.0,0.231,1,9083,379,135.0,0.163,1.0,1.0,1.0,0.185411616971131
37,17.06,17.725,126.531,62.041,6.857,3.755,0.682,7.013,1,775,391,12.095,3.755,1.798,0.556,0.905,4.660629424571522
38,163.025,57.19,1303.837,63.673,18.449,14.367,0.626,20.781,1,7987,476,38.941,11.609,1.917,0.522,0.896,14.407285545183377
39,98.466,41.606,1226.449,69.388,10.939,14.694,0.715,14.985,1,7544,515,78.69,8.093,1.759,0.569,0.955,11.196910511917675
40,159.32,63.705,491.265,69.714,19.429,14.204,0.493,19.65,1,3014,437,151.731,13.669,1.6,0.625,0.778,14.24263052484358
41,91.109,48.631,2097.143,72.98,11.429,13.224,0.484,14.612,1,12846,506,39.56,10.679,1.332,0.751,0.802,10.770495888364469
42,535.057,134.867,1788.245,73.306,37.388,30.694,0.37,37.431,1,10953,566,177.25,27.441,1.132,0.883,0.73,26.100876059767838
43,0.053,0.788,1468.245,75.265,0.163,0.327,1.0,0.365,1,8993,461,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
44,0.027,0.462,1457.633,78.694,0.163,0.163,1.0,0.231,1,8928,482,135.0,0.163,1.0,1.0,1.0,0.185411616971131
45,2.506,6.076,428.245,82.449,1.959,1.796,0.853,2.129,1,2626,505,122.471,1.796,1.096,0.913,0.87,1.7862637820619656
46,0.027,0.462,2107.918,84.082,0.163,0.163,1.0,0.231,1,12911,515,135.0,0.163,1.0,1.0,1.0,0.185411616971131
47,0.426,2.596,2108.245,84.408,0.653,0.98,0.795,1.177,1,12913,517,123.69,0.653,1.887,0.53,0.842,0.7364781368494107
48,2.532,6.824,138.939,87.184,1.796,2.286,0.683,2.487,1,852,534,113.199,1.796,1.318,0.759,0.815,1.7955062036287794
49,0.293,2.23,2111.673,87.184,0.327,0.98,0.741,1.033,1,12934,534,108.435,0.327,2.858,0.35,0.957,0.6107857125108631
50,7.65,17.471,2106.122,87.673,5.224,3.755,0.315,5.853,1,12900,538,149.859,3.356,1.942,0.515,0.562,3.1209425687160595
51,0.373,2.596,1746.612,90.939,0.98,0.653,0.696,1.095,1,10698,561,26.565,0.64,2.251,0.444,0.737,0.6891432000580254
52,0.373,3.345,1749.388,91.755,0.49,1.469,0.419,1.549,1,10715,562,108.435,0.465,4.286,0.233,0.757,0.6891432000580254
53,0.133,1.154,1399.347,97.633,0.49,0.327,1.0,0.589,1,8571,600,33.69,0.327,1.553,0.644,0.909,0.41151046092387084
54,82.579,37.562,1681.306,104.653,14.204,8.163,0.736,14.362,1,10298,673,8.499,7.569,1.902,0.526,0.967,10.253918683346626
55,0.027,0.462,1461.061,105.469,0.163,0.163,1.0,0.231,1,8949,646,135.0,0.163,1.0,1.0,1.0,0.185411616971131
56,54.964,30.14,2104.653,108.735,10.776,7.02,0.76,10.95,1,12891,695,20.056,6.067,1.764,0.567,0.959,8.36554471249921
57,0.107,0.924,1449.959,110.041,0.327,0.327,1.0,0.462,1,8881,674,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
58,0.293,3.018,219.755,111.347,0.653,1.143,0.405,1.243,1,1346,682,113.199,0.644,2.563,0.39,0.564,0.6107857125108631
59,34.546,27.647,1883.918,115.102,8.653,8.327,0.568,9.766,1,11555,755,51.789,5.37,1.853,0.54,0.819,6.632143945393596
60,0.027,0.462,1451.265,122.776,0.163,0.163,1.0,0.231,1,8889,752,135.0,0.163,1.0,1.0,1.0,0.185411616971131
61,137.276,63.474,960.816,123.102,17.959,16.98,0.428,19.431,1,5885,779,155.158,12.559,1.603,0.624,0.741,13.220636586150615
62,0.133,1.25,1888.0,124.571,0.49,0.327,1.0,0.589,1,11564,763,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
63,0.027,0.462,1664.816,127.837,0.163,0.163,1.0,0.231,1,10197,783,135.0,0.163,1.0,1.0,1.0,0.185411616971131
64,206.634,56.673,2035.429,132.898,17.143,16.653,0.808,18.693,1,12467,840,154.106,15.03,1.245,0.803,0.948,16.220190507105816
65,0.027,0.462,1452.408,139.429,0.163,0.163,1.0,0.231,1,8896,854,135.0,0.163,1.0,1.0,1.0,0.185411616971131
66,4.771,12.303,1410.286,141.061,3.265,4.082,0.396,4.998,1,8638,865,128.367,1.947,3.381,0.296,0.662,2.464675611096004
67,0.347,2.174,1367.347,143.184,0.653,0.816,0.922,0.952,1,8375,877,120.964,0.653,1.453,0.688,0.812,0.6646909973988676
68,636.002,136.344,2135.02,144.49,39.51,38.204,0.43,46.302,1,13098,1116,53.171,22.409,2.219,0.451,0.785,28.45668457376321
69,69.891,34.264,1089.959,146.286,10.612,10.776,0.748,12.733,1,6683,898,130.84,7.172,1.839,0.544,0.939,9.433344317954543
70,759.31,221.786,1632.653,152.0,49.959,49.143,0.194,51.842,1,10077,1229,60.367,42.944,1.735,0.576,0.486,31.093142631661667
71,0.027,0.462,1368.0,152.98,0.163,0.163,1.0,0.231,1,8379,937,135.0,0.163,1.0,1.0,1.0,0.185411616971131
72,141.701,50.324,1524.245,155.429,15.347,16.653,0.703,18.402,1,9364,953,117.474,9.648,1.982,0.505,0.929,13.43202578647455
73,41.636,25.935,624.98,158.694,7.184,8.327,0.778,8.543,1,3845,1022,63.925,7.169,1.24,0.806,0.906,7.280975325091635
74,32.387,44.769,633.306,166.204,6.531,16.49,0.203,17.249,1,3888,1119,72.937,5.643,4.192,0.239,0.467,6.4215581547890475
75,0.373,2.038,1435.102,167.184,0.653,0.653,1.0,0.924,1,8790,1024,135.0,0.653,1.319,0.758,0.933,0.6891432000580254
76,0.107,0.924,1369.143,167.51,0.327,0.327,1.0,0.462,1,8386,1026,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
77,24.683,34.521,639.837,168.327,5.061,12.735,0.26,12.968,1,3927,1109,79.114,5.038,2.744,0.364,0.581,5.60601210154759
78,0.08,0.924,1428.571,171.918,0.327,0.327,1.0,0.462,1,8750,1053,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
79,0.133,1.25,1327.184,173.714,0.327,0.49,1.0,0.589,1,8129,1064,123.69,0.327,1.553,0.644,0.909,0.41151046092387084
80,86.524,51.161,879.02,175.837,15.347,15.673,0.415,20.211,1,5388,1078,136.637,7.042,3.241,0.309,0.791,10.495988679903633
81,0.347,2.691,640.653,182.041,0.49,1.143,0.601,1.243,1,3924,1122,66.801,0.49,2.689,0.372,0.765,0.6646909973988676
82,0.213,1.481,1329.143,182.694,0.49,0.49,1.0,0.693,1,8141,1119,135.0,0.49,1.229,0.814,0.941,0.5207686847618525
83,0.16,1.481,1416.653,183.673,0.49,0.49,0.916,0.693,1,8677,1125,135.0,0.462,1.593,0.628,0.857,0.45135166683820505
84,0.187,1.903,1268.898,184.653,0.327,0.816,0.647,0.879,1,7772,1131,111.801,0.327,2.982,0.335,0.824,0.48795060699365406
85,36.305,23.323,559.837,185.143,7.02,7.51,0.839,7.899,1,3448,1134,108.06,6.552,1.142,0.875,0.957,6.7988941506402405
86,0.16,1.385,1346.449,188.408,0.49,0.49,1.0,0.589,1,8247,1154,123.69,0.462,1.291,0.775,0.8,0.45135166683820505
87,0.267,1.847,1361.633,188.735,0.653,0.653,0.982,0.73,1,8340,1157,153.435,0.584,1.316,0.76,0.769,0.5830565653899187
88,0.4,2.827,1631.837,188.898,0.653,1.143,0.629,1.316,1,9995,1164,60.255,0.594,2.414,0.414,0.75,0.7136496464611084
89,0.08,0.924,1350.531,192.327,0.327,0.327,1.0,0.462,1,8272,1180,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
90,1.573,5.861,1362.286,194.122,2.449,0.816,0.575,2.535,1,8344,1193,14.931,0.816,3.626,0.276,0.887,1.415205216167751
91,826.962,136.288,119.184,194.286,28.898,48.49,0.559,48.69,1,795,1190,95.194,26.314,1.842,0.543,0.863,32.448739889143305
92,10908.042,484.553,1304.327,194.286,145.306,116.735,0.584,153.235,1,7989,1472,161.488,93.578,1.549,0.646,0.933,117.84969422969257
93,9.249,11.864,1528.327,195.755,3.265,4.245,0.826,4.609,1,9364,1225,67.068,2.89,1.671,0.598,0.916,3.4316457493825787
94,0.027,0.462,1209.306,195.918,0.163,0.163,1.0,0.231,1,7407,1200,135.0,0.163,1.0,1.0,1.0,0.185411616971131
95,1742.687,186.372,1989.388,196.245,53.388,56.327,0.63,64.884,1,12245,1547,59.951,38.909,1.755,0.57,0.902,47.10475562505219
96,33.479,24.527,1853.388,196.571,7.02,7.347,0.699,9.262,1,11352,1207,139.289,5.399,1.637,0.611,0.907,6.528919261117303
97,35.025,27.591,222.204,196.735,7.51,9.633,0.578,10.895,1,1365,1263,60.362,4.859,2.443,0.409,0.862,6.677964888672976
98,0.107,1.25,1395.102,196.735,0.327,0.49,0.857,0.589,1,8545,1205,123.69,0.327,2.0,0.5,0.8,0.36910246719124273
99,0.053,0.693,1357.224,196.898,0.327,0.163,1.0,0.365,1,8313,1206,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
100,0.426,2.23,1266.286,197.551,0.653,0.653,1.0,0.924,1,7756,1210,135.0,0.653,1.0,1.0,1.0,0.7364781368494107
101,1.093,3.711,1317.714,198.041,1.306,0.98,0.997,1.46,1,8071,1215,153.435,0.98,1.374,0.728,0.943,1.1796825091504632
102,2.186,8.424,1627.918,199.02,2.449,3.102,0.387,3.853,1,9971,1219,126.384,0.996,4.601,0.217,0.726,1.668323003734908
103,0.693,3.289,1269.551,199.51,1.143,0.98,0.805,1.505,1,7776,1222,139.399,0.808,2.071,0.483,0.825,0.9393375349156807
104,7.25,10.726,908.735,202.122,3.592,2.776,0.792,3.808,1,5567,1251,30.964,2.738,1.392,0.719,0.919,3.0382538898732494
105,0.293,1.847,1398.204,203.918,0.653,0.653,1.0,0.73,1,8564,1250,153.435,0.653,1.139,0.878,0.815,0.6107857125108631
106,0.187,1.385,1280.98,205.388,0.49,0.49,1.0,0.693,1,7846,1261,45.0,0.462,1.596,0.626,0.875,0.48795060699365406
107,0.027,0.462,1646.531,206.857,0.163,0.163,1.0,0.231,1,10085,1267,135.0,0.163,1.0,1.0,1.0,0.185411616971131
108,0.053,0.788,1646.367,207.184,0.163,0.327,1.0,0.365,1,10084,1269,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
109,0.107,0.924,1283.429,209.959,0.327,0.327,1.0,0.462,1,7861,1286,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
110,0.4,2.174,1287.347,211.429,0.653,0.816,1.0,0.879,1,7886,1295,111.801,0.653,1.127,0.887,0.857,0.7136496464611084
111,171.875,56.125,20.571,211.918,12.735,19.755,0.686,20.637,1,131,1308,120.42,10.399,2.033,0.492,0.929,14.793175681757994
112,4.691,27.442,1636.082,211.918,12.571,1.633,0.078,12.576,1,10021,1300,1.488,1.633,8.647,0.116,0.326,2.4439244473495183
