 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.053,0.693,1386.449,4.408,0.327,0.163,1.0,0.365,1,8492,27,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
2,114.939,94.323,143.673,6.531,17.306,20.245,0.162,20.449,1,929,43,109.592,16.028,1.515,0.66,0.477,12.097308792963616
3,0.373,2.174,149.224,7.347,0.816,0.653,0.993,1.045,1,914,49,38.66,0.577,1.928,0.519,0.875,0.6891432000580254
4,16.127,25.625,149.224,8.98,4.898,9.469,0.309,9.704,1,920,55,102.633,3.259,3.732,0.268,0.638,4.531394281889843
5,0.053,0.693,1382.204,12.082,0.327,0.163,1.0,0.365,1,8466,74,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
6,5.278,18.435,614.531,12.245,4.082,4.898,0.195,5.561,1,3765,79,130.236,2.815,2.486,0.402,0.423,2.5923268152592542
7,2.399,7.692,146.286,12.735,2.449,2.449,0.51,3.136,1,896,90,38.66,1.541,2.367,0.422,0.692,1.7477132681935144
8,0.027,0.462,615.837,15.673,0.163,0.163,1.0,0.231,1,3772,96,135.0,0.163,1.0,1.0,1.0,0.185411616971131
9,0.08,1.019,149.224,16.653,0.49,0.163,0.967,0.516,1,914,102,161.565,0.163,3.0,0.333,1.0,0.31915382432114614
10,20.338,17.9,251.592,16.816,6.367,4.735,0.798,6.419,1,1541,114,172.694,4.735,1.401,0.714,0.909,5.088727332135584
11,1.439,6.729,618.612,17.633,1.306,2.776,0.4,3.067,1,3789,108,115.201,0.945,4.103,0.244,0.663,1.3535847608753206
12,2.052,6.689,614.531,19.102,2.122,1.796,0.576,2.427,1,3764,128,42.274,1.497,1.891,0.529,0.74,1.616381002671262
13,0.533,3.48,618.122,20.735,0.816,1.306,0.553,1.395,1,3788,135,69.444,0.816,1.801,0.555,0.702,0.8237940745986474
14,0.16,1.616,1380.735,21.224,0.653,0.49,0.769,0.673,1,8457,131,165.964,0.438,1.675,0.597,0.667,0.45135166683820505
15,0.426,3.48,613.878,21.388,0.653,1.469,0.443,1.608,1,3760,131,113.962,0.515,4.377,0.228,0.627,0.7364781368494107
16,0.027,0.462,614.531,23.02,0.163,0.163,1.0,0.231,1,3764,141,135.0,0.163,1.0,1.0,1.0,0.185411616971131
17,0.027,0.462,1383.184,34.122,0.163,0.163,1.0,0.231,1,8472,209,135.0,0.163,1.0,1.0,1.0,0.185411616971131
18,3.385,13.919,984.327,52.571,2.776,5.551,0.22,5.834,1,6029,356,72.072,1.757,3.782,0.264,0.477,2.07603368443976
19,0.16,2.078,982.694,52.735,0.816,0.653,0.465,1.045,1,6019,327,38.66,0.392,3.735,0.268,0.545,0.45135166683820505
20,0.027,0.462,1387.265,56.98,0.163,0.163,1.0,0.231,1,8497,349,135.0,0.163,1.0,1.0,1.0,0.185411616971131
21,0.027,0.462,1388.735,71.51,0.163,0.163,1.0,0.231,1,8506,438,135.0,0.163,1.0,1.0,1.0,0.185411616971131
22,115.925,47.714,436.408,72.816,16.0,11.429,0.64,17.102,1,2673,455,159.316,10.259,1.694,0.59,0.883,12.14908614766657
23,33.319,28.874,1024.49,75.429,7.837,7.837,0.502,9.708,1,6278,506,42.274,6.041,1.94,0.515,0.797,6.513299347568089
24,0.08,0.924,736.49,76.408,0.327,0.327,1.0,0.462,1,4511,470,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
25,0.027,0.462,166.041,76.571,0.163,0.163,1.0,0.231,1,1017,469,135.0,0.163,1.0,1.0,1.0,0.185411616971131
26,0.267,1.847,1022.041,77.878,0.653,0.653,0.982,0.73,1,6260,480,26.565,0.577,1.241,0.806,0.8,0.5830565653899187
27,0.027,0.462,1308.082,77.878,0.163,0.163,1.0,0.231,1,8012,477,135.0,0.163,1.0,1.0,1.0,0.185411616971131
28,321.413,111.666,3.265,86.531,27.429,19.755,0.324,27.684,1,20,572,172.204,18.761,1.436,0.696,0.832,20.22957591725449
29,0.107,1.385,1099.592,88.0,0.49,0.49,0.698,0.693,1,6735,539,135.0,0.346,2.654,0.377,0.667,0.36910246719124273
30,0.48,2.866,1100.082,88.653,0.98,0.98,0.734,1.385,1,6738,543,135.0,0.577,2.868,0.349,0.8,0.7817640190446719
31,0.347,2.556,1101.388,89.959,1.143,0.327,0.666,1.189,1,6746,551,164.055,0.327,3.34,0.299,0.963,0.6646909973988676
32,0.027,0.462,1392.49,89.959,0.163,0.163,1.0,0.231,1,8529,551,135.0,0.163,1.0,1.0,1.0,0.185411616971131
33,0.027,0.462,2161.469,92.245,0.163,0.163,1.0,0.231,1,13239,565,135.0,0.163,1.0,1.0,1.0,0.185411616971131
34,1.759,6.864,716.898,97.796,2.122,2.122,0.469,2.678,1,4392,612,52.431,1.315,2.873,0.348,0.638,1.4965387930785994
35,4.132,16.419,67.592,98.286,6.367,3.592,0.193,7.232,1,414,603,151.699,1.457,6.781,0.147,0.476,2.293692612109498
36,0.027,0.462,716.245,98.776,0.163,0.163,1.0,0.231,1,4387,605,135.0,0.163,1.0,1.0,1.0,0.185411616971131
37,0.08,0.924,6.367,99.592,0.327,0.327,1.0,0.462,1,39,612,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
38,3.918,10.192,63.51,100.082,2.939,3.592,0.474,4.042,1,389,632,43.363,1.731,3.211,0.311,0.692,2.233506779992478
39,1.173,4.212,67.429,100.571,1.469,1.306,0.831,1.681,1,413,618,150.945,1.095,1.607,0.622,0.854,1.2220924621215639
40,0.373,2.174,2152.816,100.898,0.816,0.653,0.993,0.952,1,13186,621,30.964,0.653,1.604,0.623,0.848,0.6891432000580254
41,0.027,0.462,2145.796,102.694,0.163,0.163,1.0,0.231,1,13143,629,135.0,0.163,1.0,1.0,1.0,0.185411616971131
42,2.719,8.21,72.327,102.857,2.449,2.612,0.507,2.943,1,446,645,56.31,1.918,2.083,0.48,0.673,1.8606284750414057
43,0.533,4.826,1198.041,103.184,2.122,0.816,0.288,2.274,1,7338,632,158.962,0.53,5.564,0.18,0.597,0.8237940745986474
44,0.133,1.25,1197.224,104.163,0.327,0.49,1.0,0.589,1,7333,641,56.31,0.327,1.553,0.644,0.909,0.41151046092387084
45,2.212,8.249,69.878,104.327,1.959,3.265,0.409,3.727,1,429,639,118.811,1.152,4.081,0.245,0.712,1.6782150854268294
46,0.187,1.903,1196.571,104.653,0.327,0.816,0.647,0.832,1,7330,641,101.31,0.327,2.423,0.413,0.824,0.48795060699365406
47,0.027,0.462,2137.469,105.306,0.163,0.163,1.0,0.231,1,13092,645,135.0,0.163,1.0,1.0,1.0,0.185411616971131
48,89.19,92.252,63.51,105.469,19.429,11.755,0.132,19.603,1,389,658,172.342,11.562,1.63,0.613,0.503,10.656464469744606
49,0.24,1.903,1198.041,105.469,0.327,0.816,0.832,0.879,1,7338,646,111.801,0.327,2.386,0.419,0.947,0.5527906391541367
50,46.087,43.152,1195.755,105.796,8.163,10.939,0.311,11.564,1,7325,653,120.548,7.57,1.565,0.639,0.65,7.66027355243985
51,0.053,0.924,2134.857,107.102,0.327,0.327,0.785,0.462,1,13076,656,135.0,0.231,2.646,0.378,0.667,0.25977239243415307
52,0.053,0.693,2130.776,109.224,0.327,0.163,1.0,0.365,1,13051,669,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
53,0.027,0.462,1178.122,109.551,0.163,0.163,1.0,0.231,1,7216,671,135.0,0.163,1.0,1.0,1.0,0.185411616971131
54,0.08,0.924,64.816,110.531,0.327,0.327,1.0,0.462,1,397,679,45.0,0.327,1.464,0.683,0.857,0.31915382432114614
55,11.569,29.679,871.673,110.694,7.347,4.408,0.165,7.604,1,5339,699,14.931,4.408,1.493,0.67,0.472,3.8379823205743273
56,0.053,0.788,245.714,111.02,0.163,0.327,1.0,0.365,1,1505,680,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
57,0.053,0.924,1181.714,111.184,0.327,0.327,0.785,0.462,1,7238,681,135.0,0.231,2.646,0.378,0.667,0.25977239243415307
58,1.279,6.267,1176.327,111.51,2.776,0.98,0.409,2.893,1,7205,683,163.61,0.878,4.172,0.24,0.711,1.2761165219980004
59,0.027,0.462,80.327,112.0,0.163,0.163,1.0,0.231,1,492,686,135.0,0.163,1.0,1.0,1.0,0.185411616971131
60,0.906,3.846,243.592,112.0,0.98,1.469,0.77,1.608,1,1493,686,113.962,0.911,1.914,0.523,0.819,1.0740367905849675
61,0.267,2.23,1182.041,112.163,0.327,0.98,0.674,1.033,1,7240,687,108.435,0.327,2.953,0.339,0.909,0.5830565653899187
62,3.225,10.439,245.061,113.306,2.286,3.918,0.372,4.31,1,1501,718,65.376,1.839,2.7,0.37,0.632,2.0263754666327016
