 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.213,1.481,942.204,14.041,0.49,0.49,1.0,0.693,1,5771,86,135.0,0.49,1.229,0.814,0.941,0.5207686847618525
2,0.053,0.924,1540.571,14.694,0.327,0.327,0.785,0.462,1,9436,90,135.0,0.231,2.646,0.378,0.667,0.25977239243415307
3,0.16,1.385,1544.49,14.857,0.49,0.49,1.0,0.693,1,9460,94,45.0,0.438,1.809,0.553,0.8,0.45135166683820505
4,3.865,9.301,1541.714,15.184,2.122,3.102,0.561,3.253,1,9443,93,107.526,1.995,1.527,0.655,0.751,2.218348674217244
5,52.671,30.53,1190.041,31.673,8.98,9.469,0.71,10.972,1,7294,195,126.529,7.41,1.463,0.684,0.895,8.18918799764334
6,0.267,2.827,458.776,42.122,0.816,0.98,0.419,1.275,1,2810,258,129.806,0.51,3.38,0.296,0.588,0.5830565653899187
7,0.027,0.462,460.082,43.102,0.163,0.163,1.0,0.231,1,2818,264,135.0,0.163,1.0,1.0,1.0,0.185411616971131
8,0.693,3.018,1814.367,51.592,0.653,1.143,0.956,1.243,1,11114,316,113.199,0.653,1.725,0.58,0.963,0.9393375349156807
9,3.172,9.15,1815.347,52.735,1.469,3.592,0.476,3.614,1,11121,345,71.565,1.352,3.223,0.31,0.715,2.009655651075561
10,0.133,1.154,1260.571,55.837,0.49,0.327,1.0,0.589,1,7721,342,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
11,19.858,27.393,1222.531,67.755,7.02,6.694,0.333,7.706,1,7497,417,126.384,4.863,1.78,0.562,0.639,5.028318891970841
12,66.212,48.251,1565.061,86.857,15.184,7.51,0.357,15.696,1,9586,572,18.812,7.29,2.978,0.336,0.692,9.181706635261476
13,13.354,34.791,1836.408,98.776,8.49,9.959,0.139,12.502,1,11250,608,130.764,4.19,3.769,0.265,0.368,4.123450118577083
14,0.347,3.018,1834.286,100.735,0.49,1.306,0.478,1.346,1,11235,617,104.036,0.475,3.576,0.28,0.743,0.6646909973988676
15,0.053,0.788,1843.755,101.061,0.163,0.327,1.0,0.365,1,11293,619,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
16,126.747,45.953,718.694,103.347,13.878,13.878,0.754,14.542,1,4402,653,151.133,11.891,1.097,0.912,0.93,12.703514969351895
17,0.027,0.462,1853.878,106.286,0.163,0.163,1.0,0.231,1,11355,651,135.0,0.163,1.0,1.0,1.0,0.185411616971131
18,362.649,156.768,1834.612,106.286,42.286,22.694,0.185,42.947,1,11237,721,10.071,21.749,2.408,0.415,0.557,21.488114101955574
19,0.027,0.462,1846.531,111.02,0.163,0.163,1.0,0.231,1,11310,680,135.0,0.163,1.0,1.0,1.0,0.185411616971131
20,0.267,2.174,1845.714,111.673,0.816,0.653,0.709,1.045,1,11305,688,38.66,0.462,2.521,0.397,0.769,0.5830565653899187
21,0.08,1.115,1845.224,112.653,0.163,0.49,0.809,0.516,1,11302,690,108.435,0.163,3.0,0.333,1.0,0.31915382432114614
22,9.223,18.586,1843.102,114.612,4.082,5.224,0.335,5.772,1,11297,703,118.74,3.901,1.681,0.595,0.582,3.426818979913063
23,14.661,17.838,48.163,114.776,4.898,5.388,0.579,6.206,1,296,734,54.638,4.152,1.481,0.675,0.821,4.320528320166669
24,83.992,38.166,503.02,117.714,13.878,9.796,0.725,14.152,1,3081,755,11.31,8.911,1.607,0.622,0.919,10.341273414884444
25,0.293,1.808,1796.408,120.163,0.49,0.653,1.0,0.816,1,11003,740,53.13,0.49,1.372,0.729,0.957,0.6107857125108631
26,1.2,4.555,1847.184,120.327,1.306,1.306,0.726,1.847,1,11314,745,45.0,1.291,1.499,0.667,0.857,1.2360774464742066
27,0.213,1.712,1790.367,127.02,0.49,0.653,0.914,0.673,1,10967,778,104.036,0.49,1.195,0.837,0.8,0.5207686847618525
28,0.88,3.615,1791.51,136.653,1.143,1.143,0.846,1.316,1,10974,837,119.745,1.061,1.168,0.856,0.835,1.0585134856802454
29,0.107,0.924,1492.898,146.939,0.327,0.327,1.0,0.462,1,9144,900,135.0,0.327,1.0,1.0,1.0,0.36910246719124273
30,0.32,2.365,1795.429,147.429,0.49,0.98,0.719,1.095,1,10997,903,116.565,0.49,2.301,0.435,0.828,0.6383076486422923
31,0.053,0.693,1800.653,152.49,0.327,0.163,1.0,0.365,1,11029,934,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
32,0.213,1.712,1817.796,165.878,0.49,0.653,0.914,0.816,1,11134,1016,126.87,0.462,1.939,0.516,0.842,0.5207686847618525
33,0.053,0.924,183.837,175.837,0.327,0.327,0.785,0.462,1,1126,1077,135.0,0.231,2.646,0.378,0.667,0.25977239243415307
34,0.533,3.75,9.469,193.143,1.469,0.98,0.476,1.549,1,58,1186,18.435,0.752,2.401,0.416,0.615,0.8237940745986474
35,3.519,11.61,2028.082,221.551,3.265,3.592,0.328,4.624,1,12423,1378,47.862,2.081,2.9,0.345,0.54,2.116726235941492
36,85.351,36.318,1822.041,239.347,11.755,10.449,0.813,12.292,1,11160,1511,16.991,10.076,1.147,0.872,0.937,10.424599195301989
37,9.436,18.164,1824.98,252.735,3.918,5.878,0.359,5.898,1,11193,1548,94.764,3.614,1.777,0.563,0.611,3.466163346428006
38,0.293,1.847,365.388,260.735,0.653,0.653,1.0,0.73,1,2239,1597,116.565,0.653,1.139,0.878,0.815,0.6107857125108631
39,0.187,1.481,923.755,370.449,0.653,0.327,1.0,0.73,1,5658,2269,153.435,0.327,1.936,0.517,0.933,0.48795060699365406
40,0.533,2.866,2114.612,371.265,1.143,0.816,0.815,1.189,1,12952,2277,15.945,0.768,1.634,0.612,0.784,0.8237940745986474
41,0.48,2.827,924.735,374.204,0.816,0.98,0.755,1.177,1,5664,2292,123.69,0.803,1.559,0.641,0.766,0.7817640190446719
42,106.196,43.805,1033.306,397.061,13.714,10.939,0.695,15.482,1,6329,2489,27.646,10.63,1.491,0.67,0.917,11.628110194382204
43,0.16,1.481,818.612,418.122,0.653,0.327,0.916,0.73,1,5014,2563,26.565,0.327,2.082,0.48,0.857,0.45135166683820505
