 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,0.107,1.154,1628.571,14.857,0.49,0.327,1.0,0.589,1,9975,91,146.31,0.327,2.031,0.492,0.8,0.36910246719124273
2,0.933,3.615,994.449,24.816,1.143,1.143,0.897,1.404,1,6092,152,125.538,1.143,1.334,0.75,0.875,1.0899231602447519
3,0.293,2.691,996.735,29.388,0.49,1.143,0.509,1.243,1,6105,180,113.199,0.413,3.836,0.261,0.733,0.6107857125108631
4,0.027,0.462,1640.98,31.673,0.163,0.163,1.0,0.231,1,10051,194,135.0,0.163,1.0,1.0,1.0,0.185411616971131
5,0.053,0.693,328.0,45.388,0.327,0.163,1.0,0.365,1,2009,278,153.435,0.163,2.0,0.5,1.0,0.25977239243415307
6,0.027,0.462,1032.816,63.673,0.163,0.163,1.0,0.231,1,6326,390,135.0,0.163,1.0,1.0,1.0,0.185411616971131
7,0.053,0.788,1049.143,77.551,0.163,0.327,1.0,0.365,1,6426,475,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
8,124406.511,1880.271,1098.286,210.122,472.49,524.245,0.442,589.517,1,6750,1803,135.741,326.984,1.922,0.52,0.847,397.9940821516446
9,7.97,10.344,1315.918,217.143,3.102,3.265,0.936,3.625,1,8064,1350,54.162,3.102,1.167,0.857,0.945,3.1855484883359173
10,15894.577,716.802,1887.673,221.061,192.327,183.02,0.389,236.174,1,11608,2359,39.699,110.04,2.554,0.392,0.788,142.25893287677223
11,288.733,68.887,528.98,256.0,22.204,20.082,0.765,23.145,1,3240,1629,16.39,19.607,1.128,0.886,0.947,19.173582697816748
12,1.573,8.091,1934.204,266.449,1.959,2.612,0.302,2.658,1,11847,1632,100.62,1.891,1.097,0.912,0.496,1.415205216167751
13,0.027,0.462,2108.571,271.837,0.163,0.163,1.0,0.231,1,12915,1665,135.0,0.163,1.0,1.0,1.0,0.185411616971131
14,0.107,1.154,300.898,303.673,0.49,0.327,1.0,0.589,1,1843,1860,146.31,0.327,2.031,0.492,0.8,0.36910246719124273
15,0.773,5.479,74.612,330.612,2.286,0.98,0.324,2.427,1,457,2025,160.346,0.673,5.008,0.2,0.537,0.9920756866692585
16,0.053,0.788,1077.878,336.327,0.163,0.327,1.0,0.365,1,6602,2060,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
17,0.107,1.25,280.49,354.122,0.327,0.49,0.857,0.589,1,1718,2172,56.31,0.327,2.031,0.492,0.8,0.36910246719124273
18,17.299,17.264,2042.612,358.041,5.714,4.735,0.729,5.814,1,12511,2215,38.157,4.733,1.153,0.867,0.883,4.693162141283165
19,0.24,1.577,735.02,365.388,0.49,0.49,1.0,0.693,1,4502,2238,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
20,0.533,2.5,1062.694,369.306,0.653,0.98,1.0,1.033,1,6510,2262,108.435,0.653,1.435,0.697,0.909,0.8237940745986474
21,0.187,1.577,1565.714,369.959,0.327,0.653,0.943,0.73,1,9590,2270,63.435,0.327,1.936,0.517,0.933,0.48795060699365406
22,0.08,0.924,1564.898,371.918,0.327,0.327,1.0,0.462,1,9585,2278,135.0,0.327,1.464,0.683,0.857,0.31915382432114614
23,0.027,0.462,1152.0,398.694,0.163,0.163,1.0,0.231,1,7056,2442,135.0,0.163,1.0,1.0,1.0,0.185411616971131
24,0.187,1.616,463.347,401.959,0.653,0.49,0.898,0.673,1,2838,2463,165.964,0.49,1.387,0.721,0.737,0.48795060699365406
25,0.16,1.712,630.531,423.347,0.653,0.49,0.686,0.73,1,3862,2596,26.565,0.49,1.525,0.656,0.667,0.45135166683820505
26,0.586,2.962,656.816,423.837,1.143,0.816,0.84,1.189,1,4023,2599,15.945,0.774,1.662,0.602,0.815,0.8637814383365767
27,18231.55,642.607,575.347,424.327,151.02,172.571,0.555,185.517,1,3671,2651,118.031,149.268,1.101,0.908,0.922,152.358558741596
28,1.226,4.77,607.184,427.102,1.469,1.633,0.677,1.966,1,3719,2625,41.634,0.951,2.268,0.441,0.8,1.2493965270662912
29,0.053,0.788,666.449,428.082,0.163,0.327,1.0,0.365,1,4082,2622,116.565,0.163,2.0,0.5,1.0,0.25977239243415307
30,1.999,5.231,593.306,432.327,1.959,1.469,0.918,2.122,1,3634,2649,157.38,1.446,1.578,0.634,0.898,1.5953701294450735
31,0.267,2.174,574.694,438.204,0.653,0.816,0.709,0.879,1,3521,2684,111.801,0.577,1.493,0.67,0.69,0.5830565653899187
32,1.786,4.865,589.061,440.49,1.469,1.633,0.948,1.705,1,3611,2698,106.699,1.469,1.113,0.898,0.905,1.5079807117125208
33,0.213,1.712,717.224,443.102,0.49,0.653,0.914,0.816,1,4393,2718,53.13,0.49,1.791,0.558,0.8,0.5207686847618525
34,3.945,7.692,582.367,443.429,2.449,2.449,0.838,2.703,1,3567,2729,25.017,2.279,1.109,0.902,0.881,2.24118941724706
35,0.133,1.25,577.796,443.592,0.49,0.327,1.0,0.589,1,3539,2717,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
36,0.107,1.25,572.245,444.082,0.327,0.49,0.857,0.589,1,3505,2723,56.31,0.327,2.0,0.5,0.8,0.36910246719124273
37,0.666,3.384,573.878,455.347,1.469,0.653,0.731,1.608,1,3515,2789,156.038,0.653,2.821,0.354,0.862,0.9208569578352647
38,0.773,3.289,1542.531,457.143,0.98,1.143,0.898,1.243,1,9450,2807,66.801,0.98,1.055,0.948,0.841,0.9920756866692585
39,2.905,6.115,579.429,457.469,2.122,1.796,0.976,2.338,1,3549,2804,155.225,1.796,1.304,0.767,0.924,1.923216284627303
40,0.187,1.577,570.776,461.878,0.653,0.327,0.943,0.73,1,3496,2829,153.435,0.327,1.936,0.517,0.933,0.48795060699365406
41,2.932,10.98,267.265,465.306,3.102,3.918,0.306,4.802,1,1639,2874,54.689,1.471,4.977,0.201,0.567,1.9321331075170514
42,0.746,3.193,575.02,465.796,1.143,0.98,0.92,1.243,1,3522,2854,156.801,0.949,1.295,0.772,0.848,0.9745956599392547
43,0.187,1.712,572.571,471.673,0.49,0.653,0.8,0.673,1,3508,2889,104.036,0.49,1.387,0.721,0.737,0.48795060699365406
44,0.24,1.577,575.02,472.163,0.49,0.49,1.0,0.693,1,3522,2892,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
45,0.666,2.962,572.408,479.673,1.143,0.816,0.954,1.189,1,3506,2939,164.055,0.816,1.273,0.786,0.862,0.9208569578352647
46,0.027,0.462,729.143,487.837,0.163,0.163,1.0,0.231,1,4466,2988,135.0,0.163,1.0,1.0,1.0,0.185411616971131
47,0.133,1.25,571.265,489.469,0.49,0.327,1.0,0.589,1,3499,2998,146.31,0.327,1.553,0.644,0.909,0.41151046092387084
