 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
329,0.267,2.365,1393.959,16.816,0.816,0.653,0.599,0.924,2,8539,103,135.0,0.653,1.322,0.757,0.714,0.5830565653899187
330,0.027,0.462,1393.633,17.633,0.163,0.163,1.0,0.231,2,8536,108,135.0,0.163,1.0,1.0,1.0,0.185411616971131
331,3946.862,275.886,1234.449,33.959,76.082,77.551,0.652,87.985,2,7605,214,133.947,63.039,1.424,0.702,0.927,70.88935587246165
332,0.053,0.788,1249.959,89.959,0.163,0.327,1.0,0.365,2,7656,551,116.565,0.163,2.0,0.5,1.0,0.259772392434153
333,1136.753,136.5,1949.061,103.02,33.469,47.673,0.767,48.191,2,12019,922,79.261,31.689,1.61,0.621,0.962,38.0441700158688
334,27.269,54.459,893.878,124.571,18.122,10.776,0.116,20.225,2,5475,828,26.358,4.985,5.38,0.186,0.375,5.892365326877073
335,0.213,1.712,913.143,126.531,0.49,0.653,0.914,0.816,2,5593,775,126.87,0.49,1.791,0.558,0.8,0.5207686847618525
336,3.119,10.383,915.918,126.694,2.776,3.592,0.364,4.257,2,5613,798,57.529,1.904,2.886,0.347,0.575,1.9927955590147657
337,0.213,1.577,914.776,128.0,0.653,0.327,1.0,0.73,2,5603,784,153.435,0.327,2.0,0.5,1.0,0.5207686847618525
338,2.292,6.904,909.714,129.633,2.449,1.959,0.604,3.136,2,5572,806,38.66,1.204,2.952,0.339,0.856,1.7082930183469676
339,0.107,1.25,906.939,131.429,0.327,0.49,0.857,0.516,2,5556,805,108.435,0.327,1.468,0.681,0.8,0.3691024671912427
340,2579.885,410.05,867.592,132.408,68.898,83.102,0.193,83.277,2,5567,811,93.709,61.381,1.485,0.673,0.664,57.313275973975486
341,4447.214,477.499,1363.429,134.204,101.878,102.204,0.245,131.706,2,8363,883,137.21,63.437,2.19,0.457,0.708,75.24871247204062
342,1.626,6.076,920.816,141.714,1.633,2.122,0.554,2.147,2,5640,868,98.746,1.633,1.269,0.788,0.753,1.4388493665910185
343,0.933,3.615,1365.551,142.204,1.143,1.143,0.897,1.404,2,8365,878,54.462,1.11,1.336,0.748,0.864,1.089923160244752
344,1.466,5.709,934.531,151.02,2.449,0.98,0.565,2.497,2,5724,928,11.31,0.98,2.442,0.41,0.84,1.3662244224803437
345,5.145,16.324,936.653,151.837,4.082,5.224,0.243,5.639,2,5747,962,67.891,3.175,2.207,0.453,0.434,2.559456477001008
