 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1,1.626,4.634,2025.959,3.918,1.469,1.469,0.951,1.681,1,12409,32,29.055,1.469,1.107,0.903,0.897,1.4388493665910185
2,1.599,4.539,895.184,4.082,1.469,1.469,0.976,1.616,1,5484,33,45.0,1.469,1.05,0.953,0.889,1.426853192179043
3,1.759,5.096,1743.51,5.388,1.633,1.633,0.851,1.766,1,10681,42,56.31,1.584,1.106,0.904,0.857,1.4965387930785994
4,1.813,4.865,1177.633,5.714,1.633,1.469,0.962,1.705,1,7213,37,163.301,1.469,1.075,0.93,0.901,1.5193364652389707
5,1.679,4.77,1460.898,5.878,1.633,1.469,0.928,1.766,1,8949,43,33.69,1.469,1.159,0.863,0.875,1.462111211779165
6,1.706,4.865,611.429,6.531,1.469,1.633,0.906,1.766,1,3745,48,33.69,1.469,1.089,0.919,0.883,1.4738204311645933
7,1.813,4.809,45.061,7.02,1.633,1.633,0.985,1.705,1,279,43,106.699,1.501,1.054,0.949,0.889,1.5193364652389707
8,1.706,4.634,328.816,8.653,1.469,1.469,0.998,1.736,1,2015,62,48.814,1.469,1.092,0.916,0.914,1.4738204311645933
9,1126.091,251.814,2195.265,10.939,58.449,49.633,0.223,64.65,1,13501,347,44.795,40.509,1.713,0.584,0.625,37.86533496709575
10,0.746,3.058,263.837,21.224,1.143,0.816,1.0,1.243,1,1616,131,156.801,0.816,1.467,0.682,0.889,0.9745956599392548
11,0.053,0.788,250.776,25.633,0.163,0.327,1.0,0.365,1,1536,157,116.565,0.163,2.0,0.5,1.0,0.259772392434153
12,0.56,2.596,264.0,28.898,0.653,0.98,1.0,1.095,1,1617,177,116.565,0.653,1.475,0.678,0.933,0.8444016491289505
13,0.267,1.712,243.429,29.061,0.49,0.653,1.0,0.816,1,1491,182,53.13,0.49,1.551,0.645,0.909,0.5830565653899187
14,0.027,0.462,236.245,38.041,0.163,0.163,1.0,0.231,1,1447,233,135.0,0.163,1.0,1.0,1.0,0.185411616971131
15,0.053,0.788,123.592,55.837,0.163,0.327,1.0,0.365,1,757,342,116.565,0.163,2.0,0.5,1.0,0.259772392434153
16,2.586,5.924,1026.449,71.347,2.122,1.796,0.926,2.221,1,6287,440,162.897,1.796,1.201,0.832,0.89,1.8145515872206917
17,2.612,5.98,2157.388,71.347,1.959,1.796,0.918,2.129,1,13214,438,147.529,1.796,1.14,0.877,0.903,1.823650649342753
