 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
569,5694.534,404.802,679.51,0.98,107.755,81.959,0.437,115.995,2,4162,412,21.727,78.564,1.603,0.624,0.842,85.14990239359588
570,0.32,2.365,759.51,1.959,0.49,0.98,0.719,1.033,2,4652,18,71.565,0.49,2.122,0.471,0.828,0.6383076486422923
571,2754.559,237.67,561.143,12.408,59.918,64.816,0.613,75.507,2,3476,467,57.719,59.354,1.255,0.797,0.905,59.22173120659464
572,0.48,2.365,360.327,16.327,0.653,0.816,1.0,1.045,2,2207,100,128.66,0.653,1.362,0.734,0.947,0.7817640190446719
573,0.426,2.269,354.776,18.449,0.653,0.816,1.0,0.952,2,2174,113,120.964,0.653,1.392,0.718,0.889,0.7364781368494107
574,0.08,0.924,361.959,18.776,0.327,0.327,1.0,0.462,2,2217,117,45.0,0.327,1.464,0.683,0.857,0.3191538243211461
575,0.213,1.616,505.469,19.429,0.653,0.49,1.0,0.816,2,3096,119,143.13,0.462,1.939,0.516,0.842,0.5207686847618525
576,0.213,1.712,379.429,22.041,0.49,0.653,0.914,0.673,2,2325,135,104.036,0.49,1.195,0.837,0.8,0.5207686847618525
577,0.32,2.038,347.265,23.347,0.49,0.816,0.967,0.879,2,2127,143,111.801,0.49,1.579,0.633,0.889,0.6383076486422923
578,0.053,0.788,352.653,24.49,0.163,0.327,1.0,0.365,2,2160,150,116.565,0.163,2.0,0.5,1.0,0.259772392434153
579,0.133,1.25,359.837,25.469,0.327,0.49,1.0,0.589,2,2204,159,56.31,0.327,1.553,0.644,0.909,0.4115104609238708
580,0.213,1.481,252.082,35.429,0.49,0.49,1.0,0.693,2,1544,217,135.0,0.49,1.229,0.814,0.941,0.5207686847618525
581,0.053,0.693,358.531,46.857,0.327,0.163,1.0,0.365,2,2196,287,153.435,0.163,2.0,0.5,1.0,0.259772392434153
582,0.16,1.385,369.306,48.816,0.49,0.49,1.0,0.589,2,2262,299,123.69,0.462,1.291,0.775,0.8,0.451351666838205
583,0.08,0.924,359.51,50.776,0.327,0.327,1.0,0.462,2,2202,311,135.0,0.327,1.464,0.683,0.857,0.3191538243211461
584,0.347,2.134,384.653,50.939,0.49,0.816,0.956,0.879,2,2357,312,111.801,0.49,1.551,0.645,0.929,0.6646909973988676
585,0.027,0.462,367.51,51.265,0.163,0.163,1.0,0.231,2,2251,314,135.0,0.163,1.0,1.0,1.0,0.185411616971131
586,2.372,5.884,315.755,51.429,1.796,1.959,0.861,2.221,2,1935,316,126.027,1.512,1.524,0.656,0.89,1.737850453897517
587,0.16,1.712,374.367,52.082,0.49,0.653,0.686,0.673,2,2294,319,104.036,0.438,1.675,0.597,0.667,0.451351666838205
588,0.213,1.712,375.837,57.143,0.49,0.653,0.914,0.673,2,2303,350,104.036,0.49,1.195,0.837,0.8,0.5207686847618525
589,0.053,0.788,384.0,58.122,0.163,0.327,1.0,0.365,2,2352,356,116.565,0.163,2.0,0.5,1.0,0.259772392434153
590,1.413,4.268,102.694,64.816,1.143,1.469,0.975,1.608,2,630,397,113.962,1.143,1.328,0.753,0.93,1.341300666036808
591,0.08,0.924,356.571,66.122,0.327,0.327,1.0,0.462,2,2184,405,135.0,0.327,1.464,0.683,0.857,0.3191538243211461
592,0.107,0.924,719.184,93.551,0.327,0.327,1.0,0.462,2,4405,573,135.0,0.327,1.0,1.0,1.0,0.3691024671912427
593,0.107,1.25,716.245,96.0,0.327,0.49,0.857,0.589,2,4387,588,123.69,0.327,2.0,0.5,0.8,0.3691024671912427
594,0.053,0.788,714.939,96.49,0.163,0.327,1.0,0.365,2,4379,591,116.565,0.163,2.0,0.5,1.0,0.259772392434153
595,0.426,3.193,719.347,103.02,1.143,0.98,0.526,1.505,2,4406,631,139.399,0.653,2.852,0.351,0.653,0.7364781368494107
596,0.586,3.615,690.286,109.061,1.306,0.98,0.564,1.633,2,4228,668,143.13,0.709,2.831,0.353,0.698,0.8637814383365767
597,0.027,0.462,714.939,109.551,0.163,0.163,1.0,0.231,2,4379,671,135.0,0.163,1.0,1.0,1.0,0.185411616971131
598,1.146,4.037,191.347,125.061,1.633,0.816,0.884,1.705,2,1172,767,163.301,0.816,2.003,0.499,0.925,1.207945577526776
599,0.267,1.712,223.673,130.612,0.653,0.49,1.0,0.73,2,1370,800,153.435,0.49,1.327,0.753,0.909,0.5830565653899187
600,0.213,1.481,475.102,135.837,0.49,0.49,1.0,0.693,2,2910,832,135.0,0.49,1.229,0.814,0.941,0.5207686847618525
601,40.357,37.06,232.816,136.163,8.653,9.796,0.369,10.37,2,1426,894,33.44,8.653,1.241,0.806,0.669,7.168272337661074
602,0.72,3.058,242.449,139.102,0.98,0.98,0.967,1.275,2,1485,858,39.806,0.924,1.475,0.678,0.885,0.9574614729634384
603,0.053,0.693,465.143,145.143,0.327,0.163,1.0,0.365,2,2849,889,153.435,0.163,2.0,0.5,1.0,0.259772392434153
604,0.16,1.385,434.449,158.367,0.49,0.49,1.0,0.589,2,2662,970,123.69,0.462,1.291,0.775,0.8,0.451351666838205
605,5.491,9.763,271.673,158.531,3.918,1.633,0.724,4.002,2,1664,975,168.232,1.633,2.339,0.427,0.949,2.644117686514876
