 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
367,10.369,12.517,103.51,1.959,3.429,4.408,0.832,4.701,2,639,39,69.677,3.067,1.593,0.628,0.93,3.633486045020526
368,0.8,3.193,41.796,5.878,1.143,0.98,0.986,1.243,2,256,38,156.801,0.98,1.309,0.764,0.857,1.009253008808064
369,58.162,36.081,141.388,13.224,9.469,9.796,0.561,10.976,2,884,83,120.379,9.285,1.07,0.934,0.804,8.605472584401541
370,2.266,5.518,742.041,70.857,1.796,1.633,0.935,1.966,2,4547,444,48.366,1.633,1.088,0.919,0.899,1.6985761120332168
371,2.132,5.327,457.143,71.51,1.796,1.633,0.944,1.862,2,2800,441,164.745,1.633,1.121,0.892,0.909,1.6475881491972948
372,2.186,5.383,173.061,73.143,1.796,1.469,0.948,1.993,2,1061,448,145.008,1.469,1.181,0.847,0.932,1.668323003734908
373,1217.919,177.779,154.286,98.122,39.347,56.0,0.484,56.665,2,1036,601,98.784,36.31,1.588,0.63,0.854,39.37896180810643
374,0.187,1.385,2.122,110.367,0.49,0.49,1.0,0.589,2,13,676,123.69,0.49,1.069,0.936,0.875,0.487950606993654
375,0.16,1.25,11.918,117.061,0.49,0.327,1.0,0.589,2,73,717,146.31,0.327,1.5,0.667,1.0,0.451351666838205
376,3.199,7.23,356.245,159.51,2.612,1.959,0.769,2.856,2,2182,979,149.036,1.735,1.914,0.522,0.863,2.0181906014070585
377,0.053,0.788,706.939,159.51,0.163,0.327,1.0,0.365,2,4330,977,116.565,0.163,2.0,0.5,1.0,0.259772392434153
378,0.053,0.693,137.796,161.796,0.327,0.163,1.0,0.365,2,844,991,153.435,0.163,2.0,0.5,1.0,0.259772392434153
379,0.64,3.058,693.061,167.184,0.816,1.143,0.86,1.189,2,4247,1024,105.945,0.816,1.221,0.819,0.814,0.90270333367641
380,0.56,2.827,408.163,167.673,0.816,0.98,0.88,1.095,2,2502,1027,116.565,0.816,1.283,0.779,0.857,0.8444016491289505
381,0.506,2.54,124.082,169.469,0.98,0.816,0.987,0.993,2,760,1040,170.538,0.808,1.109,0.902,0.826,0.8026575917762147
382,2.532,5.749,754.286,210.286,1.633,1.959,0.963,2.065,2,4623,1300,71.565,1.633,1.097,0.912,0.922,1.7955062036287794
383,2.559,5.884,469.388,210.776,1.796,1.959,0.929,2.065,2,2878,1303,71.565,1.796,1.141,0.877,0.893,1.805054014420976
