 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
1269,17.619,19.071,624.653,1.633,4.898,5.714,0.609,6.44,2,3826,44,59.534,4.649,1.517,0.659,0.807,4.736370713815466
1270,6.611,10.575,1185.306,4.245,3.102,3.429,0.743,3.581,2,7268,26,114.228,2.775,1.245,0.803,0.854,2.901273277415308
1271,0.213,1.481,1642.122,4.735,0.49,0.49,1.0,0.693,2,10058,32,45.0,0.49,1.229,0.814,0.941,0.5207686847618525
1272,0.4,2.269,40.98,5.714,0.653,0.816,0.976,0.952,2,251,40,59.036,0.653,1.194,0.838,0.857,0.7136496464611084
1273,0.027,0.462,1640.49,10.612,0.163,0.163,1.0,0.231,2,10048,65,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1274,0.64,3.249,124.571,13.061,1.306,0.653,0.762,1.395,2,763,84,20.556,0.653,2.417,0.414,0.857,0.90270333367641
1275,5.544,9.133,255.837,19.429,2.939,2.776,0.835,3.037,2,1570,134,36.254,2.668,1.076,0.929,0.893,2.656847763047733
1276,0.586,2.771,1643.102,22.367,0.98,0.98,0.96,1.033,2,10064,141,18.435,0.924,1.058,0.945,0.815,0.8637814383365767
1277,0.16,1.385,1641.469,29.061,0.49,0.49,1.0,0.589,2,10055,178,123.69,0.462,1.291,0.775,0.8,0.451351666838205
1278,0.08,0.924,1641.959,29.714,0.327,0.327,1.0,0.462,2,10057,182,135.0,0.327,1.464,0.683,0.857,0.3191538243211461
1279,43.129,33.993,480.653,30.694,12.245,6.531,0.469,12.298,2,2944,217,5.332,6.193,2.512,0.398,0.758,7.410367624138685
1280,90.895,40.596,862.857,32.0,11.429,10.776,0.693,12.353,2,5287,203,150.725,10.752,1.045,0.957,0.911,10.757839393609787
1281,99.825,48.11,630.367,36.408,15.51,13.878,0.542,16.594,2,3863,290,23.791,10.427,1.64,0.61,0.809,11.273914029882771
1282,0.24,1.577,1648.163,36.898,0.49,0.49,1.0,0.693,2,10095,226,135.0,0.49,1.0,1.0,1.0,0.5527906391541367
1283,377.816,102.556,1808.0,37.551,33.796,20.245,0.451,34.036,2,11075,246,171.17,20.006,1.883,0.531,0.791,21.93285826867215
1284,86.977,38.644,1021.388,38.857,11.265,12.082,0.732,12.412,2,6257,284,26.565,9.698,1.23,0.813,0.918,10.523428903281964
1285,6.184,10.248,471.184,39.184,3.429,2.939,0.74,4.121,2,2886,242,146.31,2.53,1.781,0.561,0.867,2.806013781976533
1286,1.359,4.403,672.163,39.347,1.633,1.143,0.881,1.705,2,4117,241,163.301,1.143,1.508,0.663,0.895,1.3154210509548212
1287,0.213,1.481,1644.408,40.98,0.49,0.49,1.0,0.693,2,10072,251,135.0,0.49,1.229,0.814,0.941,0.5207686847618525
1288,376.243,80.434,1181.714,41.469,21.224,25.469,0.731,26.128,2,7288,255,109.341,19.873,1.399,0.715,0.932,21.887152990505456
1289,8.53,11.881,853.714,51.918,4.082,3.102,0.759,4.459,2,5229,332,23.749,3.102,1.474,0.678,0.866,3.29556267071208
1290,0.027,0.462,1645.878,52.082,0.163,0.163,1.0,0.231,2,10081,319,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1291,533.244,99.981,922.449,53.878,26.449,34.939,0.67,35.28,2,5717,544,82.02,24.447,1.362,0.734,0.904,26.056618118872542
1292,0.107,1.154,1647.837,62.204,0.49,0.327,1.0,0.589,2,10093,383,33.69,0.327,2.031,0.492,0.8,0.3691024671912427
1293,0.08,1.115,607.02,65.469,0.163,0.49,0.809,0.516,2,3718,401,108.435,0.163,3.0,0.333,1.0,0.3191538243211461
1294,118.137,68.362,61.551,72.49,19.592,15.02,0.318,20.377,2,379,458,142.487,10.505,2.135,0.468,0.671,12.264448625860762
1295,1.173,3.981,2146.612,72.49,1.306,1.306,0.93,1.46,2,13150,444,116.565,1.268,1.163,0.86,0.863,1.222092462121564
1296,1.04,3.75,1862.531,73.469,1.306,1.143,0.929,1.404,2,11408,451,144.462,1.143,1.216,0.822,0.848,1.1507254783503185
1297,1.093,3.886,1578.286,74.122,1.306,1.306,0.91,1.46,2,9667,457,153.435,1.223,1.183,0.846,0.828,1.1796825091504632
1298,0.933,4.116,448.653,75.429,1.469,1.306,0.692,1.681,2,2748,464,150.945,1.022,2.154,0.464,0.729,1.089923160244752
1299,1.226,4.037,1295.673,75.918,1.306,1.143,0.945,1.505,2,7937,471,40.601,1.143,1.079,0.927,0.92,1.2493965270662912
1300,1.066,3.806,1011.755,76.735,1.143,1.143,0.925,1.505,2,6197,470,139.399,1.143,1.181,0.847,0.909,1.1650207529000003
1301,1.146,3.846,727.673,77.388,1.143,1.306,0.974,1.404,2,4458,475,125.538,1.143,1.106,0.904,0.887,1.207945577526776
1302,1.093,3.655,443.592,78.204,1.143,1.306,1.0,1.346,2,2720,479,104.036,1.143,1.051,0.952,0.882,1.1796825091504632
1303,1.173,3.942,159.51,79.02,1.143,1.306,0.949,1.505,2,977,485,139.399,1.143,1.074,0.931,0.889,1.222092462121564
1304,344.47,108.226,518.857,79.02,31.184,18.939,0.37,31.734,2,3179,554,12.177,18.939,2.141,0.467,0.708,20.942607907682405
1305,19.858,18.131,1254.041,81.959,6.367,4.571,0.759,6.822,2,7681,512,158.962,4.571,1.537,0.651,0.91,5.028318891970841
1306,144.18,58.378,1261.551,83.755,20.408,12.571,0.532,21.174,2,7732,515,153.435,10.239,2.551,0.392,0.833,13.549010205912303
1307,129.519,57.421,445.878,89.306,12.245,17.959,0.494,18.125,2,2768,657,82.235,11.609,1.774,0.564,0.809,12.841678729611388
1308,2.666,7.016,1863.184,91.102,1.306,2.776,0.681,2.851,2,11414,558,103.241,1.212,2.575,0.388,0.87,1.8424051200167524
1309,0.133,1.25,602.449,92.408,0.49,0.327,1.0,0.589,2,3690,568,33.69,0.327,1.553,0.644,0.909,0.4115104609238708
1310,0.426,2.405,317.061,96.327,0.98,0.653,0.927,1.033,2,1942,591,161.565,0.653,1.519,0.658,0.842,0.7364781368494107
1311,2113.626,272.845,187.429,101.878,64.327,72.327,0.357,74.989,2,1197,1021,42.618,44.105,1.98,0.505,0.763,51.8763164264812
1312,0.107,0.924,1390.694,103.02,0.327,0.327,1.0,0.462,2,8518,631,135.0,0.327,1.0,1.0,1.0,0.3691024671912427
1313,0.666,5.439,1405.878,103.02,2.122,0.98,0.283,2.147,2,8611,636,8.746,0.877,3.883,0.258,0.49,0.9208569578352648
1314,0.64,4.921,1402.776,103.673,2.122,0.653,0.332,2.129,2,8592,638,175.601,0.653,3.921,0.255,0.615,0.90270333367641
1315,0.32,2.691,1389.551,104.0,1.143,0.49,0.555,1.243,2,8511,640,23.199,0.429,3.716,0.269,0.727,0.6383076486422923
1316,0.027,0.462,1414.531,104.0,0.163,0.163,1.0,0.231,2,8664,637,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1317,0.053,0.693,1408.327,104.163,0.327,0.163,1.0,0.365,2,8626,638,153.435,0.163,2.0,0.5,1.0,0.259772392434153
1318,0.213,2.652,1401.306,104.327,1.306,0.163,0.381,1.316,2,8583,639,172.875,0.163,8.0,0.125,1.0,0.5207686847618525
1319,0.027,0.462,1417.469,104.327,0.163,0.163,1.0,0.231,2,8682,639,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1320,0.053,0.693,1413.388,104.49,0.327,0.163,1.0,0.365,2,8657,640,153.435,0.163,2.0,0.5,1.0,0.259772392434153
1321,0.16,1.999,1414.857,104.49,0.98,0.163,0.503,0.993,2,8666,640,170.538,0.163,6.0,0.167,1.0,0.451351666838205
1322,0.187,1.481,1388.735,104.98,0.49,0.49,1.0,0.693,2,8506,646,45.0,0.49,1.38,0.725,0.875,0.487950606993654
1323,0.053,0.788,1417.959,104.98,0.163,0.327,1.0,0.365,2,8685,643,116.565,0.163,2.0,0.5,1.0,0.259772392434153
1324,0.213,2.461,1419.755,104.98,0.98,0.49,0.443,0.993,2,8696,645,170.538,0.49,2.046,0.489,0.615,0.5207686847618525
1325,3.705,7.365,600.49,105.633,2.122,2.612,0.858,2.737,2,3683,647,107.354,1.963,1.367,0.731,0.891,2.17194671049816
1326,0.133,1.808,1420.898,105.633,0.816,0.327,0.513,0.879,2,8703,647,158.199,0.317,3.678,0.272,0.667,0.4115104609238708
1327,0.053,0.788,1423.02,105.959,0.163,0.327,1.0,0.365,2,8716,649,116.565,0.163,2.0,0.5,1.0,0.259772392434153
1328,0.027,0.462,1387.918,106.122,0.163,0.163,1.0,0.231,2,8501,650,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1329,0.027,0.462,1387.265,106.776,0.163,0.163,1.0,0.231,2,8497,654,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1330,0.027,0.462,1395.265,106.939,0.163,0.163,1.0,0.231,2,8546,655,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1331,0.107,1.481,1430.041,106.939,0.653,0.327,0.611,0.73,2,8759,655,153.435,0.31,3.093,0.323,0.667,0.3691024671912427
1332,0.027,0.462,1396.082,107.102,0.163,0.163,1.0,0.231,2,8551,656,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1333,0.027,0.462,1432.98,107.592,0.163,0.163,1.0,0.231,2,8777,659,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1334,0.107,1.441,1394.776,108.082,0.163,0.653,0.645,0.673,2,8543,662,104.036,0.163,4.0,0.25,1.0,0.3691024671912427
1335,0.32,2.691,1434.612,108.082,1.143,0.49,0.555,1.243,2,8787,662,156.801,0.48,2.87,0.348,0.75,0.6383076486422923
1336,0.027,0.462,1386.612,108.245,0.163,0.163,1.0,0.231,2,8493,663,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1337,0.027,0.462,1436.898,108.571,0.163,0.163,1.0,0.231,2,8801,665,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1338,0.027,0.462,1386.286,108.735,0.163,0.163,1.0,0.231,2,8491,666,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1339,0.027,0.462,1394.286,108.735,0.163,0.163,1.0,0.231,2,8540,666,135.0,0.163,1.0,1.0,1.0,0.185411616971131
1340,0.24,2.787,1438.531,108.898,1.306,0.327,0.388,1.316,2,8811,667,172.875,0.327,5.619,0.178,0.72,0.5527906391541367
1341,0.48,2.922,1393.469,109.061,0.816,0.98,0.706,1.275,2,8535,674,50.194,0.77,1.746,0.573,0.857,0.7817640190446719
