 ,Area,Perim.,BX,BY,Width,Height,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Eq Diam
304,1.359,4.308,48.816,7.184,1.469,1.306,0.921,1.608,2,299,50,23.962,1.306,1.168,0.856,0.879,1.3154210509548212
305,1.306,4.172,902.531,8.49,1.469,1.143,0.943,1.505,2,5529,58,40.601,1.143,1.208,0.827,0.899,1.2895157406655116
306,1.519,4.499,334.204,8.653,1.469,1.306,0.943,1.633,2,2047,59,36.87,1.306,1.166,0.858,0.905,1.3907015741893414
307,1.333,4.403,616.816,9.143,1.306,1.469,0.864,1.616,2,3779,64,45.0,1.306,1.136,0.88,0.847,1.3027771540566606
308,0.32,1.943,64.163,15.837,0.653,0.653,1.0,0.816,2,394,101,53.13,0.653,1.135,0.881,0.857,0.6383076486422923
309,1.493,4.499,32.98,16.0,1.633,1.143,0.927,1.825,2,202,99,153.435,1.143,1.477,0.677,0.918,1.3787482149724068
310,0.053,0.693,99.102,18.776,0.327,0.163,1.0,0.365,2,607,115,153.435,0.163,2.0,0.5,1.0,0.259772392434153
311,2.132,5.287,203.918,19.918,1.633,1.633,0.959,1.993,2,1250,122,124.992,1.6,1.192,0.839,0.925,1.6475881491972948
312,0.027,0.462,72.98,30.694,0.163,0.163,1.0,0.231,2,447,188,135.0,0.163,1.0,1.0,1.0,0.185411616971131
313,0.16,1.385,113.959,31.184,0.49,0.49,1.0,0.589,2,699,191,123.69,0.462,1.291,0.775,0.8,0.451351666838205
314,0.453,2.269,66.286,32.0,0.816,0.653,1.0,0.952,2,406,196,149.036,0.653,1.263,0.792,0.919,0.7594586978664665
315,0.267,1.847,224.163,32.0,0.653,0.653,0.982,0.73,2,1374,196,116.565,0.577,1.241,0.806,0.8,0.5830565653899187
316,0.293,1.808,93.061,39.347,0.653,0.49,1.0,0.816,2,570,241,143.13,0.49,1.372,0.729,0.957,0.6107857125108631
317,0.24,1.712,74.612,42.286,0.49,0.653,1.0,0.73,2,458,259,116.565,0.49,1.34,0.746,0.857,0.5527906391541367
